year,metric,value_gbp_m,basis,vintage,source,note
2022,weather_homes_total,421,published,2024-04 release comparative,https://www.abi.org.uk/news/news-articles/2024/4/weather-damage-insurance-claims-worst-on-record/,"quoted in the 2023 full-year release as ""36% greater than 2022 (GBP 421m)"""
2022,home_paid_total,2330,published,2024-04 release comparative,https://www.abi.org.uk/news/news-articles/2024/4/weather-damage-insurance-claims-worst-on-record/,"""a near 10% increase on 2022 totals (GBP 2.33bn)"""
2023,weather_homes_total,573,published,2024-04 release,https://www.abi.org.uk/news/news-articles/2024/4/weather-damage-insurance-claims-worst-on-record/,"""highest on record"" when published; footnote 3: ""This figure will include claims not yet fully settled"""
2023,weather_homes_total,458,restated,2025-02 release comparative,https://www.abi.org.uk/news/news-articles/2025/2/more-action-needed-to-protect-properties-as-adverse-weather-takes-record-toll-on-insurance-claims-in-2024/,"implied by ""GBP 127 million (28%) higher than the weather-related claims payouts for 2023"" against GBP 585m. CONTRADICTS the 573 above - see HANDOFF"
2023,storm_homes,133,published,2024-04 release,https://www.abi.org.uk/news/news-articles/2024/4/weather-damage-insurance-claims-worst-on-record/,"""Homeowner's storms damage claims (high winds and debris) totalled GBP 133m"""
2023,flood_homes,286,published,2024-04 release,https://www.abi.org.uk/news/news-articles/2024/4/weather-damage-insurance-claims-worst-on-record/,"""subsequent flooding added GBP 286m and represents half of all weather-related claims"""
2023,burstpipes_homes,153,published,2024-04 release,https://www.abi.org.uk/news/news-articles/2024/4/weather-damage-insurance-claims-worst-on-record/,"""A further GBP 153m of weather claims came from burst pipes"" - 133+286+153 = 572, ties to the 573 total"
2023,home_paid_total,2550,published,2024-04 release,https://www.abi.org.uk/news/news-articles/2024/4/weather-damage-insurance-claims-worst-on-record/,"""GBP 2.55 billion was paid out for home insurance claims in 2023"""
2024,weather_homes_total,585,published,2025-02 release,https://www.abi.org.uk/news/news-articles/2025/2/more-action-needed-to-protect-properties-as-adverse-weather-takes-record-toll-on-insurance-claims-in-2024/,"""a record GBP 585 million for weather-related damage to people's homes and possessions in 2024"""
2024,storm_homes,185,derived,2026-02 release comparative,https://www.abi.org.uk/media-hub/news-post/adverse-weather-pushes-property-insurance-payouts-to-61-billion-in-2025,"244 - 59; from ""GBP 244 million in 2025, a 32% (GBP 59 million) increase from the previous year"""
2024,flood_homes,226,derived,2026-02 release comparative,https://www.abi.org.uk/media-hub/news-post/adverse-weather-pushes-property-insurance-payouts-to-61-billion-in-2025,"312 / 1.38; from ""The cost of domestic flood claims rose by 38% (to GBP 312 million)"""
2024,subsidence_homes,280,derived,2026-02 release comparative,https://www.abi.org.uk/media-hub/news-post/adverse-weather-pushes-property-insurance-payouts-to-61-billion-in-2025,"307 - 27; from ""domestic subsidence payouts rise to GBP 307 million, up 10% (GBP 27 million) year on year"""
2024,storm_avg_gbp,1700,derived,2026-02 release comparative,https://www.abi.org.uk/media-hub/news-post/adverse-weather-pushes-property-insurance-payouts-to-61-billion-in-2025,"2450 - 750; from ""The average storm damage payout in 2025 reached GBP 2,450. This is GBP 750 more than 2024"". Units GBP not GBP m"
2024,flood_avg_gbp,18750,derived,2026-02 release comparative,https://www.abi.org.uk/media-hub/news-post/adverse-weather-pushes-property-insurance-payouts-to-61-billion-in-2025,"30000 / 1.60; from ""the average flood payout to a homeowner also rose significantly by 60%, reaching GBP 30,000"". Units GBP not GBP m"
2025,weather_homes_total,758,published,2026-02 release,https://www.abi.org.uk/media-hub/news-post/adverse-weather-pushes-property-insurance-payouts-to-61-billion-in-2025,"""claims for weather damage to people's homes and possessions accounted for GBP 758 million"". Footnote 3: ""These weather-related figures cover damage caused by burst or frozen pipes, escape of water, as well as damage as a result from storms and flooding"""
2025,storm_homes,244,published,2026-02 release,https://www.abi.org.uk/media-hub/news-post/adverse-weather-pushes-property-insurance-payouts-to-61-billion-in-2025,"""Damage to people's homes as a result of a storm reached GBP 244 million in 2025"" - this is the model's storm_paid anchor"
2025,flood_homes,312,published,2026-02 release,https://www.abi.org.uk/media-hub/news-post/adverse-weather-pushes-property-insurance-payouts-to-61-billion-in-2025,"""The cost of domestic flood claims rose by 38% (to GBP 312 million)"" - this is the model's flood_paid anchor"
2025,burstpipes_homes,202,derived,2026-02 release,https://www.abi.org.uk/media-hub/news-post/adverse-weather-pushes-property-insurance-payouts-to-61-billion-in-2025,"758 - 244 - 312, the residual of the weather line. The 2026-02 footnote calls this category ""burst or frozen pipes, escape of water, as well as damage as a result from storms and flooding"", so the residual is burst pipes AND weather-attributed escape of water - NOT burst pipes alone. Most likely the 2023 release's ""burst pipes"" label for its own residual was loose and the BASIS is the same both years; the EOW_FREEZE_SHARE derivation getting 0.311 (2023) and 0.307 (2025) is the evidence for that, since two different bases would not agree to 0.004"
2025,subsidence_homes,307,published,2026-02 release,https://www.abi.org.uk/media-hub/news-post/adverse-weather-pushes-property-insurance-payouts-to-61-billion-in-2025,"""domestic subsidence payouts rise to GBP 307 million"" - this is the model's subsidence_paid anchor"
2025,home_paid_total,3400,published,2026-02 release,https://www.abi.org.uk/media-hub/news-post/adverse-weather-pushes-property-insurance-payouts-to-61-billion-in-2025,"""insurers paid out almost GBP 3.4 billion across more than 560,000 home insurance claims"" - the model's total_home_paid"
2025,home_claims_count,560000,published,2026-02 release,https://www.abi.org.uk/media-hub/news-post/adverse-weather-pushes-property-insurance-payouts-to-61-billion-in-2025,"""more than 560,000 home insurance claims"". Units are CLAIMS not GBP m"
2025,avg_home_claim_gbp,6000,published,2026-02 release,https://www.abi.org.uk/media-hub/news-post/adverse-weather-pushes-property-insurance-payouts-to-61-billion-in-2025,"""15% increase, up GBP 800 year-on-year"" - confirms 3400/560 = 6071. Units GBP not GBP m"
2025,storm_avg_gbp,2450,published,2026-02 release,https://www.abi.org.uk/media-hub/news-post/adverse-weather-pushes-property-insurance-payouts-to-61-billion-in-2025,"""The average storm damage payout in 2025 reached GBP 2,450"" - the model's sev_weather. Units GBP not GBP m"
2025,flood_avg_gbp,30000,published,2026-02 release,https://www.abi.org.uk/media-hub/news-post/adverse-weather-pushes-property-insurance-payouts-to-61-billion-in-2025,"""reaching GBP 30,000"" - the model's sev_flood. Units GBP not GBP m"
2024,burstpipes_homes,174,derived,"2025-02 release, residual",https://www.abi.org.uk/news/news-articles/2025/2/more-action-needed-to-protect-properties-as-adverse-weather-takes-record-toll-on-insurance-claims-in-2024/,"585 - 185 - 226. Same residual construction that reproduces 2023's published 153 to 1 (573-133-286=154), which is what validates it"
2023,burstpipes_count,12000,published,2024-11 and 2025-01 winter advice,https://www.abi.org.uk/news/news-articles/2025/1/stay-safe-in-cold-weather--insurance-advice-from-the-abi/,"""Home insurers settled roughly 12,000 weather-related claims for burst pipes in 2023, with the average claim exceeding GBP17,000"" (30.01.2025; same sentence 21.11.2024 at https://www.abi.org.uk/media-hub/news-post/dont-get-caught-out-in-the-cold-insurance-advice-from-the-abi). SETTLED basis - does NOT tie to the weather line. Units are CLAIMS not GBP m"
2023,burstpipes_avg_gbp,17000,published,2024-11 and 2025-01 winter advice,https://www.abi.org.uk/news/news-articles/2025/1/stay-safe-in-cold-weather--insurance-advice-from-the-abi/,"""the average claim exceeding GBP17,000"" - a FLOOR, not a point estimate. 12,000 x 17,000 = GBP204m vs the weather line's GBP153m, +33%. Units GBP not GBP m"
2024,burstpipes_count,8000,reported - ABI primary 404,2026-01 cold-weather advice,https://www.abi.org.uk/news/news-articles/2026/1/abi-shares-cold-weather-advice-for-homeowners-and-drivers/,"""roughly 8,000 claims for weather-related pipe damage in 2024, paying out a total of GBP250 million ... average claim costing almost GBP33,000"". NOT verified against the ABI page, which 404s on fetch; corroborated only by secondary reports. Units are CLAIMS"
2024,burstpipes_avg_gbp,33000,reported - ABI primary 404,2026-01 cold-weather advice,https://www.abi.org.uk/news/news-articles/2026/1/abi-shares-cold-weather-advice-for-homeowners-and-drivers/,"see burstpipes_count 2024. Nearly DOUBLE 2023's 17,000 on a count that fell a third - a catastrophe-driven tail, not a stable severity. Units GBP not GBP m"
2024,burstpipes_settled_total,250,reported - ABI primary 404,2026-01 cold-weather advice,https://www.abi.org.uk/news/news-articles/2026/1/abi-shares-cold-weather-advice-for-homeowners-and-drivers/,"""a total of GBP250 million"". 8,000 x 33,000 = 264, so the ABI's own three numbers tie to ~6%. vs the weather line's GBP174m, +44%"
