period,metric,value,unit,basis,provenance,vintage,source,note
2018Q2,subsidence_claims,2500,count,notified_count,published,2018-12 release,https://www.abi.org.uk/news/news-articles/2018/subsidence-claims-quadruple-to-highest-level-in-more-than-a-decade/,"404 live; recovered from web.archive.org/web/20190825175527id_/. ""the number of claims jumped from 2,500 to 10,000"""
2018Q2,subsidence_incurred,14,gbp_m,incurred_notified,published,2018-12 release,https://www.abi.org.uk/news/news-articles/2018/subsidence-claims-quadruple-to-highest-level-in-more-than-a-decade/,"archive 20190825175527. ""rising in value from GBP 14 million to GBP 64 million"" - value OF CLAIMS MADE, not paid in quarter"
2018Q3,subsidence_claims,10000,count,notified_count,published,2018-12 release,https://www.abi.org.uk/news/news-articles/2018/subsidence-claims-quadruple-to-highest-level-in-more-than-a-decade/,"archive 20190825175527. ""More than 10,000 households made claims"" for July-September. ""highest quarter-on-quarter jump since records began more than 25 years ago"" - so ABI holds a quarterly series back to at least 1993"
2018Q3,subsidence_incurred,64,gbp_m,incurred_notified,published,2018-12 release,https://www.abi.org.uk/news/news-articles/2018/subsidence-claims-quadruple-to-highest-level-in-more-than-a-decade/,"archive 20190825175527. ""made claims WORTH a total of GBP 64 million"". Highest since the 2003 and 2006 heatwaves"
2022Q2,subsidence_paid,45,gbp_m,paid_in_period,published,2023 Q2 release comparative,https://www.abi.org.uk/news/news-articles/2023/9/home-insurance-payouts-up-11/,"archive 20230921104659. ""jumped 21% on the GBP 45 million paid in Q2 2022"""
2022,subsidence_claims,23000,count,notified_count,published,2023-03 release,https://www.abi.org.uk/media-hub/news-post/surge-in-subsidence-payouts,"404 live; archive 20230601163847. ""Of the 23,000 subsidence claims made during the year"""
2022H2,subsidence_claims,18000,count,notified_count,published,2023-03 release,https://www.abi.org.uk/media-hub/news-post/surge-in-subsidence-payouts,"archive 20230601163847. ""the majority -18,000- were in the second half of the year"". 78% of the year in H2"
2022,subsidence_incurred,219,gbp_m,incurred_ultimate,published,2023-03 release,https://www.abi.org.uk/media-hub/news-post/surge-in-subsidence-payouts,"archive 20230601163847. ""the final insurance bill has not been fully settled due to ongoing monitoring ... ABI members EXPECT TO PAY OUT GBP 219 million"". An ULTIMATE ESTIMATE, not cash paid"
2022,subsidence_avg,9600,gbp,avg_incurred,published,2023-03 release,https://www.abi.org.uk/media-hub/news-post/surge-in-subsidence-payouts,"archive 20230601163847. ""The average subsidence claim incurred was GBP 9,600"". Ties to 219e6/23000 = 9522"
2023Q2,subsidence_paid,54,gbp_m,paid_in_period,published,2023 Q2 release,https://www.abi.org.uk/news/news-articles/2023/9/home-insurance-payouts-up-11/,"archive 20230921104659. ""Payouts, at GBP 54 million, jumped 21% on the GBP 45 million paid in Q2 2022"""
2023Q3,subsidence_paid,41,gbp_m,paid_in_period,derived,2024 Q3 release comparative,https://www.abi.org.uk/news/news-articles/2024/112/year-to-date-property-claims-payouts-hit-4.1-billion/,"66 / 1.61 = 40.99; from ""GBP 66 million ... 61% on Q3 2023"". archive 20241119115858"
2024Q1,subsidence_paid,53,gbp_m,paid_in_period,published,2024 Q2 release comparative,https://www.abi.org.uk/news/news-articles/2024/8/property-insurance-payouts-hit-record-quarterly-high/,"archive 20240813015807. ""up 12% on the GBP 53 million paid in Q1 2024"""
2024Q2,subsidence_paid,60,gbp_m,paid_in_period,published,2024 Q2 release,https://www.abi.org.uk/news/news-articles/2024/8/property-insurance-payouts-hit-record-quarterly-high/,"archive 20240813015807. ""hitting GBP 60 million - the highest quarterly figure on record"". RESTATED to 59 one quarter later - see the next row"
2024Q2,subsidence_paid,59,gbp_m,paid_in_period,restated,2024 Q3 release comparative,https://www.abi.org.uk/news/news-articles/2024/112/year-to-date-property-claims-payouts-hit-4.1-billion/,"archive 20241119115858. ""rising 11% on the GBP 59 million paid in Q2 2024"". Contradicts the 60 published three months earlier; use this one"
2024Q3,subsidence_paid,66,gbp_m,paid_in_period,published,2024 Q3 release,https://www.abi.org.uk/news/news-articles/2024/112/year-to-date-property-claims-payouts-hit-4.1-billion/,"archive 20241119115858. ""Subsidence payouts for home insurance claims were also up at GBP 66 million"""
2024,subsidence_paid,280,gbp_m,paid_in_period,derived,2026-02 release comparative,https://www.abi.org.uk/media-hub/news-post/adverse-weather-pushes-property-insurance-payouts-to-61-billion-in-2025,"307 - 27; from ""up 10% (GBP 27 million) year on year"". Also in data/abi_annual.csv. UNRECONCILED: Q1-Q3 sum to 178, implying Q4 2024 = 102, nearly double any other quarter. The 2025-02 FY2024 release carries no subsidence line at all"
2025Q1,subsidence_avg,16295,gbp,avg_paid,published,2026-05 release comparative,https://www.abi.org.uk/media-hub/news-post/home-insurers-pay-out-846-million-to-support-households,"""rising 9% from GBP 16,295 in 2025 to GBP 17,820 in the first quarter of 2026"". PERIOD AMBIGUOUS - ""in 2025"" in a year-on-year Q1 comparison most likely means Q1 2025, but FY2025 is a possible reading"
2025H1,subsidence_paid,153,gbp_m,paid_in_period,published,2025-08 release,https://www.abi.org.uk/news/news-articles/2025/7/insurance-support-tops-150-million-for-homes-affected-by-subsidence/,"archive 20250907100346. ""Subsidence-related insurance claims totalled GBP 153 million in the first half of 2025"""
