name,burglaries,months
AB10 1,0,36
AB10 6,0,36
AB10 7,0,36
AB11 5,0,36
AB11 6,0,36
AB11 7,0,36
AB11 8,0,36
AB11 9,0,36
AB12 3,0,36
AB12 4,0,36
AB12 5,0,36
AB12 9,0,36
AB13 0,0,36
AB14 0,0,36
AB15 4,0,36
AB15 5,0,36
AB15 6,0,36
AB15 7,0,36
AB15 8,0,36
AB15 9,0,36
AB16 5,0,36
AB16 6,0,36
AB16 7,0,36
AB16 9,0,36
AB21 0,0,36
AB21 1,0,36
AB21 7,0,36
AB21 9,0,36
AB22 8,0,36
AB22 9,0,36
AB23 8,0,36
AB23 9,0,36
AB24 1,0,36
AB24 2,0,36
AB24 3,0,36
AB24 4,0,36
AB24 5,0,36
AB25 1,0,36
AB25 2,0,36
AB25 3,0,36
AB25 9,0,36
AB30 1,0,36
AB31 4,0,36
AB31 5,0,36
AB31 6,0,36
AB31 9,0,36
AB32 6,0,36
AB32 7,0,36
AB33 8,0,36
AB34 4,0,36
AB34 5,0,36
AB35 5,0,36
AB36 8,0,36
AB37 9,0,36
AB38 7,0,36
AB38 9,0,36
AB39 2,0,36
AB39 3,0,36
AB39 8,0,36
AB39 9,0,36
AB41 1,0,36
AB41 6,0,36
AB41 7,0,36
AB41 8,0,36
AB41 9,0,36
AB42 0,0,36
AB42 1,0,36
AB42 2,0,36
AB42 3,0,36
AB42 4,0,36
AB42 5,0,36
AB42 9,0,36
AB43 6,0,36
AB43 7,0,36
AB43 8,0,36
AB43 9,0,36
AB44 1,0,36
AB45 1,0,36
AB45 2,0,36
AB45 3,0,36
AB51 0,0,36
AB51 1,0,36
AB51 3,0,36
AB51 4,0,36
AB51 5,0,36
AB51 6,0,36
AB51 7,0,36
AB51 8,0,36
AB52 6,0,36
AB53 4,0,36
AB53 5,0,36
AB53 6,0,36
AB53 8,0,36
AB54 4,0,36
AB54 6,0,36
AB54 7,0,36
AB54 8,0,36
AB54 9,0,36
AB55 4,0,36
AB55 5,0,36
AB55 6,0,36
AB56 1,0,36
AB56 4,0,36
AB56 5,0,36
AB56 9,0,36
AL1 1,85,36
AL1 2,94,36
AL1 3,106,36
AL1 4,98,36
AL1 5,130,36
AL1 9,0,36
AL10 0,174,36
AL10 1,0,36
AL10 8,142,36
AL10 9,166,36
AL2 1,81,36
AL2 2,52,36
AL2 3,70,36
AL3 4,78,36
AL3 5,62,36
AL3 6,32,36
AL3 7,41,36
AL3 8,40,36
AL4 0,104,36
AL4 8,38,36
AL4 9,61,36
AL5 1,43,36
AL5 2,57,36
AL5 3,21,36
AL5 4,90,36
AL5 5,66,36
AL6 0,54,36
AL6 9,42,36
AL7 1,102,36
AL7 2,62,36
AL7 3,126,36
AL7 4,102,36
AL7 9,0,36
AL8 6,76,36
AL8 7,63,36
AL9 5,46,36
AL9 6,10,36
AL9 7,92,36
B1 1,127,36
B1 2,106,36
B1 3,120,36
B10 0,215,36
B10 9,162,36
B11 1,188,36
B11 2,81,36
B11 3,201,36
B11 4,141,36
B12 0,211,36
B12 8,128,36
B12 9,164,36
B13 0,267,36
B13 3,0,36
B13 8,203,36
B13 9,328,36
B14 4,188,36
B14 5,228,36
B14 6,191,36
B14 7,291,36
B15 1,104,36
B15 2,253,36
B15 3,324,36
B16 0,276,36
B16 6,0,36
B16 8,184,36
B16 9,237,36
B17 0,297,36
B17 8,217,36
B17 9,157,36
B18 4,220,36
B18 5,164,36
B18 6,81,36
B18 7,113,36
B18 9,0,36
B19 1,184,36
B19 2,137,36
B19 3,126,36
B2 4,168,36
B2 5,82,36
B20 1,67,36
B20 2,340,36
B20 3,305,36
B21 0,239,36
B21 8,221,36
B21 9,338,36
B23 3,0,36
B23 5,305,36
B23 6,354,36
B23 7,498,36
B24 0,159,36
B24 8,233,36
B24 9,247,36
B25 8,336,36
B26 1,204,36
B26 2,125,36
B26 3,251,36
B27 6,237,36
B27 7,315,36
B28 0,218,36
B28 1,0,36
B28 8,173,36
B28 9,108,36
B29 4,94,36
B29 5,153,36
B29 6,532,36
B29 7,375,36
B29 9,0,36
