name,hh_total,hh_depchild
AB10 1,1518.91,147.81
AB10 6,5682.32,820.34
AB10 7,4413.55,897.67
AB11 5,1062.74,111.5
AB11 6,3566.42,408.92
AB11 7,1337.08,256.31
AB11 8,3104.0,751.57
AB11 9,1706.53,248.26
AB12 3,4252.35,1168.27
AB12 4,3967.58,1364.37
AB12 5,3965.76,1016.18
AB123 G,0.0,0.0
AB123 L,6.82,2.68
AB123 T,0.86,0.2
AB125 Y,24.51,10.28
AB13 0,1172.04,423.51
AB14 0,2285.69,524.64
AB140 L,8.81,2.12
AB140 N,4.0,0.93
AB15 4,2023.64,506.07
AB15 5,1918.65,489.17
AB15 6,2835.92,632.63
AB15 7,2431.0,543.69
AB15 8,4809.91,1473.77
AB15 9,3065.18,1067.25
AB158 Q,14.53,3.02
AB158 R,18.38,3.13
AB16 5,4586.39,1041.04
AB16 6,3619.39,882.15
AB16 7,4344.0,1461.49
AB21 0,3399.02,1199.69
AB21 7,3060.03,735.95
AB21 9,5556.92,1431.66
AB210 T,17.75,4.06
AB217 A,12.25,2.1
AB22 8,7132.34,1513.62
AB22 9,204.04,99.14
AB23 8,5159.41,1517.26
AB238 B,13.0,2.79
AB238 U,4.31,1.03
AB24 1,2535.64,317.08
AB24 2,3893.63,1025.95
AB24 3,3240.0,497.65
AB24 4,3291.15,630.06
AB24 5,4588.6,407.96
AB25 1,2729.22,263.69
AB25 2,3342.99,504.31
AB25 3,3602.98,461.62
AB30 1,3305.91,1025.11
AB31 4,1983.42,511.07
AB31 5,3900.76,1135.22
AB31 6,834.75,232.78
AB315 A,8.09,1.88
AB315 E,7.94,2.29
AB32 6,5270.02,1607.34
AB32 7,389.55,121.49
AB326 S,12.44,2.6
AB326 X,9.94,3.45
AB33 8,2564.31,707.78
AB34 4,532.99,111.09
AB34 5,2018.53,483.92
AB35 5,1251.58,197.62
AB36 8,242.4,43.9
AB368 Y,13.63,2.33
AB37 9,578.97,93.34
AB38 7,952.0,184.05
AB38 9,1098.34,232.88
AB39 2,5077.14,1246.19
AB39 3,2689.6,859.03
AB39 8,274.26,107.78
AB41 6,1381.7,434.87
AB41 7,2229.12,658.14
AB41 8,1889.73,686.79
AB41 9,3741.06,801.81
AB42 0,1506.09,345.11
AB42 1,4529.8,952.06
AB42 2,3607.9,854.3
AB42 3,2512.19,892.9
AB42 4,1844.06,510.11
AB42 5,2172.65,546.58
AB423 N,6.0,1.8
AB43 6,1491.42,361.05
AB43 7,1982.52,636.16
AB43 8,1924.33,437.92
AB43 9,5526.67,1311.6
AB44 1,1801.0,418.0
AB45 1,1952.81,385.72
AB45 2,2262.92,434.09
AB45 3,1069.47,234.54
AB452 X,3.13,0.68
