name,country,share
AB10,Scotland,1.0
AB11,Scotland,1.0
AB12,Scotland,1.0
AB13,Scotland,1.0
AB14,Scotland,1.0
AB15,Scotland,1.0
AB16,Scotland,1.0
AB21,Scotland,1.0
AB22,Scotland,1.0
AB23,Scotland,1.0
AB24,Scotland,1.0
AB25,Scotland,1.0
AB30,Scotland,1.0
AB31,Scotland,1.0
AB32,Scotland,1.0
AB33,Scotland,1.0
AB34,Scotland,1.0
AB35,Scotland,1.0
AB36,Scotland,1.0
AB37,Scotland,1.0
AB38,Scotland,1.0
AB39,Scotland,1.0
AB41,Scotland,1.0
AB42,Scotland,1.0
AB43,Scotland,1.0
AB44,Scotland,1.0
AB45,Scotland,1.0
AB51,Scotland,1.0
AB52,Scotland,1.0
AB53,Scotland,1.0
AB54,Scotland,1.0
AB55,Scotland,1.0
AB56,Scotland,1.0
AL1,England,1.0
AL2,England,1.0
AL3,England,1.0
AL4,England,1.0
AL5,England,1.0
AL6,England,1.0
AL7,England,1.0
AL8,England,1.0
AL9,England,1.0
AL10,England,1.0
B1,England,1.0
B2,England,1.0
B3,England,1.0
B4,England,1.0
B5,England,1.0
B6,England,1.0
B7,England,1.0
B8,England,1.0
B9,England,1.0
B10,England,1.0
B11,England,1.0
B12,England,1.0
B13,England,1.0
B14,England,1.0
B15,England,1.0
B16,England,1.0
B17,England,1.0
B18,England,1.0
B19,England,1.0
B20,England,1.0
B21,England,1.0
B23,England,1.0
B24,England,1.0
B25,England,1.0
B26,England,1.0
B27,England,1.0
B28,England,1.0
B29,England,1.0
B30,England,1.0
B31,England,1.0
B32,England,1.0
B33,England,1.0
B34,England,1.0
B35,England,1.0
B36,England,1.0
B37,England,1.0
B38,England,1.0
B40,England,1.0
B42,England,1.0
B43,England,1.0
B44,England,1.0
B45,England,1.0
B46,England,1.0
B47,England,1.0
B48,England,1.0
B49,England,1.0
B50,England,1.0
B60,England,1.0
B61,England,1.0
B62,England,1.0
B63,England,1.0
B64,England,1.0
B65,England,1.0
B66,England,1.0
B67,England,1.0
B68,England,1.0
B69,England,1.0
B70,England,1.0
B71,England,1.0
B72,England,1.0
B73,England,1.0
B74,England,1.0
B75,England,1.0
B76,England,1.0
B77,England,1.0
B78,England,1.0
B79,England,1.0
B80,England,1.0
B90,England,1.0
B91,England,1.0
B92,England,1.0
B93,England,1.0
B94,England,1.0
B95,England,1.0
B96,England,1.0
B97,England,1.0
B98,England,1.0
BA1,England,1.0
BA2,England,1.0
BA3,England,1.0
BA4,England,1.0
BA5,England,1.0
BA6,England,1.0
BA7,England,1.0
BA8,England,1.0
BA9,England,1.0
BA10,England,1.0
BA11,England,1.0
BA12,England,1.0
BA13,England,1.0
BA14,England,1.0
BA15,England,1.0
BA16,England,1.0
BA20,England,1.0
BA21,England,1.0
BA22,England,1.0
BB1,England,1.0
BB2,England,1.0
BB3,England,1.0
BB4,England,1.0
BB5,England,1.0
BB6,England,1.0
BB7,England,1.0
BB8,England,1.0
BB9,England,1.0
BB10,England,1.0
BB11,England,1.0
BB12,England,1.0
BB18,England,1.0
BD1,England,1.0
BD2,England,1.0
BD3,England,1.0
BD4,England,1.0
BD5,England,1.0
BD6,England,1.0
BD7,England,1.0
BD8,England,1.0
BD9,England,1.0
BD10,England,1.0
BD11,England,1.0
BD12,England,1.0
BD13,England,1.0
BD14,England,1.0
BD15,England,1.0
BD16,England,1.0
BD17,England,1.0
BD18,England,1.0
BD19,England,1.0
BD20,England,1.0
BD21,England,1.0
BD22,England,1.0
BD23,England,1.0
BD24,England,1.0
