name,sev_rel,dwellings
AB10 1,0.8858,2456
AB10 6,1.0701,6213
AB10 7,0.9503,5027
AB11 5,0.8049,1447
AB11 6,0.9158,4462
AB11 7,1.2122,1579
AB11 8,0.7669,3515
AB11 9,0.7305,2209
AB12 3,1.0694,4507
AB12 4,1.1797,3912
AB12 5,0.9699,4177
AB12 9,0.9761,476
AB13 0,1.7267,1291
AB14 0,1.1457,2380
AB15 4,1.6100,2232
AB15 5,1.4666,1817
AB15 6,1.1288,3471
AB15 7,1.4279,2570
AB15 8,1.4631,5158
AB15 9,1.6264,3532
AB16 5,0.8121,4887
AB16 6,0.7853,3837
AB16 7,0.7972,4705
AB16 9,1.1101,407
AB21 0,1.2846,4011
AB21 1,1.0373,13
AB21 7,1.0418,2981
AB21 9,0.9779,6257
AB22 8,1.1335,7266
AB22 9,1.2933,374
AB23 8,1.2100,5287
AB23 9,1.1938,46
AB24 1,0.7911,2655
AB24 2,0.7810,4312
AB24 3,0.8177,4342
AB24 4,0.9156,3844
AB24 5,0.8057,6142
AB25 1,0.7975,2876
AB25 2,0.9732,3733
AB25 3,0.8300,4594
AB25 9,1.0434,99
AB30 1,1.1373,3615
AB30 9,1.2557,10
AB31 4,1.4580,2168
AB31 5,1.3690,4020
AB31 6,1.6369,851
AB31 9,1.6324,92
AB32 6,1.4170,5256
AB32 7,1.4182,448
AB32 9,1.1222,27
AB33 8,1.2492,2825
AB34 4,1.2034,604
AB34 5,1.3671,2174
AB35 5,1.1900,1655
AB36 8,1.1548,318
AB37 9,0.9536,794
AB38 7,0.8724,998
AB38 9,0.9456,1066
AB39 2,1.2103,5032
AB39 3,1.3474,3120
AB39 8,1.3870,381
AB39 9,0.9599,50
AB41 1,0.9221,43
AB41 6,1.3285,1512
AB41 7,1.2298,2338
AB41 8,1.3152,2055
AB41 9,1.0328,3842
AB42 0,0.9880,1687
AB42 1,0.8049,4754
AB42 2,0.8686,3423
AB42 3,1.0841,2893
AB42 4,1.0416,1910
AB42 5,1.0096,2366
AB42 9,0.8204,84
AB43 6,0.8776,1591
AB43 7,1.0022,2237
AB43 8,0.9633,2046
AB43 9,0.7984,5536
AB44 1,0.8238,1973
AB45 1,0.8383,2074
AB45 2,0.9030,2492
AB45 3,0.9990,1391
AB51 0,1.3119,4804
AB51 1,1.0090,72
AB51 3,0.9976,2530
AB51 4,1.0537,2966
AB51 5,1.2501,3808
AB51 6,1.4164,844
AB51 7,1.4996,1074
AB51 8,1.1602,884
AB52 6,1.2190,2397
AB53 4,0.9184,2843
AB53 5,1.0246,1003
AB53 6,0.9837,686
AB53 8,1.1245,1379
AB53 9,0.8798,17
AB54 4,1.0420,1629
AB54 6,1.0606,600
AB54 7,0.9492,1314
AB54 8,0.8867,2158
AB54 9,1.0553,33
AB55 4,0.8274,1176
AB55 5,0.8231,2667
AB55 6,0.9864,944
AB56 1,0.8201,4024
AB56 4,0.8657,2276
AB56 5,0.9510,1260
AB56 9,0.7946,13
AB99 8,1.2215,29
AL1 1,1.2133,2983
AL1 2,1.1565,2774
AL1 3,1.1460,3353
AL1 4,1.4111,3645
AL1 5,1.1024,4206
AL1 9,1.0900,554
AL10 0,0.9766,4094
AL10 1,0.9016,204
AL10 8,0.9971,4691
AL10 9,1.0840,5613
AL2 1,1.1310,4233
AL2 2,1.2750,2770
AL2 3,1.3726,3472
AL3 4,1.4410,2716
AL3 5,1.2200,3524
AL3 6,1.1917,2071
AL3 7,1.3064,2125
AL3 8,1.2147,2152
AL4 0,1.2593,4236
AL4 8,1.3446,2618
AL4 9,1.2480,4904
AL5 1,1.3633,2747
AL5 2,1.6687,2190
AL5 3,1.5341,1889
AL5 4,1.3270,3104
AL5 5,1.2817,3166
AL5 9,1.0878,44
AL6 0,1.5283,2752
AL6 9,1.3336,2730
AL7 1,1.0072,3210
AL7 2,1.0690,3612
AL7 3,0.9896,4652
AL7 4,1.0104,4746
AL7 9,0.9319,421
AL8 6,1.1539,2987
AL8 7,1.2538,3072
AL9 5,1.2253,1403
AL9 6,1.5259,1080
AL9 7,1.3416,2654
B1 1,1.0298,3800
B1 2,0.9953,2458
B1 3,1.0352,2423
B10 0,0.7614,3026
B10 9,0.7800,4603
B11 1,0.7559,3251
B11 2,0.7589,1719
B11 3,0.7863,4959
B11 4,0.8234,3440
B11 9,0.8525,47
B12 0,0.8546,2814
B12 8,0.7714,2689
B12 9,0.8117,3044
B13 0,0.8935,5417
B13 3,1.0224,236
B13 8,1.0269,3587
B13 9,0.9614,6760
B14 4,0.8381,5303
B14 5,0.8169,4990
B14 6,0.9169,4684
B14 7,0.9131,3792
B15 1,0.9778,3135
B15 2,0.9882,4975
B15 3,1.2651,2370
B16 0,0.8479,4098
B16 6,0.7986,385
B16 8,0.9873,4960
B16 9,0.9124,3448
B17 0,0.9494,4359
B17 8,1.1085,3786
B17 9,1.1135,3797
B18 4,0.7530,2192
B18 5,0.7977,2230
B18 6,1.0278,1684
B18 7,0.7825,1836
B18 9,1.0579,192
B19 1,0.7631,3136
B19 2,0.7698,3346
B19 3,0.8676,2540
B2 2,0.8872,578
B2 4,1.0522,394
B2 5,1.0589,172
B20 1,0.9887,2724
B20 2,0.8988,4450
B20 3,0.7946,5113
B21 0,0.7454,3344
B21 1,0.7921,49
B21 8,0.8037,3222
B21 9,0.7648,3656
B23 3,0.7620,313
B23 5,0.8532,7596
B23 6,0.7975,5347
B23 7,0.8100,7428
B24 0,0.9273,4925
B24 8,0.8252,3393
B24 9,0.8662,4306
B25 8,0.8018,6352
B25 9,0.8525,161
B26 1,0.9083,4534
B26 2,0.8627,4859
B26 3,0.8797,5038
B27 6,0.8829,4230
B27 7,0.8033,6133
B28 0,0.9796,5752
B28 1,0.9209,104
B28 8,0.9061,3707
B28 9,0.9368,2851
B29 4,0.9795,3110
B29 5,0.8535,4373
B29 6,0.8818,6631
B29 7,0.9326,4626
B29 9,0.8585,94
B3 1,1.0257,2473
B3 2,1.0189,263
B3 3,1.0827,272
B30 1,0.9933,4616
B30 2,0.8599,5076
B30 3,0.8741,3961
B30 9,0.8507,151
B31 1,0.8522,4529
B31 2,0.9223,6594
B31 3,0.8480,5122
B31 4,0.8447,4667
B31 5,0.8834,4569
B31 9,0.8852,222
B32 1,0.8890,3685
B32 2,0.8590,5593
B32 3,0.8319,5061
B32 4,0.8347,2634
B32 9,0.8731,291
B33 0,0.8069,5156
B33 3,0.8337,219
B33 8,0.8286,5005
B33 9,0.7768,4964
B34 6,0.8658,4506
B34 7,0.8169,3560
B35 6,0.7854,1953
B35 7,0.7957,2304
B35 9,0.8091,79
B36 0,0.8590,5765
B36 8,0.8684,4503
B36 9,0.9456,4141
B37 5,0.7716,4948
B37 6,0.8265,5383
B37 7,0.8893,6130
B37 9,0.7622,195
B38 0,0.9938,771
B38 8,0.9462,3830
B38 9,0.8333,4613
B4 6,0.9869,1991
B4 7,0.9625,1581
B40 1,1.0409,115
B42 1,0.8943,4356
B42 2,0.8599,6005
B42 9,0.8566,229
B43 5,0.9106,4480
B43 6,1.0465,3033
B43 7,0.9409,5015
B44 0,0.7972,6237
B44 8,0.8676,4325
B44 9,0.8375,4801
B45 0,0.7913,3256
B45 5,0.8816,191
B45 8,1.1228,5513
B45 9,0.9169,5655
B46 1,1.0025,3272
B46 2,1.2398,1178
B46 3,1.0648,1445
B46 9,0.9864,164
B47 5,1.1262,2837
B47 6,1.1977,1539
B48 7,1.1654,2649
B49 5,1.1064,2224
B49 6,1.0696,3141
B49 9,1.0162,88
B5 4,1.0016,1831
B5 5,0.8997,838
B5 6,0.9220,1344
B5 7,0.9000,5241
B50 4,1.0797,3345
B6 4,0.8091,758
B6 5,0.7664,1335
B6 6,0.7698,3075
B6 7,0.7665,1540
B6 9,0.7387,15
B60 1,1.2316,2668
B60 2,1.1268,3124
B60 3,0.9766,3759
B60 4,1.1112,1811
B60 9,0.9654,886
B61 0,1.0341,5308
B61 7,0.9865,2419
B61 8,0.9139,3127
B61 9,1.2357,1187
B62 0,1.1095,2591
B62 2,0.8403,259
B62 8,0.9829,3077
B62 9,0.9408,4781
B63 1,1.0670,2344
B63 2,0.8418,5524
B63 3,0.8939,4005
B63 4,0.9126,4536
B64 5,0.8147,2571
B64 6,0.8074,3012
B64 7,0.9060,2948
B65 0,0.7945,2993
B65 8,0.8772,3283
B65 9,0.8136,4456
B66 1,0.8100,1716
B66 2,0.8230,1675
B66 3,0.7881,2880
B66 4,0.8026,3822
B67 5,0.8664,4290
B67 6,0.7938,3984
B67 7,0.7989,3119
B67 9,0.7465,120
B68 0,0.8914,4045
B68 8,0.8258,4193
B68 9,0.8530,4912
B69 1,0.8443,6167
B69 2,0.8333,2383
B69 3,0.8615,1717
B69 4,0.7942,2695
B69 9,0.7909,338
B7 4,0.7817,1762
B7 5,0.7340,1982
B70 0,0.8082,3320
B70 1,0.7990,198
B70 6,0.8056,2865
B70 7,0.7823,1698
B70 8,0.7749,2035
B70 9,0.7811,3049
B71 1,0.8015,3553
B71 2,0.8075,4104
B71 3,0.8899,4195
B71 4,0.8281,1875
B72 1,1.1716,4523
B73 5,1.0605,5770
B73 6,1.1674,4409
B73 9,1.1273,342
B74 2,1.2414,4288
B74 3,1.2794,4504
B74 4,1.2787,4837
B75 5,1.1819,3903
B75 6,1.2589,3521
B75 7,0.9704,4247
B76 0,1.2909,239
B76 1,1.1286,5289
B76 2,1.0899,2618
B76 9,1.0609,1374
B77 1,0.9379,4448
B77 2,0.8204,5473
B77 3,0.8895,4002
B77 4,0.9083,5943
B77 5,0.9206,4013
B77 9,0.8744,488
B78 1,0.9144,4506
B78 2,0.9623,2275
B78 3,0.9844,4799
B79 0,1.0956,2309
B79 7,0.8840,3653
B79 8,0.9291,4883
B79 9,1.2253,1099
B8 1,0.7600,3156
B8 2,0.7852,5308
B8 3,0.7584,4627
B80 7,1.0139,3319
B9 4,0.7879,1356
B9 5,0.7645,5860
B9 9,0.7446,352
B90 1,1.1128,5810
B90 2,1.0427,5104
B90 3,1.0610,4984
B90 4,1.1378,6063
B90 8,1.2022,714
B90 9,0.9362,154
B91 1,1.4217,4518
B91 2,1.1861,5149
B91 3,1.3342,4342
B91 9,1.2960,795
B92 0,1.3003,2054
B92 7,1.0259,5191
B92 8,0.9984,5436
B92 9,1.0086,3630
B93 0,1.3011,1822
B93 3,1.1401,205
B93 8,1.4045,3367
B93 9,1.3645,3353
B94 5,1.4015,1674
B94 6,1.3293,1998
B95 5,1.2336,2304
B95 6,1.1440,1059
B95 8,1.2261,67
B96 6,1.2183,2505
B97 4,0.9229,2741
B97 5,1.0620,7594
B97 6,0.9556,4767
B97 9,0.9713,846
B98 0,0.8990,6211
B98 7,0.8932,8219
B98 8,0.8784,3550
B98 9,0.9561,3047
B99 1,0.7387,64
BA1 0,1.0408,812
BA1 1,0.9721,1429
BA1 2,1.0543,3890
BA1 3,1.0895,3415
BA1 4,1.0509,2377
BA1 5,1.1809,2873
BA1 6,1.0133,3933
BA1 7,1.1662,2584
BA1 8,1.3173,494
BA1 9,1.4299,481
BA10 0,1.0747,1655
BA11 1,0.8944,3637
BA11 2,1.0301,4724
BA11 3,0.9664,2332
BA11 4,0.9580,2691
BA11 5,1.0313,1915
BA11 6,1.1940,870
BA11 9,0.8804,141
BA12 0,1.0830,2754
BA12 2,0.8894,129
BA12 6,1.0686,2287
BA12 7,1.2126,1851
BA12 8,0.9751,4526
BA12 9,0.9786,3226
BA13 2,1.0117,208
BA13 3,0.9655,6743
BA13 4,1.1148,3131
BA13 9,1.0042,97
BA14 0,0.9507,5525
BA14 4,0.8188,618
BA14 6,1.1592,3434
BA14 7,1.0432,6819
BA14 8,0.8946,3376
BA14 9,0.9908,3945
BA15 1,1.0819,4576
BA15 2,1.2212,1983
BA15 5,1.1170,90
BA16 0,0.9530,4973
BA16 9,0.9312,1122
BA2 0,1.1068,2127
BA2 1,0.8920,5562
BA2 2,1.0148,4987
BA2 3,0.9868,4944
BA2 4,1.1849,2609
BA2 5,1.1137,3847
BA2 6,1.2768,3085
BA2 7,1.3085,2568
BA2 8,1.0451,3508
BA2 9,1.1761,859
BA20 1,0.8552,2023
BA20 2,1.0238,3730
BA20 9,0.8628,271
BA21 3,0.9522,6346
BA21 4,0.8790,4378
BA21 5,0.8966,5110
BA22 7,1.1893,1846
BA22 8,1.0331,4456
BA22 9,1.1199,2704
BA3 2,0.9778,4917
BA3 3,0.9036,4406
BA3 4,1.1097,3576
BA3 5,1.0777,3236
BA3 9,0.8961,102
BA4 4,1.0987,2580
BA4 5,0.9114,3591
BA4 6,1.1122,2264
BA4 9,0.9325,340
BA5 1,1.0966,3599
BA5 2,1.0507,3713
BA5 3,1.1156,2176
BA5 9,0.9430,122
BA6 0,0.8323,86
BA6 8,1.0804,3194
BA6 9,0.9447,3535
BA7 7,1.0493,2227
BA8 0,1.0786,2168
BA9 0,0.8757,91
BA9 8,1.2361,949
BA9 9,0.9995,3036
BB1 1,0.7415,3826
BB1 2,0.8050,3987
BB1 3,0.7779,1934
BB1 4,0.8498,3300
BB1 5,0.7687,3004
BB1 6,0.7663,1375
BB1 7,0.7469,634
BB1 8,0.8953,3827
BB1 9,1.0241,4410
BB10 1,0.7560,3683
BB10 2,0.9027,4915
BB10 3,0.8545,3789
BB10 4,0.8330,4980
BB11 1,0.7515,710
BB11 2,0.7975,2439
BB11 3,0.8073,2554
BB11 4,0.7918,3176
BB11 5,0.8232,3304
BB11 9,0.7280,205
BB12 0,0.8804,3208
BB12 6,0.8212,4474
BB12 7,0.9256,3369
BB12 8,0.8375,4174
BB12 9,1.1159,1604
BB18 5,0.8534,3915
BB18 6,0.8487,4153
BB18 9,0.7746,46
BB2 1,0.7436,2050
BB2 2,0.7591,2602
BB2 3,0.7623,4921
BB2 4,0.8304,7025
BB2 5,1.0106,3438
BB2 6,0.8708,3712
BB2 7,1.1861,3248
BB2 9,0.7298,503
BB3 0,0.8452,4408
BB3 1,0.8221,3274
BB3 2,0.8650,4307
BB3 3,0.8586,4427
BB3 9,0.7573,82
BB4 0,1.0256,179
BB4 4,0.9469,3264
BB4 5,0.7895,2870
BB4 6,0.9112,3503
BB4 7,0.8660,2609
BB4 8,0.9510,4215
BB4 9,0.8448,2812
BB5 0,0.7456,4024
BB5 1,0.7423,2025
BB5 2,0.9048,3462
BB5 3,0.8316,4047
BB5 4,0.8085,4109
BB5 5,0.8447,5519
BB5 6,0.8109,4990
BB5 9,0.7552,339
BB6 7,0.8522,5382
BB6 8,1.1831,1554
BB7 0,1.0039,385
BB7 1,0.9516,3866
BB7 2,0.9836,4087
BB7 3,1.1809,1455
BB7 4,1.1890,2575
BB7 9,1.1462,5298
BB8 0,0.7616,2837
BB8 7,0.9802,2672
BB8 8,0.8703,2671
BB8 9,0.7869,3383
BB9 0,0.8269,4360
BB9 4,0.7335,560
BB9 5,0.8357,2951
BB9 6,1.0567,2514
BB9 7,0.7310,2226
BB9 8,0.7908,3707
BB9 9,0.7561,3237
BB94 0,0.7941,23
BD1 1,0.7684,739
BD1 2,0.7666,1235
BD1 3,0.7568,807
BD1 4,0.7781,814
BD1 5,0.7760,927
BD1 9,0.7767,559
BD10 0,0.9159,4620
BD10 8,0.9465,4848
BD10 9,0.8667,3077
BD11 1,0.9630,2812
BD11 2,0.9658,2618
BD12 0,0.8519,2601
BD12 7,0.9064,1063
BD12 8,0.8127,2222
BD12 9,0.8697,2116
BD13 1,0.9306,2246
BD13 2,0.9532,3624
BD13 3,0.9171,3228
BD13 4,0.9036,1808
BD13 5,1.0364,1596
BD13 9,0.7946,55
BD14 6,0.9068,3733
BD15 0,1.0261,2035
BD15 7,0.8401,3303
BD15 8,0.8880,376
BD15 9,0.9895,1260
BD16 1,1.0025,4396
BD16 2,0.9253,2026
BD16 3,1.1226,2509
BD16 4,0.9999,3482
BD16 9,0.7946,38
BD17 5,1.0691,3208
BD17 6,1.0554,3023
BD17 7,0.9198,2629
BD18 1,0.8574,3204
BD18 2,0.7960,2808
BD18 3,0.8905,2862
BD18 4,1.0024,3231
BD18 9,0.7946,109
BD19 3,0.8310,2810
BD19 4,0.9435,4318
BD19 5,0.8674,1502
BD19 6,0.9438,2283
BD19 9,0.8321,38
BD2 1,0.8667,3784
BD2 2,0.8544,2312
BD2 3,0.8411,4374
BD2 4,0.8558,3338
BD20 0,0.9701,3102
BD20 5,1.0576,3144
BD20 6,1.0014,3457
BD20 7,0.9633,2408
BD20 8,1.0156,2932
BD20 9,1.0488,2206
BD21 1,0.7641,2591
BD21 2,0.7661,1961
BD21 3,0.7490,1497
BD21 4,0.8440,2819
BD21 5,0.8187,2118
BD21 9,0.7252,106
BD22 0,1.0030,2500
BD22 6,0.8543,3486
BD22 7,0.9128,3853
BD22 8,0.9121,1903
BD22 9,0.9823,2233
BD23 0,0.9096,15
BD23 1,0.9984,3373
BD23 2,0.8747,4053
BD23 3,1.1509,2211
BD23 4,1.1150,1802
BD23 5,1.1846,1842
BD23 6,1.2227,1993
BD23 9,0.9096,359
BD24 0,1.1581,1007
BD24 9,1.0072,1883
BD3 0,0.7675,2947
BD3 7,0.7921,2515
BD3 8,0.7529,2939
BD3 9,0.7476,2294
BD4 0,0.8161,3116
BD4 6,0.8864,3268
BD4 7,0.7566,2202
BD4 8,0.8225,3166
BD4 9,0.7536,2601
BD5 0,0.7678,2155
BD5 5,0.7799,140
BD5 7,0.7428,1632
BD5 8,0.7793,3023
BD5 9,0.7588,3479
BD6 1,0.8351,4025
BD6 2,0.7949,3476
BD6 3,0.8589,5581
BD7 1,0.7833,1698
BD7 2,0.7927,3745
BD7 3,0.7662,2699
BD7 4,0.8746,3649
BD8 0,0.8598,3046
BD8 7,0.8037,1856
BD8 8,0.7767,2057
BD8 9,0.7729,3222
BD9 4,0.8989,2875
BD9 5,0.9099,2798
BD9 6,0.9074,3673
