name,er_dc50_hi,er_dc100_hi,er_dc50_lo,er_dc100_lo,er_dc50_hi_m2,er_dc100_hi_m2,er_dc50_lo_m2,er_dc100_lo_m2
AB11 8,1.531e-05,0.0001119,1.096e-05,2.731e-05,312.9,2287.9,224.1,558.3
AB12 3,8.9e-07,1.917e-05,0.0,0.0,29.3,633.7,0.0,0.0
AB23 8,0.00542556,0.01891344,0.00496633,0.01374695,509170.7,1774963.1,466073.6,1290105.2
AB39 2,0.00013854,0.00073677,8.464e-05,0.00017738,8604.2,45758.6,5256.5,11016.3
AB39 3,5.31e-06,5.026e-05,3.66e-06,9.1e-06,982.1,9297.6,677.3,1682.5
AB41 6,0.00085419,0.00228485,0.0006346,0.00133596,70290.8,188018.9,52220.7,109935.2
AB41 8,3.6e-07,6.76e-06,0.0,3e-08,71.5,1331.3,0.0,6.1
AB42 0,4.44e-05,0.00064964,1.49e-05,4.159e-05,4065.5,59480.0,1364.6,3807.7
AB42 1,3.01e-06,8.433e-05,0.0,0.0,52.1,1461.1,0.0,0.0
AB42 3,0.00041986,0.00229037,0.00029072,0.0007347,52529.0,286552.5,36372.1,91920.1
AB43 6,6.294e-05,0.00037742,3.296e-05,8.643e-05,8930.4,53554.5,4677.0,12263.7
AB43 7,5.513e-05,0.0005469,2.752e-05,7.168e-05,5582.1,55381.0,2786.4,7258.1
AB43 8,0.00035651,0.00258758,0.00020715,0.0005528,38112.3,276620.8,22145.5,59095.8
AB43 9,0.0001244,0.00078872,9.085e-05,0.00023547,1869.3,11852.1,1365.3,3538.4
AB44 1,1.35e-06,4.297e-05,0.0,1e-08,11.0,350.5,0.0,0.0
AB45 1,0.00025028,0.00318718,2.922e-05,0.00010907,1444.2,18390.9,168.6,629.4
AB45 2,0.0001176,0.00095358,6.83e-05,0.00017848,17586.4,142596.3,10214.1,26689.8
AB45 3,4.642e-05,0.00027745,2.647e-05,6.917e-05,8512.8,50882.7,4855.4,12685.1
AB56 1,0.00106437,0.00354776,0.00067924,0.00152874,13181.3,43936.0,8411.8,18932.1
AB56 4,0.00095264,0.00270244,0.00083036,0.00176305,61108.0,173350.7,53264.1,113092.6
AB56 5,0.00039217,0.00189591,0.00027217,0.00070072,37239.6,180032.8,25845.3,66539.4
DD10 0,0.0002335,0.00186817,0.00013587,0.00035268,30034.9,240297.7,17476.3,45364.6
DD10 8,0.00611374,0.02028507,0.00532812,0.01340066,53950.4,179004.4,47017.7,118253.4
DD10 9,0.00056648,0.00259772,0.00037315,0.0009509,61337.8,281279.4,40404.6,102962.4
DD11 1,2.813e-05,0.00207751,1.586e-05,6.231e-05,222.5,16432.1,125.4,492.8
DD11 2,0.00023979,0.00227313,8.225e-05,0.00021706,15971.5,151402.8,5478.3,14457.5
DD11 5,0.00088014,0.0042717,0.00060211,0.00154466,61099.2,296539.7,41798.1,107229.7
DD5 1,2.421e-05,0.00020744,1.835e-05,4.698e-05,93.0,796.5,70.4,180.4
DD5 2,0.00111115,0.00399486,0.00104897,0.00285551,8815.3,31693.2,8322.0,22654.2
DD5 4,0.00058543,0.00384286,0.00023903,0.00070236,10181.0,66830.2,4157.0,12214.7
DD6 9,0.01038739,0.03548095,0.0092203,0.02477239,303426.2,1036434.3,269334.1,723626.5
DD7 6,0.00065598,0.00759314,0.0004145,0.00116223,24252.6,280732.0,15324.7,42969.6
DD7 7,0.00322531,0.01028921,0.00263129,0.00626239,179180.5,571612.5,146180.0,347904.1
DG1 4,3e-08,2.03e-06,1e-08,2e-08,4.4,329.1,1.4,3.7
DG12 5,0.00064047,0.00280118,0.00047355,0.0011553,64549.9,282319.2,47726.9,116437.5
DG12 6,0.00093656,0.0036724,0.00072603,0.00187324,54243.9,212699.1,42050.1,108495.0
DG2 8,0.00114195,0.00424576,0.00082325,0.00209525,376452.3,1399648.1,271389.7,690716.1
DG5 4,8.669e-05,0.00024052,2.344e-05,6.12e-05,11216.7,31122.0,3033.4,7919.2
DG6 4,6.05e-05,0.00018024,4.105e-05,8.339e-05,15369.7,45792.1,10430.2,21187.0
DG7 1,5.26e-05,0.00047117,1.637e-05,4.274e-05,8646.0,77445.1,2690.3,7025.8
DG7 2,2.938e-05,7.497e-05,8.84e-06,2.249e-05,10239.4,26126.5,3079.7,7836.8
DG8 0,1.697e-05,0.00021459,5.98e-06,1.516e-05,7903.2,99924.4,2786.6,7058.4
DG8 7,1.876e-05,0.00021605,7.99e-06,2.081e-05,4308.8,49631.8,1835.5,4780.0
DG8 8,0.00015789,0.00107947,8.038e-05,0.00022222,32079.3,219324.3,16332.0,45150.9
DG8 9,8.518e-05,0.00096946,4.333e-05,0.00011038,20917.8,238080.9,10642.0,27108.3
DG9 0,0.00034903,0.00165248,0.0002709,0.00066548,59308.9,280796.7,46032.2,113081.8
DG9 8,0.00188719,0.00663395,0.00159968,0.00416152,335458.3,1179220.5,284351.6,739732.3
DG9 9,0.00209516,0.01022436,0.00129618,0.00339015,607382.4,2964014.1,375757.7,982795.8
EH15 1,0.00163339,0.00688265,0.00027071,0.0007398,10580.7,44584.0,1753.6,4792.2
EH15 2,0.00178854,0.00798522,0.00069745,0.00174254,11404.1,50915.4,4447.1,11110.8
EH21 6,0.00460881,0.03953543,0.00162018,0.00420681,23787.8,204056.8,8362.3,21712.9
EH21 7,0.00022952,0.00180157,0.00010696,0.00027839,2333.8,18318.7,1087.6,2830.7
EH30 9,0.00094217,0.00541613,0.00066043,0.00168364,35917.8,206477.1,25177.1,64184.7
EH31 2,0.00350633,0.01062883,0.00229478,0.00548646,51624.3,156490.1,33786.4,80778.1
EH32 0,0.00161237,0.01261163,0.00073023,0.00165264,98113.6,767426.5,44434.7,100564.6
EH32 9,0.00284443,0.01479011,0.00135558,0.00310384,32598.7,169502.6,15535.6,35571.6
EH39 4,9.064e-05,0.0028051,2.921e-05,6.503e-05,1211.9,37508.0,390.6,869.5
EH39 5,0.0003703,0.00174052,0.00026866,0.00058431,45971.2,216079.3,33353.2,72540.5
EH4 5,0.00061037,0.00127129,0.00024274,0.000624,3974.7,8278.6,1580.7,4063.5
EH4 6,0.00132805,0.00853121,0.0005941,0.00140558,13340.5,85697.7,5967.8,14119.4
EH42 1,0.00055805,0.0025558,0.00046643,0.00123545,96777.3,443232.0,80889.0,214254.2
EH49 7,0.00074186,0.00602874,0.00036707,0.00095301,25025.0,203365.9,12382.4,32147.7
EH5 1,0.00043799,0.00145392,0.00024073,0.00046779,6295.4,20897.5,3460.1,6723.7
EH51 9,0.00121993,0.00595489,0.00046614,0.00123799,18684.5,91205.5,7139.4,18961.2
EH7 6,1.182e-05,0.00015956,0.0,0.0,32.1,433.7,0.0,0.0
G82 5,0.00054369,0.00414125,0.00025147,0.00066016,19726.1,150252.6,9123.8,23951.9
G83 7,1.191e-05,5.941e-05,8.58e-06,2.263e-05,3014.1,15040.8,2172.2,5729.0
G84 0,0.00015913,0.00072631,0.00011343,0.0002617,18344.8,83732.0,13077.2,30170.1
G84 7,9.97e-06,0.00043119,6.82e-06,1.128e-05,121.5,5257.7,83.1,137.6
G84 8,1.574e-05,0.00022071,5.09e-06,1.358e-05,635.0,8904.1,205.2,548.0
HS1 2,0.00028162,0.00157523,0.0001677,0.00044944,2323.9,12998.7,1383.8,3708.8
HS2 0,0.0001549,0.00094571,8.881e-05,0.00023608,117247.4,715816.2,67223.0,178693.3
HS2 9,3.049e-05,0.00017733,2.142e-05,5.889e-05,44992.3,261697.5,31617.1,86905.8
HS3 3,0.00013486,0.00060404,9.381e-05,0.00024874,117029.5,524162.4,81405.7,215844.1
HS5 3,2.919e-05,0.00026746,9.69e-06,2.452e-05,2529.5,23176.3,839.3,2124.6
HS6 5,0.00179338,0.00791916,0.00133329,0.00348392,1415580.9,6250887.2,1052411.8,2749986.6
HS7 5,0.00135038,0.00394195,0.00104652,0.00183207,226111.9,660053.5,175232.8,306767.4
HS8 5,0.00091251,0.00643442,0.00047544,0.00124639,547650.9,3861678.8,285337.9,748034.8
HS9 5,0.00018428,0.00091101,0.00012524,0.00032587,65521.2,323910.6,44527.7,115862.9
IV1 3,0.00021969,0.00106811,0.00015818,0.00040806,8091.9,39342.7,5826.5,15030.6
IV10 8,0.00080291,0.00192936,0.00056727,0.00093042,38189.2,91767.5,26981.3,44254.1
IV11 8,0.00151568,0.00303446,0.0006061,0.00144632,88219.0,176617.9,35277.4,84181.7
IV12 4,0.00234841,0.01096868,0.00148199,0.00346702,19931.4,93093.1,12577.9,29425.2
IV12 5,4.784e-05,0.00038849,1.276e-05,3.911e-05,18354.6,149063.3,4895.2,15008.2
IV16 9,2.543e-05,0.00021487,1.564e-05,4.136e-05,2248.5,19001.8,1382.8,3657.2
IV17 0,4.6e-07,6.41e-06,6e-08,2.9e-07,125.6,1762.6,17.8,79.4
IV18 0,0.00014244,0.00194189,5.286e-05,0.00016353,15691.4,213924.9,5823.6,18015.4
IV19 1,0.00111075,0.00580579,0.00075596,0.00195754,246630.6,1289115.1,167852.0,434651.7
IV2 7,0.00183935,0.01104509,0.00075675,0.00216623,225739.9,1355541.8,92874.3,265857.6
IV20 1,0.00112156,0.00574877,0.00067437,0.00159753,185355.3,950076.0,111450.3,264017.2
IV21 2,0.00027165,0.00113974,0.00018675,0.00047822,67656.0,283862.9,46511.8,119105.3
IV22 2,6.59e-05,0.00024871,4.958e-05,0.00011167,89984.3,339593.3,67699.3,152470.1
IV23 2,3.535e-05,0.0001153,2.853e-05,7.155e-05,43166.4,140784.7,34840.2,87359.9
IV24 3,0.00011776,0.00061049,8.151e-05,0.00020886,56120.8,290930.9,38845.3,99533.1
IV25 3,0.00159491,0.00936796,0.00097944,0.00262266,285698.2,1678089.7,175448.2,469799.2
IV26 2,2.972e-05,0.0001356,2.078e-05,4.985e-05,18809.0,85825.8,13149.7,31550.8
IV27 4,6.789e-05,0.00026121,5.116e-05,0.00012666,268737.7,1034018.8,202520.8,501386.2
IV3 8,0.00028076,0.00190776,0.00019103,0.00051895,26717.2,181544.5,18178.2,49384.0
IV30 5,0.00075625,0.00517167,0.00033008,0.00087186,63569.1,434721.9,27746.1,73287.3
IV30 8,0.00028416,0.00140851,0.00018033,0.00046067,63244.8,313490.4,40135.9,102529.7
IV31 6,0.00384985,0.01408079,0.00345019,0.00916127,189963.9,694790.8,170243.1,452046.1
IV32 7,0.00129425,0.00594954,0.00084193,0.00215217,144541.7,664444.0,94026.3,240353.8
IV36 2,0.00047808,0.00221232,0.00033253,0.00089714,169345.2,783639.1,117786.2,317780.0
IV36 3,0.00728789,0.02956345,0.00571909,0.01466699,377471.6,1531219.2,296216.3,759666.9
IV40 8,0.00015236,0.00045868,0.00012589,0.00028386,154252.9,464383.5,127453.2,287391.6
IV41 8,0.0006565,0.00261302,0.00052621,0.0012977,16183.5,64413.8,12971.7,31989.8
IV42 8,0.00016528,0.00084829,0.00013297,0.00035932,14529.9,74573.1,11689.4,31587.3
IV43 8,6.158e-05,0.00024098,4.597e-05,0.00010497,4675.6,18298.4,3490.5,7970.6
IV44 8,0.0002789,0.0010227,0.00023709,0.00053934,21858.3,80152.6,18581.8,42270.1
IV45 8,4.3e-06,3.853e-05,2.77e-06,7.15e-06,341.6,3063.3,220.2,568.2
IV46 8,2.473e-05,0.00010527,1.421e-05,2.993e-05,1013.4,4313.7,582.4,1226.2
IV47 8,6.11e-05,0.00018756,4.757e-05,0.00010717,20989.8,64437.2,16344.4,36818.1
IV48 8,0.00017378,0.00117627,0.00012894,0.00021744,2828.3,19144.8,2098.6,3539.1
