name,fires_yr
AB10,27.545
AB11,26.0694
AB12,27.1879
AB13,3.7878
AB14,5.8373
AB15,45.1071
AB16,31.726
AB21,26.5634
AB22,13.1577
AB23,10.0957
AB24,33.3246
AB25,19.921
AB30,5.411
AB31,10.9347
AB32,6.1373
AB33,4.5555
AB34,4.5555
AB35,2.7634
AB36,0.7872
AB37,1.5521
AB38,2.8556
AB39,9.1109
AB41,13.7836
AB42,20.8346
AB43,12.762
AB44,2.4452
AB45,10.2683
AB51,20.0474
AB52,4.1703
AB53,11.4892
AB54,11.0738
AB55,7.5409
AB56,11.3114
AB99,0.123
AL1,16.3412
AL10,20.0482
AL2,6.1474
AL3,9.8458
AL4,8.867
AL5,7.059
AL6,3.6561
AL7,17.7854
AL8,5.1214
AL9,4.9562
B1,10.1263
B10,19.1152
B11,29.2858
B12,21.1047
B13,29.3088
B14,28.0022
B15,15.1511
B16,26.5159
B17,17.0852
B18,17.3765
B19,25.2555
B2,1.7931
B20,28.5666
B21,24.7965
B23,40.5566
B24,21.2338
B25,10.8894
B26,20.301
B27,15.4739
B28,17.6478
B29,29.5874
B3,3.9413
B30,16.7936
B31,41.2879
B32,30.4485
B33,32.3757
B34,12.1168
B35,7.5721
B36,22.1447
B37,23.311
B38,17.1353
B4,3.1586
B40,0.2102
B42,13.2876
B43,10.4585
B44,19.0535
B45,16.4203
B46,4.1491
B47,4.8306
B48,1.6148
B49,4.4891
B5,18.115
B50,2.1102
B6,17.369
B60,12.1021
B61,11.5183
B62,9.8448
B63,18.0222
B64,11.2452
B65,12.0456
B66,16.3874
B67,13.8313
B68,14.3526
B69,17.1064
B7,8.8981
B70,21.7788
B71,16.2696
B72,2.9352
B73,9.7178
B74,7.7798
B75,9.8407
B76,8.2352
B77,23.5032
B78,8.2286
B79,11.1087
B8,28.9067
B80,2.4499
B9,13.8532
B90,13.1046
B91,12.0644
B92,16.1697
B93,2.5181
B94,2.0818
B95,2.0457
B96,2.0154
B97,14.3331
B98,22.6309
B99,0.2222
BA1,24.6127
BA10,0.9122
BA11,11.8704
BA12,10.6577
BA13,8.0057
BA14,20.2478
BA15,5.2824
BA16,6.2959
BA2,29.8104
BA20,6.0046
BA21,17.2282
BA22,6.2492
BA3,10.0496
BA4,5.7056
BA5,6.9704
BA6,9.4132
BA7,1.2049
BA8,1.8473
BA9,3.3487
BB1,34.4009
BB10,29.1536
BB11,21.8467
BB12,20.8512
BB18,7.3422
BB2,44.0316
BB3,20.0601
BB4,19.98
BB5,45.8089
BB6,8.1468
BB7,15.2545
BB8,16.8097
BB9,29.3313
BB94,0.0167
BD1,11.1951
BD10,13.6999
BD11,2.8185
BD12,8.1648
BD13,9.2442
BD14,4.8332
BD15,6.7781
BD16,9.517
BD17,7.9655
BD18,16.4852
BD19,9.1644
BD2,15.2029
BD20,10.2952
BD21,22.331
BD22,11.7413
BD23,10.7042
BD24,2.3888
BD3,26.4931
BD4,24.9169
BD5,25.586
BD6,13.6749
BD7,18.4021
BD8,20.3526
BD9,15.8521
BD97,0.0318
BD98,0.075
BD99,0.1109
BH1,25.2772
BH10,10.147
BH11,12.4884
BH12,15.3049
BH13,4.1027
BH14,11.9098
BH15,23.5054
BH16,7.4349
BH17,6.6107
BH18,3.3319
BH19,6.097
BH2,10.6795
BH20,7.287
BH21,15.4586
BH22,9.4888
BH23,22.691
BH24,7.5564
BH25,6.1475
BH3,2.9746
BH31,3.4938
BH4,6.0052
BH5,7.378
BH6,11.6818
BH7,3.9277
BH8,21.4871
BH9,14.3228
BL0,5.2612
BL1,57.1309
BL11,0.3835
BL2,36.7634
BL3,41.4148
BL4,28.6553
BL5,10.2035
BL6,15.8117
BL7,5.9421
BL78,0.2861
BL8,13.935
BL9,32.6819
BN1,50.3166
BN10,9.2887
BN11,29.5511
BN12,8.7207
BN13,15.3586
BN14,16.5359
BN15,16.0682
BN16,10.9034
BN17,18.1349
BN18,5.1769
BN2,71.607
BN20,9.529
BN21,22.3119
BN22,20.7372
BN23,16.1734
BN24,4.6195
BN25,10.8362
BN26,5.2038
BN27,14.5224
BN3,41.3935
BN41,8.7197
BN42,3.8214
BN43,11.1401
BN44,4.152
BN45,0.2333
BN5,3.3361
BN50,1.1606
BN51,0.2188
BN52,1.25
BN6,6.7447
BN7,14.3624
BN8,6.9324
BN88,0.1699
BN9,8.4418
BN95,0.0137
BN99,2.1319
BR1,28.5192
BR2,18.2504
BR3,20.5048
BR4,4.9204
BR5,23.2085
BR6,16.5075
BR7,6.2805
BR8,6.9578
BS1,21.7189
BS10,17.9175
BS11,12.596
BS13,22.5776
BS14,11.9716
BS15,15.8206
BS16,35.0679
BS2,20.0913
BS20,13.4474
BS21,8.3852
BS22,13.5102
BS23,29.6133
BS24,8.3449
BS25,2.6487
BS26,1.6808
BS27,3.6136
BS28,1.0506
BS29,0.637
BS3,21.0183
BS30,6.4967
BS31,11.3932
BS32,6.0142
BS34,16.71
BS35,10.162
BS36,3.3908
BS37,15.3097
BS39,5.6158
BS4,27.1522
BS40,4.849
BS41,1.4741
BS48,7.3101
BS49,2.9963
BS5,47.4586
BS6,18.1449
BS7,19.7225
BS8,18.1916
BS9,9.2102
BS98,0.0278
BS99,1.3641
CA1,16.1267
CA10,5.535
CA11,12.1902
CA12,3.5481
CA13,5.3855
CA14,19.0428
CA15,8.7194
CA16,1.8619
CA17,2.5795
CA18,0.0679
CA19,0.344
CA2,24.9473
CA20,0.9062
CA21,0.2867
CA22,3.4615
CA23,0.7041
CA24,0.3988
CA25,3.8699
CA26,2.2819
CA27,0.5371
CA28,10.9802
CA3,5.5965
CA4,3.6218
CA5,2.6153
CA6,3.7408
CA7,10.6853
CA8,4.7011
CA9,0.3855
CA95,0.0329
CB1,19.224
CB10,8.8218
CB11,7.3986
CB2,7.0358
CB21,3.8498
CB22,7.9362
CB23,8.3376
CB24,6.6499
CB25,3.8468
CB3,2.8497
CB4,14.7704
CB5,4.2441
CB6,10.5124
CB7,7.4223
CB8,12.6217
CB9,10.3721
CF10,11.4407
CF11,16.0279
CF14,30.3562
CF15,9.3207
CF23,16.6127
CF24,19.2262
CF3,16.5762
CF30,0.2376
CF31,18.1296
CF32,14.5841
CF33,5.6502
CF34,7.5845
CF35,8.7359
CF36,7.621
CF37,16.2838
CF38,8.1876
CF39,10.0883
CF40,8.6993
CF41,4.5324
CF42,5.6655
CF43,4.6969
CF44,18.4637
CF45,7.9865
CF46,6.36
CF47,11.4772
CF48,13.6638
CF5,26.2258
CF61,4.1486
CF62,16.4848
CF63,8.7176
CF64,16.7955
CF71,5.1538
CF72,12.2996
CF81,7.1093
CF82,9.1379
CF83,22.0589
CF91,0.2741
CF95,0.1097
CF99,0.0183
CH1,15.6845
CH2,8.8808
CH25,0.5504
CH26,0.0168
CH27,0.3681
CH28,0.0433
CH29,0.1056
CH3,7.6049
CH30,0.0181
CH31,0.0769
CH32,0.1909
CH33,0.1687
CH34,0.3879
CH4,12.7926
CH41,26.5149
CH42,27.907
CH43,22.6163
CH44,27.2867
CH45,15.3841
CH46,12.9928
CH47,3.0025
CH48,6.6775
CH49,15.4606
CH5,17.5725
CH6,6.9422
CH60,3.6132
CH61,5.4362
CH62,15.7027
CH63,9.3707
CH64,5.8144
CH65,16.5503
CH66,11.6689
CH7,24.5302
CH70,0.2688
CH8,10.4753
CH88,0.0242
CH99,0.0602
CM0,6.25
CM1,29.6901
CM11,4.1228
CM12,6.7836
CM13,8.1078
CM14,9.8184
CM15,8.3808
CM16,10.6738
CM17,8.5866
CM18,12.0279
CM19,11.385
CM2,19.4625
CM20,14.8071
CM21,3.7868
CM22,5.0785
CM23,11.9854
CM24,3.0114
CM3,13.4842
CM4,3.8885
CM5,5.4611
CM6,7.9213
CM7,19.6878
CM77,3.8988
CM8,14.1137
CM9,15.0169
CM92,0.2045
CM98,0.1759
CM99,0.3803
CO1,11.4262
CO10,18.9319
CO11,5.0234
CO12,12.2949
CO13,5.6348
CO14,4.5349
CO15,35.9077
CO16,17.7834
CO2,19.0006
CO3,11.6043
CO4,21.411
CO5,9.7895
CO6,6.9941
CO7,12.0561
CO8,1.1108
CO9,8.0914
CR0,107.5356
CR2,24.2514
CR3,13.228
CR4,37.9341
CR44,0.0515
CR5,10.2126
CR6,4.5745
CR7,31.2985
