name,f_high,f_low
AL1,0.000065,0.004838
AL2,0.021835,0.038330
AL3,0.002175,0.011776
AL4,0.003896,0.007882
AL5,0.000067,0.000202
AL6,0.000135,0.006186
AL7,0.000083,0.000248
AL8,0.004906,0.005239
AL9,0.004694,0.016351
AL10,0.001386,0.020998
B1,0.000949,0.001784
B2,0.001988,0.003735
B3,0.001637,0.003075
B4,0.012617,0.014047
B5,0.120777,0.179114
B6,0.097028,0.119893
B7,0.050696,0.072895
B8,0.010654,0.017862
B9,0.033661,0.036852
B10,0.000900,0.001691
B11,0.002153,0.035808
B12,0.017106,0.095993
B13,0.001967,0.002362
B14,0.001658,0.005827
B15,0.002770,0.009736
B16,0.000628,0.001179
B17,0.007591,0.009817
B18,0.013992,0.019014
B19,0.015896,0.068751
B20,0.004175,0.004648
B21,0.007391,0.019185
B23,0.005278,0.009283
B24,0.000508,0.009531
B25,0.001097,0.061320
B26,0.009038,0.026547
B27,0.005195,0.010309
B28,0.000480,0.000902
B29,0.002852,0.039201
B30,0.022160,0.029261
B31,0.006323,0.007415
B32,0.000396,0.000744
B33,0.004812,0.005192
B34,0.000856,0.004499
B35,0.240987,0.478522
B36,0.083837,0.087681
B37,0.000404,0.000758
B38,0.000611,0.003209
B40,0.009556,0.017951
B42,0.024113,0.094980
B43,0.000525,0.008079
B44,0.000459,0.000861
B45,0.004630,0.004995
B46,0.032203,0.047487
B47,0.005083,0.010025
B48,0.005710,0.006857
B49,0.067901,0.088449
B50,0.009984,0.028506
B60,0.010555,0.017247
B61,0.026006,0.033095
B62,0.000526,0.000988
B63,0.004215,0.010942
B64,0.002717,0.013745
B65,0.000560,0.001052
B66,0.005886,0.006351
B67,0.000563,0.001058
B68,0.010390,0.010819
B69,0.018701,0.085171
B70,0.001616,0.001941
B71,0.017591,0.032270
B72,0.001190,0.002235
B73,0.026861,0.035468
B74,0.000384,0.000722
B75,0.000448,0.000842
B76,0.006138,0.019658
B77,0.004305,0.007572
B78,0.018830,0.074359
B79,0.080927,0.109543
B80,0.005516,0.015134
B90,0.004941,0.006116
B91,0.004281,0.007216
B92,0.016461,0.028857
B93,0.000581,0.005013
B94,0.006414,0.009934
B95,0.073402,0.095337
B96,0.014394,0.019897
B97,0.007147,0.011547
B98,0.009064,0.016840
BA1,0.043612,0.092577
BA2,0.060301,0.084570
BA3,0.008288,0.034501
BA4,0.018591,0.026179
BA5,0.053534,0.077172
BA6,0.046105,0.057555
BA7,0.002453,0.017580
BA8,0.011101,0.012599
BA9,0.006690,0.018119
BA10,0.023293,0.025053
BA11,0.023520,0.031499
BA12,0.018814,0.031341
BA13,0.011621,0.016772
BA14,0.010780,0.014741
BA15,0.021917,0.039262
BA16,0.004016,0.028347
BA20,0.024768,0.040526
BA21,0.004512,0.006223
BA22,0.022863,0.031918
BB1,0.006835,0.041493
BB2,0.034731,0.078750
BB3,0.047598,0.057999
BB4,0.065850,0.116358
BB5,0.032183,0.051029
BB6,0.022655,0.037009
BB7,0.058255,0.074590
BB8,0.039173,0.047531
BB9,0.055356,0.087291
BB10,0.016488,0.044994
BB11,0.029298,0.086650
BB12,0.044457,0.053157
BB18,0.047667,0.076088
BD1,0.192549,0.200169
BD2,0.008732,0.011606
BD3,0.000892,0.001143
BD4,0.000538,0.000689
BD5,0.000856,0.001096
BD6,0.000693,0.002212
BD7,0.002365,0.002593
BD8,0.007089,0.008887
BD9,0.000952,0.001220
BD10,0.007576,0.014636
BD11,0.001589,0.002036
BD12,0.004076,0.010775
BD13,0.002590,0.005821
BD14,0.005880,0.006448
BD15,0.005461,0.005779
BD16,0.028239,0.033217
BD17,0.041377,0.047847
BD18,0.008972,0.009175
BD19,0.039206,0.043689
BD20,0.044981,0.066669
BD21,0.064419,0.084058
BD22,0.009672,0.011645
BD23,0.073368,0.098986
BD24,0.068381,0.092064
BH1,0.001056,0.001896
BH2,0.002166,0.011731
BH3,0.003708,0.006654
BH4,0.002331,0.004183
BH5,0.002101,0.003770
BH6,0.025144,0.031524
BH7,0.005158,0.006616
BH8,0.007047,0.007727
BH9,0.000817,0.001467
BH10,0.025619,0.037791
BH11,0.010457,0.011283
BH12,0.003575,0.005590
BH13,0.030814,0.038682
BH14,0.014326,0.015061
BH15,0.129603,0.161441
BH16,0.003636,0.014031
BH17,0.005775,0.013555
BH18,0.001788,0.003208
BH19,0.052867,0.075119
BH20,0.018849,0.022241
BH21,0.030726,0.109649
BH22,0.009177,0.016795
BH23,0.072802,0.139710
BH24,0.043029,0.090898
BH25,0.005770,0.006326
BH31,0.004867,0.009377
BL0,0.062973,0.066787
BL1,0.019707,0.034320
BL2,0.001154,0.003056
BL3,0.002419,0.003289
BL4,0.000399,0.000638
BL5,0.001886,0.003582
BL6,0.032433,0.057709
BL7,0.010241,0.016384
BL8,0.003397,0.010729
BL9,0.040406,0.066315
BN1,0.000559,0.000748
BN2,0.015557,0.015732
BN3,0.003403,0.003600
BN5,0.006117,0.007051
BN6,0.010909,0.012952
BN7,0.074512,0.141196
BN8,0.005447,0.010111
BN9,0.149593,0.181210
BN10,0.001516,0.002026
BN11,0.101781,0.102068
BN12,0.044615,0.046466
BN13,0.004953,0.013077
BN14,0.001102,0.001474
BN15,0.172693,0.174408
BN16,0.032086,0.034383
BN17,0.043820,0.129674
BN18,0.059032,0.066285
BN20,0.001117,0.001494
BN21,0.000966,0.001292
BN22,0.016483,0.019199
BN23,0.247620,0.303573
BN24,0.127440,0.166517
BN25,0.018973,0.088059
BN26,0.005298,0.018929
BN27,0.005453,0.007585
BN41,0.020441,0.021170
BN42,0.020726,0.021924
BN43,0.151303,0.194066
BN44,0.053151,0.057736
BN45,0.013372,0.017875
BR1,0.006615,0.025562
BR2,0.064327,0.082643
BR3,0.060825,0.095409
BR4,0.009117,0.010049
BR5,0.003660,0.042170
BR6,0.002220,0.002539
BR7,0.003157,0.006092
BR8,0.000931,0.001653
BS1,0.042949,0.427882
BS2,0.064515,0.223612
BS3,0.027774,0.164736
BS4,0.016188,0.034670
BS5,0.019768,0.053054
BS6,0.005948,0.009938
BS7,0.000723,0.002060
BS8,0.004602,0.026545
BS9,0.005216,0.009854
BS10,0.019898,0.044256
BS11,0.016574,0.267564
BS13,0.017299,0.018665
BS14,0.000786,0.003594
BS15,0.010070,0.012741
BS16,0.006736,0.010244
BS20,0.020879,0.104100
BS21,0.009413,0.125397
BS22,0.023545,0.033005
BS23,0.371323,0.525704
BS24,0.021821,0.182986
BS25,0.005320,0.012297
BS26,0.014855,0.098142
BS27,0.063161,0.118233
BS28,0.038475,0.043283
BS29,0.016645,0.062272
BS30,0.011085,0.022806
BS31,0.029697,0.042788
BS32,0.001330,0.017551
BS34,0.003007,0.004257
BS35,0.025763,0.202174
BS36,0.003050,0.005120
BS37,0.015410,0.040210
BS39,0.010395,0.012089
BS40,0.026749,0.028213
BS41,0.007349,0.012336
BS48,0.003355,0.004749
BS49,0.001607,0.048898
CA1,0.197647,0.219568
CA2,0.156011,0.183525
CA3,0.036923,0.039501
CA4,0.029150,0.033905
CA5,0.046932,0.072088
CA6,0.039960,0.049938
CA7,0.062770,0.096286
CA8,0.027756,0.034685
CA9,0.022748,0.055188
CA10,0.043081,0.059147
CA11,0.027664,0.050697
CA12,0.184741,0.243198
CA13,0.122924,0.128323
CA14,0.041570,0.048069
CA15,0.097387,0.118334
CA16,0.075293,0.087077
CA17,0.038294,0.068085
CA18,0.099080,0.107042
CA19,0.039302,0.054737
CA20,0.049101,0.069563
CA21,0.060677,0.066963
CA22,0.043868,0.052172
CA23,0.058694,0.094805
CA24,0.025148,0.031326
CA25,0.014117,0.023742
CA26,0.010725,0.013359
CA27,0.019448,0.024225
CA28,0.099339,0.110007
CB1,0.002703,0.005075
CB2,0.005042,0.011416
CB3,0.014399,0.046022
CB4,0.029216,0.044897
CB5,0.005548,0.034463
CB6,0.088994,0.096828
CB7,0.054982,0.094245
CB8,0.042749,0.044925
CB9,0.006627,0.034231
CB10,0.012546,0.035917
CB11,0.004644,0.010514
CB21,0.003542,0.006376
CB22,0.030222,0.032287
CB23,0.005200,0.006640
CB24,0.080132,0.096596
CB25,0.019877,0.048279
CH1,0.086564,0.086648
CH2,0.013212,0.017988
CH3,0.018094,0.018164
CH4,0.043883,0.046107
CH5,0.014159,0.018104
CH6,0.014159,0.018104
CH7,0.014159,0.018104
CH8,0.014159,0.018104
CH41,0.008076,0.024887
CH42,0.000401,0.001927
CH43,0.001361,0.003565
CH44,0.000362,0.001740
CH45,0.006888,0.006991
CH46,0.013691,0.030351
CH47,0.028885,0.034725
CH48,0.006388,0.006541
CH49,0.000411,0.019393
CH60,0.002701,0.002868
CH61,0.000649,0.000830
CH62,0.006381,0.013722
CH63,0.000340,0.000435
CH64,0.023333,0.023454
CH65,0.011335,0.015094
CH66,0.005231,0.005309
CM0,0.037651,0.080259
CM1,0.013187,0.025570
CM2,0.069077,0.091644
CM3,0.012277,0.021271
CM4,0.005349,0.010285
CM5,0.003059,0.003504
CM6,0.004430,0.006654
CM7,0.008652,0.015644
CM8,0.007151,0.009616
CM9,0.108271,0.138331
CM11,0.002961,0.005528
CM12,0.006704,0.011064
CM13,0.004816,0.006525
CM14,0.002325,0.002663
CM15,0.007273,0.010924
CM16,0.010152,0.023191
CM17,0.000706,0.001076
CM18,0.000864,0.003559
CM19,0.005876,0.013762
CM20,0.004230,0.004587
CM21,0.004237,0.017087
CM22,0.007680,0.009785
CM23,0.021679,0.040638
CM24,0.011879,0.019605
CM77,0.011290,0.015906
CO1,0.029251,0.093289
CO2,0.003845,0.006227
CO3,0.005400,0.008025
CO4,0.009789,0.011689
CO5,0.031500,0.035878
CO6,0.014278,0.015506
CO7,0.041779,0.044977
CO8,0.018270,0.026962
CO9,0.028935,0.032475
CO10,0.009433,0.020440
CO11,0.018266,0.042726
CO12,0.130498,0.160545
CO13,0.005953,0.006538
CO14,0.071453,0.164404
CO15,0.080395,0.110463
CO16,0.047770,0.055313
CR0,0.025121,0.039106
CR2,0.039915,0.042193
CR3,0.009850,0.010185
CR4,0.024990,0.070778
CR5,0.000733,0.001095
CR6,0.001910,0.002856
CR7,0.000844,0.025812
CR8,0.076505,0.078092
CT1,0.071290,0.117537
CT2,0.053413,0.070179
CT3,0.023603,0.026767
CT4,0.037610,0.058923
CT5,0.071888,0.239609
CT6,0.054263,0.056642
CT7,0.002222,0.017468
CT8,0.004091,0.006411
CT9,0.033744,0.034201
CT10,0.010895,0.011635
CT11,0.006995,0.008806
CT12,0.008214,0.012428
CT13,0.237255,0.294176
CT14,0.086954,0.111059
CT15,0.003191,0.004075
CT16,0.037368,0.111535
CT17,0.031570,0.041888
CT18,0.006310,0.007465
CT19,0.033826,0.039282
CT20,0.040098,0.052870
CT21,0.135065,0.195937
CV1,0.018409,0.134259
CV2,0.004219,0.004458
CV3,0.001730,0.002732
CV4,0.000349,0.014080
CV5,0.009011,0.019182
CV6,0.000157,0.001680
CV7,0.002778,0.005630
CV8,0.007904,0.013349
CV9,0.004766,0.014039
CV10,0.000226,0.006233
CV11,0.046793,0.120706
CV12,0.015142,0.025935
CV13,0.005779,0.006543
CV21,0.005535,0.016419
CV22,0.006182,0.007712
CV23,0.008094,0.011781
CV31,0.020449,0.069940
CV32,0.013476,0.023714
CV33,0.000656,0.007034
CV34,0.059072,0.081441
CV35,0.009339,0.011660
CV36,0.005177,0.008176
CV37,0.018479,0.030453
CV47,0.012652,0.013106
CW1,0.012934,0.013100
CW2,0.006984,0.023444
CW3,0.006331,0.006839
CW4,0.003639,0.004157
CW5,0.006375,0.015679
CW6,0.004078,0.006184
CW7,0.001520,0.011148
CW8,0.013690,0.016540
CW9,0.051343,0.075551
CW10,0.007079,0.007474
CW11,0.006549,0.006777
CW12,0.029887,0.053940
DA1,0.056858,0.157808
DA2,0.002439,0.043798
DA3,0.000737,0.001925
DA4,0.023997,0.071599
DA5,0.018569,0.033005
DA6,0.001028,0.002685
DA7,0.000402,0.001049
DA8,0.000413,0.005789
DA9,0.000752,0.010535
DA10,0.000889,0.002322
DA11,0.003812,0.024168
DA12,0.016169,0.016618
DA13,0.000665,0.001736
DA14,0.012185,0.013010
DA15,0.004600,0.017657
DA16,0.005655,0.006391
DA17,0.014784,0.015976
DA18,0.003171,0.008282
DE1,0.090919,0.325161
DE3,0.001352,0.002993
DE4,0.038109,0.043808
DE5,0.009014,0.010527
DE6,0.018349,0.025591
DE7,0.006757,0.008330
DE11,0.000607,0.002289
DE12,0.002812,0.007571
DE13,0.025823,0.056819
DE14,0.100880,0.434824
DE15,0.006504,0.009681
DE21,0.045748,0.104303
DE22,0.007893,0.016823
DE23,0.003317,0.025885
DE24,0.065809,0.085708
DE45,0.147499,0.187064
DE55,0.003853,0.004499
DE56,0.043420,0.054131
DE65,0.113041,0.231655
DE72,0.046343,0.073708
DE73,0.012055,0.024359
DE74,0.038538,0.083112
DE75,0.001825,0.004039
DG1,0.000000,0.000000
DG2,0.000000,0.000000
DG3,0.000000,0.000000
DG4,0.000000,0.000000
DG5,0.000000,0.000000
DG6,0.000000,0.000000
DG7,0.000000,0.000000
DG8,0.000000,0.000000
DG9,0.000000,0.000000
DG10,0.000000,0.000000
DG11,0.000000,0.000000
DG12,0.000000,0.000000
DG13,0.000000,0.000000
DG14,0.000000,0.000000
DG16,0.000000,0.000000
DH1,0.024097,0.027443
DH2,0.004365,0.005807
DH3,0.021433,0.025475
DH4,0.008426,0.014659
DH5,0.007324,0.012668
DH6,0.003030,0.004984
DH7,0.011229,0.012853
DH8,0.002405,0.003200
DH9,0.000974,0.001840
DL1,0.026539,0.055420
DL2,0.054338,0.067527
DL3,0.001240,0.012946
DL4,0.010706,0.011535
DL5,0.019574,0.024991
DL6,0.051837,0.058079
DL7,0.022411,0.029601
DL8,0.020823,0.030434
DL9,0.003434,0.004079
DL10,0.029019,0.069760
DL11,0.019925,0.037433
DL12,0.010143,0.018724
DL13,0.010639,0.024201
DL14,0.026705,0.040534
DL15,0.010242,0.013372
DL16,0.005581,0.019128
DL17,0.000736,0.004851
DN1,0.007101,0.022263
DN2,0.004916,0.008575
DN3,0.085168,0.125355
DN4,0.007453,0.022654
DN5,0.175988,0.224713
DN6,0.128298,0.181212
DN7,0.471456,0.516443
DN8,0.364646,0.376758
DN9,0.037018,0.091583
DN10,0.056780,0.082930
DN11,0.005703,0.009376
DN12,0.006009,0.015529
DN14,0.526712,0.613105
DN15,0.025619,0.050480
DN16,0.003789,0.005292
DN17,0.127793,0.194941
DN18,0.230041,0.327268
DN19,0.315714,0.422990
DN20,0.051363,0.086917
DN21,0.084467,0.169130
DN22,0.042073,0.123290
DN31,0.238585,0.498868
DN32,0.521814,0.696535
DN33,0.005019,0.007010
DN34,0.005917,0.146124
DN35,0.319462,0.380165
DN36,0.061764,0.100319
DN37,0.028973,0.091861
DN38,0.023380,0.032654
DN39,0.021622,0.030199
DN40,0.193986,0.348822
DN41,0.080601,0.092728
DT1,0.012912,0.014624
DT2,0.028567,0.032311
DT3,0.049157,0.049588
DT4,0.146495,0.151071
DT5,0.049078,0.053121
DT6,0.035673,0.094328
DT7,0.026087,0.033748
DT8,0.023409,0.048632
DT9,0.010959,0.030209
DT10,0.007992,0.008627
DT11,0.038896,0.062415
DY1,0.000336,0.000505
DY2,0.001670,0.003173
DY3,0.000307,0.000462
DY4,0.023204,0.042106
DY5,0.001345,0.001482
DY6,0.003036,0.004555
DY7,0.017416,0.026127
DY8,0.010490,0.013167
DY9,0.009709,0.009858
DY10,0.023583,0.033853
DY11,0.016058,0.022778
DY12,0.020908,0.036484
DY13,0.047914,0.074034
DY14,0.005254,0.005460
E1,0.000574,0.001475
E1W,0.010749,0.075786
E2,0.000902,0.002318
E3,0.027300,0.040452
E4,0.044973,0.052683
E5,0.007464,0.101701
E6,0.321785,0.330989
E7,0.001594,0.004095
E8,0.001198,0.003078
E9,0.140762,0.158894
E10,0.071432,0.118101
E11,0.001041,0.008736
E12,0.211092,0.216933
E13,0.046389,0.242154
E14,0.003237,0.006192
E15,0.006059,0.364348
E16,0.017238,0.480895
E17,0.031367,0.063753
E18,0.015921,0.044041
E20,0.007527,0.017033
EC1A,0.000177,0.000177
EC1M,0.000125,0.000125
EC1N,0.000133,0.000133
EC1R,0.000080,0.000080
EC1V,0.000045,0.000045
EC1Y,0.000122,0.000122
EC2A,0.000072,0.000072
EC2M,0.000158,0.000158
EC2N,0.000407,0.000407
EC2R,0.000305,0.000305
EC2V,0.000226,0.000226
EC2Y,0.000236,0.000236
EC3A,0.000309,0.000309
EC3M,0.000252,0.000252
EC3N,0.010872,0.010872
EC3R,0.000241,0.000241
EC3V,0.000247,0.000247
EC4A,0.000196,0.000196
EC4M,0.000220,0.000220
EC4N,0.000297,0.000297
EC4R,0.032612,0.032612
EC4V,0.000188,0.000188
EC4Y,0.000165,0.000165
EN1,0.000383,0.030133
EN2,0.001613,0.004559
EN3,0.021405,0.239507
EN4,0.012744,0.032618
EN5,0.002304,0.009634
EN6,0.008565,0.013755
EN7,0.000643,0.012832
EN8,0.031246,0.259186
EN9,0.057794,0.154424
EN10,0.025313,0.124527
EN11,0.036444,0.061645
EX1,0.004890,0.010409
EX2,0.040586,0.206721
EX3,0.090790,0.101937
EX4,0.023704,0.099965
EX5,0.039676,0.056546
EX6,0.116775,0.139280
EX7,0.070127,0.077299
EX8,0.146626,0.162013
EX9,0.064022,0.065804
EX10,0.106175,0.112987
EX11,0.071610,0.073284
EX12,0.083129,0.117884
EX13,0.031354,0.033963
EX14,0.017646,0.026525
EX15,0.041599,0.053169
EX16,0.095107,0.141953
EX17,0.018893,0.026412
EX18,0.014182,0.016896
EX19,0.008670,0.011132
EX20,0.029388,0.046026
EX21,0.006832,0.008773
EX22,0.006533,0.007475
EX23,0.030351,0.057132
EX24,0.026135,0.054524
EX31,0.076909,0.106593
EX32,0.077189,0.128090
EX33,0.102798,0.114867
EX34,0.066662,0.069061
EX35,0.047003,0.051546
EX36,0.028318,0.032041
EX37,0.013924,0.016589
EX38,0.009603,0.011440
EX39,0.047319,0.064472
FY1,0.023389,0.029355
FY2,0.009501,0.045638
FY3,0.005570,0.008691
FY4,0.016438,0.018632
FY5,0.157593,0.242078
FY6,0.159320,0.227606
FY7,0.169551,0.631077
FY8,0.017089,0.051024
GL1,0.137951,0.158963
GL2,0.053063,0.064729
GL3,0.004443,0.006636
GL4,0.008403,0.022605
GL5,0.037249,0.041181
GL6,0.015228,0.046668
GL7,0.054591,0.093135
GL8,0.013368,0.014202
GL9,0.004875,0.007084
GL10,0.022776,0.027256
GL11,0.012360,0.016065
GL12,0.015782,0.018446
