district,frost_1991_2020,frost_2006_2025
AB10,39.8,38.35
AB11,29.667,28.8
AB12,45.0,44.4
AB13,61.567,60.2
AB14,61.667,62.1
AB15,55.867,53.95
AB16,44.333,42.85
AB21,53.567,52.75
AB22,36.1,35.15
AB23,39.567,38.7
AB24,31.9,31.1
AB25,35.833,34.7
AB30,62.333,62.85
AB31,85.2,85.35
AB32,67.1,65.85
AB33,93.667,94.0
AB34,101.9,104.8
AB35,135.767,131.5
AB36,130.333,128.0
AB37,114.633,112.8
AB38,79.667,78.5
AB39,61.867,63.05
AB41,57.1,56.2
AB42,49.333,49.4
AB43,45.633,45.6
AB44,37.833,38.45
AB45,53.7,54.45
AB51,74.3,74.2
AB52,80.267,80.95
AB53,70.767,71.55
AB54,84.567,85.0
AB55,86.233,85.25
AB56,47.867,48.5
AL1,42.067,39.7
AL10,42.133,39.55
AL2,41.967,39.7
AL3,44.267,41.9
AL4,42.4,40.0
AL5,43.8,41.4
AL6,43.9,41.2
AL7,41.6,39.05
AL8,41.833,39.3
AL9,43.267,40.35
B1,37.2,33.05
B10,38.667,35.1
B11,39.233,35.45
B12,38.733,34.25
B13,41.667,37.25
B14,44.8,39.95
B15,40.567,35.8
B16,36.6,32.8
B17,40.9,36.2
B18,35.867,31.95
B19,35.9,32.25
B2,37.2,33.05
B20,36.333,32.95
B21,37.033,33.55
B23,38.067,35.1
B24,38.367,35.3
B25,40.7,37.3
B26,45.2,41.95
B27,41.733,38.0
B28,42.5,38.3
B29,43.867,38.7
B3,35.9,31.9
B30,43.933,39.3
B31,48.067,43.7
B32,45.933,41.35
B33,41.7,38.1
B34,40.6,37.45
B35,39.333,36.4
B36,40.333,37.35
B37,45.867,43.2
B38,49.267,44.7
B4,36.433,32.5
B40,51.0,47.7
B42,38.6,35.45
B43,40.467,37.35
B44,40.3,37.2
B45,51.633,47.6
B46,44.933,42.35
B47,50.633,46.45
B48,50.533,46.3
B49,47.833,44.25
B5,38.967,34.45
B50,47.7,44.4
B6,35.6,32.35
B60,46.767,43.5
B61,46.667,43.4
B62,48.267,43.9
B63,43.133,39.3
B64,39.6,35.7
B65,40.3,36.45
B66,37.367,33.7
B67,40.067,36.1
B68,40.833,36.85
B69,37.867,34.65
B7,35.8,32.4
B70,37.133,34.0
B71,37.467,34.35
B72,40.633,37.3
B73,41.067,38.1
B74,43.467,40.9
B75,45.5,42.35
B76,42.567,39.65
B77,41.967,38.7
B78,43.633,40.4
B79,44.9,41.5
B8,37.333,34.1
B80,45.967,42.85
B9,38.067,34.45
B90,47.4,43.65
B91,48.633,44.9
B92,49.7,45.95
B93,51.733,47.7
B94,52.9,48.6
B95,51.067,46.7
B96,44.033,41.1
B97,46.667,43.5
B98,47.9,44.45
BA1,38.467,36.25
BA10,43.167,43.35
BA11,43.1,41.1
BA12,50.2,46.15
BA13,48.367,45.0
BA14,46.367,43.95
BA15,45.767,43.25
BA16,36.067,35.05
BA2,38.633,36.5
BA20,43.6,40.7
BA21,47.667,45.0
BA22,44.967,43.0
BA3,39.833,38.15
BA4,41.267,40.7
BA5,37.033,35.85
BA6,37.067,35.7
BA7,40.733,42.2
BA8,42.8,43.35
BA9,42.5,43.0
BB1,38.433,35.55
BB10,52.667,49.1
BB11,47.267,43.75
BB12,41.933,39.45
BB18,50.833,49.8
BB2,38.533,35.95
BB3,45.7,42.35
BB4,49.033,44.75
BB5,41.9,38.65
BB6,37.2,34.2
BB7,47.867,44.2
BB8,54.8,52.1
BB9,49.667,47.15
BD1,35.567,33.1
BD10,37.9,35.3
BD11,44.833,41.1
BD12,41.033,37.6
BD13,52.3,45.9
BD14,46.6,41.75
BD15,47.367,41.9
BD16,44.867,40.2
BD17,40.7,37.2
BD18,39.3,36.2
BD19,40.7,37.35
BD2,40.467,36.9
BD20,49.933,47.1
BD21,45.467,40.7
BD22,58.433,53.6
BD23,61.367,58.4
BD24,62.633,59.05
BD3,39.1,35.9
BD4,42.567,39.0
BD5,39.7,36.5
BD6,46.0,41.45
BD7,39.867,36.55
BD8,38.233,35.35
BD9,42.667,38.75
BH1,29.8,29.15
BH10,42.133,40.6
BH11,38.3,37.8
BH12,29.167,30.45
BH13,26.867,26.85
BH14,25.767,26.85
BH15,27.3,28.9
BH16,38.433,37.85
BH17,30.2,32.2
BH18,34.033,35.8
BH19,19.133,17.85
BH2,28.233,27.9
BH20,33.667,31.55
BH21,48.5,46.9
BH22,51.633,50.0
BH23,44.433,42.35
BH24,55.5,52.45
BH25,39.167,36.9
BH3,34.033,33.3
BH31,53.733,51.25
BH4,28.367,28.3
BH5,29.5,28.55
BH6,28.533,28.1
BH7,33.4,32.35
BH8,36.867,35.3
BH9,41.267,39.5
BL0,48.2,44.75
