x,y,gust_p98,gust_rp50
105686.0,8039.0,97.2,159.8
159530.0,5357.0,92.9,153.7
213381.0,3216.0,95.0,154.0
267237.0,1615.0,94.7,156.6
162279.0,66493.0,93.2,154.3
215513.0,64360.0,87.6,143.1
268754.0,62765.0,90.0,156.5
321999.0,61707.0,91.4,144.3
375247.0,61188.0,92.2,147.9
428495.0,61205.0,91.1,142.3
481743.0,61760.0,92.6,141.2
534988.0,62853.0,94.8,146.1
588228.0,64484.0,93.6,146.7
217663.0,125508.0,93.2,153.8
270284.0,123919.0,88.2,141.3
322909.0,122866.0,83.6,140.0
375536.0,122348.0,82.1,135.6
428165.0,122366.0,83.5,137.0
480793.0,122919.0,84.6,143.5
533418.0,124008.0,85.3,151.8
586038.0,125632.0,85.3,142.7
638651.0,127793.0,91.1,146.6
167842.0,188778.0,97.2,149.0
219830.0,186661.0,93.2,153.6
271825.0,185079.0,93.6,153.2
323825.0,184030.0,83.9,140.8
375828.0,183515.0,82.8,140.4
427832.0,183532.0,83.5,138.1
479835.0,184083.0,81.0,136.8
531835.0,185167.0,81.4,140.0
583830.0,186785.0,78.8,137.6
635817.0,188936.0,86.0,136.9
170656.0,249925.0,97.9,151.3
222013.0,247819.0,90.5,146.2
273378.0,246244.0,89.3,154.2
324749.0,245200.0,86.4,141.8
376122.0,244687.0,82.1,131.8
478870.0,245253.0,81.1,133.3
581605.0,247942.0,81.0,140.6
224213.0,308981.0,93.2,156.8
325679.0,306376.0,83.5,136.7
427159.0,305882.0,81.0,132.7
528633.0,307501.0,80.3,130.0
630084.0,311234.0,83.5,137.3
276520.0,368590.0,98.3,160.3
376717.0,367049.0,80.6,133.7
476918.0,367609.0,79.9,128.3
577104.0,370270.0,86.5,131.3
228662.0,431320.0,100.2,163.0
327561.0,428743.0,85.3,139.1
426475.0,428255.0,82.9,135.2
525384.0,429856.0,79.9,124.9
279708.0,490956.0,94.0,145.4
377320.0,489433.0,92.5,164.1
474937.0,489986.0,80.3,124.1
185040.0,555721.0,95.9,150.6
281319.0,552146.0,90.4,145.3
377625.0,550634.0,93.2,152.3
473937.0,551183.0,84.6,127.5
187977.0,616892.0,105.5,164.3
282940.0,613342.0,91.8,156.8
377932.0,611840.0,86.0,138.4
97350.0,683624.0,102.6,163.6
190935.0,678066.0,99.7,174.4
284573.0,674542.0,87.5,147.4
378241.0,673051.0,87.5,146.2
55566.0,748273.0,107.3,163.2
147778.0,741748.0,105.5,165.4
240059.0,737243.0,94.0,164.4
332382.0,734756.0,82.4,132.1
60578.0,809379.0,107.3,169.5
151446.0,802908.0,116.6,196.1
242384.0,798441.0,96.8,160.8
333366.0,795974.0,88.2,137.0
424366.0,795508.0,96.8,143.3
110369.0,867030.0,107.3,169.7
199923.0,861609.0,104.9,180.0
289535.0,858173.0,84.6,135.4
379180.0,856719.0,87.5,134.7
114762.0,928168.0,103.3,171.2
202956.0,922797.0,102.2,185.4
291210.0,919393.0,89.4,150.7
119182.0,989308.0,110.2,188.6
206008.0,983989.0,105.1,184.2
292895.0,980617.0,95.0,168.4
379816.0,979191.0,102.0,165.3
380137.0,1040435.0,104.8,166.0
380460.0,1101684.0,106.2,163.4
464631.0,1102191.0,104.4,160.6
422176.0,1162954.0,107.3,170.6
