x,y,gust_p98,gust_rp50
439828,1173908,109.3,179.5
236885,626059,94.5,160.5
236879,627619,88.9,143.9
295013,574516,83.3,137.3
322207,569284,83.3,149.7
323488,602654,92.6,149.9
271026,547196,94.5,149.4
211715,555527,90.7,144.5
235027,778334,83.3,142.0
302690,503211,92.6,171.7
308525,493073,94.5,155.2
295555,514834,98.2,157.6
235618,808511,77.8,133.4
325377,524931,81.5,131.0
338330,560351,90.7,149.2
373398,519721,94.5,148.3
364703,572974,90.7,146.2
317883,470636,85.2,135.3
355737,512069,90.7,137.9
331691,431574,88.9,152.5
338404,385192,88.9,150.5
333315,448242,98.2,166.9
289671,814284,85.2,142.3
381394,384383,79.6,145.7
299435,374618,81.5,132.3
334193,364664,75.9,133.0
230913,375889,100.0,154.4
276671,852083,90.7,146.9
215266,324793,111.1,180.9
270122,356960,118.5,169.4
269500,338945,98.2,153.7
293569,335683,87.0,140.1
224157,252196,101.9,165.5
462464,1207759,100.0,157.7
267396,273556,75.9,113.5
189167,205554,96.3,149.3
236573,204349,101.9,158.3
262722,187098,107.4,162.5
306603,167743,90.7,167.3
309990,193825,90.7,172.1
354982,123154,83.3,139.1
367770,69235,101.9,171.4
306801,862750,90.7,150.3
249215,52717,98.2,160.4
249594,134385,90.7,149.2
265832,98330,85.2,143.9
260470,116720,100.0,165.1
294624,56511,105.6,161.1
321269,869792,92.6,152.9
312823,107454,77.8,126.0
91712,10496,98.2,145.8
167099,25515,101.9,160.7
162686,40634,96.3,159.2
187213,64202,94.5,159.5
210965,70310,85.2,138.4
90068,546869,79.6,126.2
102107,594401,85.2,151.0
114059,561356,77.8,124.8
127651,538082,83.3,138.0
135643,595289,92.6,148.0
148884,532725,92.6,156.9
126412,472663,92.6,157.2
134674,517694,85.2,156.0
349113,798645,83.3,135.1
132611,496842,74.1,120.7
242370,757769,87.0,147.6
163063,489145,105.6,169.2
169023,536893,103.7,157.5
106629,491736,79.6,128.5
40929,548952,83.3,144.7
56807,544139,88.9,152.9
30400,524641,85.2,151.4
33772,514752,79.6,140.0
387714,812710,87.0,137.6
560631,176424,75.9,132.3
382377,599021,83.3,141.1
439887,478978,79.6,132.8
399920,867464,105.6,174.2
552188,356942,81.5,132.4
413643,845777,94.5,143.4
482577,198811,68.5,113.7
429569,84897,125.9,211.2
329912,400554,92.6,152.1
430492,489143,87.0,150.1
473554,519234,98.2,152.3
383875,773427,101.9,156.4
334153,729830,79.6,141.6
76310,842553,111.1,165.1
99757,744893,105.6,167.8
531083,182032,87.0,150.0
421083,286942,72.2,113.9
568742,224778,75.9,135.3
299864,168316,83.3,135.2
316121,671364,83.3,140.8
276979,758951,81.5,135.9
293177,716189,79.6,135.4
348264,1007659,107.4,173.4
132937,651248,96.3,153.0
346861,720856,90.7,152.8
431650,280769,63.0,105.4
241819,671108,81.5,144.9
312475,679563,109.3,183.8
315921,673928,93.0,152.0
345136,242708,68.5,120.7
325671,670632,114.8,189.4
375906,646241,87.0,141.8
421033,1071176,113.0,176.2
407643,569502,83.3,136.0
523981,139795,66.7,118.8
401369,358982,79.6,127.9
429186,589733,105.6,179.9
425354,614193,90.7,155.2
336488,952263,96.3,161.4
426734,541531,94.5,162.1
437326,567758,90.7,144.3
438386,471176,85.2,155.2
449142,461263,83.3,142.0
486397,496754,92.6,156.6
502529,443213,77.8,126.7
519388,467993,85.2,129.3
496849,379878,81.5,138.4
498818,365229,81.5,145.9
500422,349237,85.2,141.6
522439,356759,79.6,145.2
544062,332757,83.3,139.2
439344,1110638,116.7,196.0
542990,399743,88.9,142.0
573678,309009,79.6,146.7
609840,343630,87.0,137.1
626217,322976,83.3,160.3
653390,303695,88.9,141.3
649286,316192,88.9,165.4
588802,274936,81.5,146.1
256931,935861,92.6,153.5
602519,251423,79.6,148.5
520039,279683,66.7,113.8
504942,259865,79.6,139.0
287227,928416,79.6,134.2
553107,222606,79.6,143.2
596078,187800,77.8,136.5
625975,222465,81.5,140.9
408855,434976,87.0,148.6
184568,891290,94.5,145.5
452810,438047,85.2,152.2
444878,441636,81.5,128.2
146424,933047,103.7,168.1
450554,326761,70.4,123.5
450357,345672,77.8,132.5
465927,398933,83.3,154.0
177623,831536,111.1,175.1
503829,302682,83.3,147.6
417630,283925,81.5,129.5
445657,273648,68.5,116.5
429224,206674,72.2,127.6
462474,191626,75.9,133.2
355257,322145,79.6,140.9
397291,249969,74.1,125.2
339601,260905,75.9,127.9
227695,874266,100.0,165.3
350333,178807,88.9,151.7
421238,218091,81.5,138.6
507528,176695,74.1,133.2
509859,184533,75.9,137.3
506319,157979,64.8,109.9
518561,177274,64.8,118.5
526477,140745,79.6,139.1
533102,157826,75.9,126.8
633976,142506,98.2,169.6
570800,157164,75.9,134.2
632340,166160,85.2,142.0
476041,102270,83.3,139.7
283252,882745,87.0,155.4
520227,105439,81.5,130.2
563056,112725,74.1,122.4
78180,855487,111.1,175.6
411659,97726,79.6,136.4
430173,139059,79.6,135.2
455690,101235,100.0,151.8
473746,149397,83.3,140.8
485676,154143,74.1,126.6
449875,75376,90.7,149.8
400652,178229,79.6,138.0
413651,144772,81.5,147.7
417229,140334,83.3,139.4
445369,1139666,113.0,181.7
166258,622564,103.7,160.3
188096,733956,90.7,159.2
227484,677339,107.4,174.6
247982,666653,90.7,168.0
282744,664680,100.0,172.0
290790,638415,96.3,156.4
