name,gw_frac,n_postcodes
AL1,0.0,1206
AL10,0.0,774
AL2,0.0,724
AL3,0.01157,951
AL4,0.0,781
AL5,0.0,1055
AL6,0.0,508
AL7,0.0,901
AL8,0.0,417
AL9,0.0,427
B1,0.0,294
B10,0.0,316
B11,0.0,608
B12,0.0,453
B13,0.0,672
B14,0.0,772
B15,0.0,469
B16,0.0,488
B17,0.0,554
B18,0.0,436
B19,0.0,443
B2,0.0,362
B20,0.0,530
B21,0.0,432
B23,0.0,819
B24,0.0,570
B25,0.0,272
B26,0.0,570
B27,0.0,431
B28,0.0,597
B29,0.0,797
B3,0.0,194
B30,0.0,606
B31,0.0,1144
B32,0.0,760
B33,0.0,690
B34,0.0,326
B35,0.0,291
B36,0.0,573
B37,0.0,734
B38,0.0,476
B4,0.0,190
B40,0.0,12
B42,0.0,394
B43,0.0,548
B44,0.0,632
B45,0.0,699
B46,0.0,480
B47,0.0,242
B48,0.0,207
B49,0.0,373
B5,0.0,387
B50,0.0,209
B6,0.0,409
B60,0.0,840
B61,0.0,727
B62,0.0,577
B63,0.0,781
B64,0.0,473
B65,0.0,513
B66,0.0,551
B67,0.0,522
B68,0.0,585
B69,0.0,712
B7,0.0,270
B70,0.0,822
B71,0.0,683
B72,0.0,235
B73,0.0,553
B74,0.0,759
B75,0.0,646
B76,0.0,524
B77,0.0,985
B78,0.0,633
B79,0.0,686
B8,0.0,572
B80,0.0,214
B9,0.0,411
B90,0.0,1085
B91,0.0,853
B92,0.0,724
B93,0.0,519
B94,0.0,339
B95,0.0,322
B96,0.0,211
B97,0.0,757
B98,0.0,811
B99,0.0,4
BA1,0.0,1558
BA10,0.0,178
BA11,0.0,1143
BA12,0.58913,1122
BA13,0.00159,629
BA14,0.0,1347
BA15,0.0,474
BA16,0.0,374
BA2,0.0,2194
BA20,0.0,452
BA21,0.0,771
BA22,0.0,788
BA3,0.0,1256
BA4,0.0,828
BA5,0.0,786
BA6,0.0,556
BA7,0.0,199
BA8,0.0,209
BA9,0.0,374
BB1,0.0,1263
BB10,0.0,870
BB11,0.0,815
BB12,0.0,968
BB18,0.0,570
BB2,0.0,1362
BB3,0.0,889
BB4,0.0,1337
BB5,0.0,1481
BB6,0.0,349
BB7,0.0,1187
BB8,0.0,771
BB9,0.0,1367
BB94,0.0,1
BD1,0.0,480
BD10,0.0,704
BD11,0.0,296
BD12,0.0,606
BD13,0.0,939
BD14,0.0,235
BD15,0.0,437
BD16,0.0,827
BD17,0.0,620
BD18,0.0,733
BD19,0.0,694
BD2,0.0,718
BD20,0.0,1355
BD21,0.0,945
BD22,0.0,1061
BD23,0.0,1415
BD24,0.0,333
BD3,0.0,583
BD4,0.0,948
BD5,0.0,622
BD6,0.0,729
BD7,0.0,618
BD8,0.0,621
BD9,0.0,534
BD97,0.0,4
BD98,0.0,3
BD99,0.0,5
BF1,0.0,600
BF2,0.0,182
BH1,0.0,611
BH10,0.0,512
BH11,0.0,505
BH12,0.0,751
BH13,0.0,294
BH14,0.0,607
BH15,0.0,836
BH16,0.02463,406
BH17,0.0,439
BH18,0.0,300
BH19,0.00545,550
BH2,0.0,274
BH20,0.21178,713
BH21,0.35052,1455
BH22,0.0,708
BH23,0.0,1577
BH24,0.0,813
BH25,0.0,804
BH3,0.0,129
BH31,0.0273,293
BH4,0.0,239
BH5,0.0,249
BH6,0.0,527
BH7,0.0,293
BH8,0.0,651
BH9,0.0,669
BL0,0.0,557
BL1,0.0,1840
BL2,0.0,1135
BL3,0.0,1356
BL4,0.0,828
BL5,0.0,679
BL6,0.0,1000
BL7,0.0,507
BL78,0.0,1
BL8,0.0,1015
BL9,0.0,1301
BN1,0.00646,1549
BN10,0.0,526
BN11,0.0,1068
BN12,0.0,683
BN13,0.0,763
BN14,0.0,746
BN15,0.0,716
BN16,0.0,982
BN17,0.0,754
BN18,0.0,522
BN2,0.0,1600
BN20,0.0,726
BN21,0.0,926
BN22,0.0,819
BN23,0.0,687
BN24,0.0,360
BN25,0.0,876
BN26,0.0,522
BN27,0.0,1032
BN3,0.0,1427
BN41,0.0,390
BN42,0.0,218
BN43,0.0,525
BN44,0.0,264
BN45,0.0,42
BN5,0.0,293
BN50,0.0,98
BN51,0.0,13
BN52,0.0,71
BN6,0.0,591
BN7,0.0,748
BN8,0.0,679
BN88,0.0,7
BN9,0.17961,412
BN95,0.0,1
BN99,0.0,346
BR1,0.0,1247
BR2,0.00797,1004
BR3,0.0,1134
BR4,0.12064,373
BR5,0.34405,933
BR6,0.22524,1141
BR7,0.0,464
BR8,0.0,483
BS1,0.0,775
BS10,0.0,730
BS11,0.0,564
BS13,0.0,763
BS14,0.0,721
BS15,0.0,1161
BS16,0.0,1987
BS2,0.0,632
BS20,0.0,857
BS21,0.0,700
BS22,0.0,946
BS23,0.0,1024
BS24,0.0,662
BS25,0.0,279
BS26,0.0,226
BS27,0.0,287
BS28,0.0,200
BS29,0.0,117
BS3,0.0,970
BS30,0.0,751
BS31,0.0,689
BS32,0.0,429
BS34,0.0,882
BS35,0.0,784
BS36,0.0,503
BS37,0.0,983
BS39,0.0,622
BS4,0.0,1093
BS40,0.0,721
BS41,0.0,197
BS48,0.0,753
BS49,0.0,342
BS5,0.0,1300
BS6,0.0,783
BS7,0.0,775
BS8,0.0,810
BS9,0.0,892
BS99,0.0,69
CA1,0.0,680
CA10,0.0,681
CA11,0.0,1084
CA12,0.0,466
CA13,0.0,609
CA14,0.0,1286
CA15,0.0,574
CA16,0.0,264
CA17,0.0,228
CA18,0.0,25
CA19,0.0,68
CA2,0.0,945
CA20,0.0,193
CA21,0.0,37
CA22,0.0,268
CA23,0.0,73
CA24,0.0,38
CA25,0.0,227
CA26,0.0,114
CA27,0.0,54
CA28,0.0,955
CA3,0.0,543
CA4,0.0,470
CA5,0.0,341
CA6,0.0,508
CA7,0.0,1206
CA8,0.0,615
CA9,0.0,177
CB1,0.0,1050
CB10,0.0,554
CB11,0.0,523
CB2,0.0,566
CB21,0.0,436
CB22,0.0,578
CB23,0.0,855
CB24,0.0,779
CB25,0.0,409
CB3,0.0,371
CB4,0.0,890
CB5,0.0,260
CB6,0.0,885
CB7,0.0,727
CB8,0.0691,1042
CB9,0.0,812
CH1,0.0,992
CH2,0.0,847
CH25,0.0,5
CH26,0.0,9
CH27,0.0,16
CH28,0.0,3
CH29,0.0,19
CH3,0.0,1101
CH30,0.0,3
CH31,0.0,8
CH32,0.0,15
CH33,0.0,9
CH34,0.0,65
CH4,0.0,463
CH41,0.0,776
CH42,0.0,681
CH43,0.0,933
CH44,0.0,768
CH45,0.0,755
CH46,0.0,590
CH47,0.0,342
CH48,0.0,505
CH49,0.0,670
CH60,0.0,463
CH61,0.0,417
CH62,0.0,813
CH63,0.0,819
CH64,0.0,640
CH65,0.0,803
CH66,0.0,972
CH70,0.0,4
CH88,0.0,1
CH99,0.0,7
CM0,0.0,552
CM1,0.0,1499
CM11,0.0,448
CM12,0.0,520
CM13,0.0,697
CM14,0.0,632
CM15,0.0,587
CM16,0.0,627
CM17,0.0,518
CM18,0.0,430
CM19,0.0,397
CM2,0.0,1306
CM20,0.0,626
CM21,0.0,312
CM22,0.0,514
CM23,0.0,1101
CM24,0.0,270
CM3,0.0,1559
CM4,0.0,424
CM5,0.0,445
CM6,0.0,930
CM7,0.0,1317
CM77,0.0,441
CM8,0.0,902
CM9,0.0,975
CM92,0.0,18
CM99,0.0,84
CO1,0.0,569
CO10,0.0,1632
CO11,0.0,552
CO12,0.0,623
CO13,0.0,434
CO14,0.0,240
CO15,0.0,1350
CO16,0.0,796
CO2,0.0,939
CO3,0.0,852
CO4,0.0,1163
CO5,0.0,954
CO6,0.0,1006
CO7,0.0,1285
CO8,0.0,124
CO9,0.0,918
CR0,0.09799,2735
CR2,0.17088,989
CR3,0.12354,769
CR4,0.0,903
CR5,0.10653,704
CR6,0.0,253
CR7,0.0,608
CR8,0.39744,780
CR9,0.05224,134
CR90,0.0,63
CT1,0.66924,907
CT10,0.0,729
CT11,0.04287,863
CT12,0.21928,529
CT13,0.66667,384
CT14,0.74784,1158
CT15,0.05175,599
CT16,0.68071,617
CT17,0.94727,531
CT18,0.0046,435
CT19,0.0,634
CT2,0.38762,743
CT20,0.0,793
CT21,0.0,642
CT3,0.38451,762
CT4,0.31227,807
CT5,0.0,956
CT6,0.01276,1019
CT7,0.18382,408
CT8,0.0,215
CT9,0.0,1127
CV1,0.0,747
CV10,0.0,1024
CV11,0.0,907
CV12,0.0,641
CV13,0.0,354
CV2,0.0,1231
CV21,0.0,983
CV22,0.0,803
CV23,0.0,840
CV3,0.0,1341
CV31,0.0,807
CV32,0.0,917
CV33,0.0,305
CV34,0.0,966
CV35,0.0,962
CV36,0.0,412
CV37,0.0,1540
CV4,0.0,666
CV47,0.0,637
CV5,0.0,881
CV6,0.0,1509
CV7,0.0,735
CV8,0.0,771
CV9,0.0,675
CW1,0.0,1126
CW10,0.0,443
CW11,0.0,820
CW12,0.0,1010
CW2,0.0,1027
CW3,0.0,342
CW4,0.0,345
CW5,0.0,988
CW6,0.0,549
CW7,0.0,858
CW8,0.0,1099
CW9,0.0,1051
CW98,0.0,1
DA1,0.08086,1249
DA10,0.0,246
DA11,0.0,828
DA12,0.0,987
DA13,0.0,376
DA14,0.15789,513
DA15,0.0,502
DA16,0.0,563
DA17,0.23324,343
DA18,0.0,68
DA2,0.0,501
DA3,0.0,343
DA4,0.0,240
DA5,0.04784,439
DA6,0.004,250
DA7,0.0,672
DA8,0.14174,642
DA9,0.0,320
DE1,0.0,676
DE11,0.0,1052
DE12,0.0,564
DE13,0.0,974
DE14,0.0,768
DE15,0.0,514
DE21,0.0,1264
DE22,0.0,1064
DE23,0.0,1080
DE24,0.0,1154
DE3,0.0,441
DE4,0.0,1017
DE45,0.0,311
DE5,0.0,530
DE55,0.0,1190
DE56,0.0,899
DE6,0.0,776
DE65,0.0,544
DE7,0.0,1110
DE72,0.0,451
DE73,0.0,517
DE74,0.0,325
DE75,0.0,338
DE99,0.0,1
DG14,0.0,1
DG16,0.0,5
DH1,0.0,1285
DH2,0.0,708
DH3,0.0,760
DH4,0.0,921
DH5,0.0,544
DH6,0.0,1032
DH7,0.0,1250
DH8,0.0,1318
DH9,0.0,1196
DH97,0.0,1
DH98,0.0,1
DH99,0.0,2
DL1,0.0,1381
DL10,0.0,835
DL11,0.0,451
DL12,0.0,719
DL13,0.0,955
DL14,0.0,1170
DL15,0.0,698
DL16,0.0,571
DL17,0.0,528
DL2,0.0,800
DL3,0.0,1149
DL4,0.0,299
DL5,0.0,797
DL6,0.0,669
DL7,0.0,740
DL8,0.0,1145
DL9,0.0,387
DN1,0.0,473
DN10,0.0,556
DN11,0.0,797
DN12,0.0,623
DN14,0.0,1648
DN15,0.0,976
DN16,0.0,747
DN17,0.0,959
DN18,0.01913,366
DN19,0.05858,239
DN2,0.0,566
DN20,0.0,666
DN21,0.0,1335
DN22,0.0,1209
DN3,0.0,699
DN31,0.0,460
DN32,0.0,648
DN33,0.0,536
DN34,0.0,464
DN35,0.0,812
DN36,0.0,634
DN37,0.0,655
DN38,0.0,104
DN39,0.0,110
DN4,0.0,1290
DN40,0.0,445
DN41,0.0,238
DN5,0.0,955
DN6,0.0,842
DN7,0.0,645
DN8,0.0,491
DN9,0.0,670
DT1,1.0,771
DT10,0.0,464
DT11,0.86985,1068
DT2,0.67679,1120
DT3,0.07703,688
DT4,0.0,990
DT5,0.0,312
DT6,0.0,1005
DT7,0.0,281
DT8,0.06034,232
DT9,0.0,905
DY1,0.0,796
DY10,0.0,974
DY11,0.0,802
DY12,0.0,568
DY13,0.0,662
DY14,0.0,600
DY2,0.0,741
DY3,0.0,813
DY4,0.0,955
DY5,0.0,943
DY6,0.0,734
DY7,0.0,339
DY8,0.0,1199
DY9,0.0,842
E1,0.0,1473
E10,0.0,593
E11,0.0,844
E12,0.0,397
E13,0.0,566
E14,0.0,1862
E15,0.0,810
E16,0.0,935
E17,0.0,1515
E18,0.0,369
E1W,0.0,393
E2,0.0,964
E20,0.0,182
E3,0.0,1139
E4,0.0,976
