year,storm_days,max_gust,rain5d,jja_deficit,jja_tmax
1990,45.33,124.6,55.8,60.4,19.06
1991,31.08,103.8,56.2,37.1,18.18
1992,26.08,98.4,62.2,-7.0,18.44
1993,31.25,116.9,61.8,34.2,17.35
1994,33.0,107.1,52.3,73.0,18.84
1995,25.75,105.4,58.5,154.2,20.52
1996,17.33,99.0,46.4,60.0,18.63
1997,24.92,116.5,57.6,-16.2,19.12
1998,27.92,113.1,60.5,-4.4,17.4
1999,30.75,110.7,61.6,8.0,18.46
2000,32.83,115.1,62.3,34.5,17.95
2001,14.42,93.1,53.3,14.6,18.33
2002,28.92,114.8,65.7,11.1,18.14
2003,14.58,89.8,53.0,46.4,20.03
2004,27.0,105.4,62.8,-64.7,18.56
2005,22.75,110.9,58.0,41.4,18.82
2006,25.0,103.1,57.6,58.0,20.04
2007,29.67,115.9,63.2,-94.7,17.57
2008,33.42,107.2,68.1,-46.7,17.94
2009,23.17,100.4,57.4,-33.3,18.34
2010,9.17,91.7,55.6,13.6,18.55
2011,24.92,97.9,57.6,-11.0,17.5
2012,20.5,106.8,68.9,-138.9,17.37
2013,28.42,118.8,50.7,58.8,19.41
2014,28.17,107.9,54.0,-9.4,18.63
2015,41.75,108.1,58.9,-13.2,18.0
2016,19.42,104.2,50.9,2.6,18.81
2017,27.67,104.7,55.2,-63.6,18.7
2018,31.83,107.3,55.3,63.9,20.76
2019,32.67,103.4,72.1,-106.1,19.34
2020,45.33,117.2,80.2,-102.2,18.89
2021,23.67,98.7,73.1,-12.0,19.36
2022,24.75,108.9,56.5,64.2,20.8
2023,22.0,94.8,71.0,-81.7,19.68
2024,26.67,102.9,78.1,-15.0,18.73
