name,hb_1yr,hb_3yr
AB10 1,8.7012,9.305
AB10 6,10.3568,11.0754
AB10 7,9.4638,10.1205
AB11 5,5.6018,5.9905
AB11 6,8.8695,9.4849
AB11 7,2.4616,2.6324
AB11 8,6.112,6.5361
AB11 9,3.9462,4.22
AB12 3,12.2752,13.1248
AB12 4,2.8204,2.9715
AB12 5,9.2393,9.8676
AB12 9,3.3111,3.5409
AB13 0,3.919,4.1907
AB14 0,6.0414,6.4604
AB15 4,5.3059,5.6741
AB15 5,4.5406,4.8556
AB15 6,7.9358,8.4865
AB15 7,6.3237,6.7625
AB15 8,12.5277,13.3956
AB15 9,10.0582,10.7561
AB16 5,10.5685,11.3018
AB16 6,8.5736,9.1686
AB16 7,10.1423,10.8461
AB16 9,3.5662,3.8137
AB21 0,6.7616,7.1719
AB21 1,0.0434,0.0464
AB21 7,6.9578,7.4352
AB21 9,13.1983,14.1142
AB22 8,12.6474,13.525
AB22 9,0.9771,1.0448
AB23 8,9.9746,10.6354
AB23 9,0.2117,0.2264
AB24 1,3.9896,4.2665
AB24 2,7.1298,7.6245
AB24 3,7.7241,8.2601
AB24 4,7.2139,7.7145
AB24 5,8.4461,9.0321
AB25 1,6.2396,6.6725
AB25 2,7.6807,8.2137
AB25 3,6.3237,6.7625
AB25 9,0.3827,0.4092
AB30 1,5.0312,5.2917
AB31 4,3.8765,4.0832
AB31 5,4.3427,4.5757
AB31 6,1.664,1.7527
AB31 9,0.0917,0.0966
AB32 6,4.7274,4.9802
AB32 7,0.8091,0.8522
AB33 8,4.1517,4.3731
AB34 4,1.0833,1.1411
AB34 5,3.0674,3.231
AB35 5,2.518,2.6522
AB36 8,0.7173,0.7556
AB37 9,1.4519,1.957
AB38 7,1.0288,1.3967
AB38 9,1.6169,2.1951
AB39 2,4.5938,4.8388
AB39 3,3.1289,3.2958
AB39 8,0.5036,0.5304
AB39 9,0.0761,0.0802
AB41 1,0.0615,0.0648
AB41 6,2.0759,2.1866
AB41 7,3.1436,3.3112
AB41 8,4.182,4.405
AB41 9,3.0987,3.2639
AB42 0,2.3501,2.4754
AB42 1,4.2122,4.4369
AB42 2,2.396,2.5237
AB42 3,3.4344,3.6175
AB42 4,3.2968,3.4726
AB42 5,3.1894,3.3595
AB42 9,0.1064,0.1121
AB43 6,2.3042,2.4271
AB43 7,2.6858,2.8291
AB43 8,2.5033,2.6368
AB43 9,4.1361,4.3567
AB44 1,2.2281,2.3469
AB45 1,2.1822,2.2986
AB45 2,3.9401,4.1602
AB45 3,3.2353,3.4078
AB51 0,5.3873,5.6746
AB51 1,0.1522,0.1604
AB51 3,2.3501,2.4754
AB51 4,2.4575,2.5885
AB51 5,4.0444,4.26
AB51 6,0.6715,0.7073
AB51 7,1.7548,1.8484
AB51 8,1.4503,1.5276
AB52 6,3.8004,4.003
AB53 4,3.7545,3.9547
AB53 5,2.2437,2.3634
AB53 6,1.4347,1.5112
AB53 8,3.0069,3.1673
AB54 4,3.5121,3.7789
AB54 6,1.6328,1.7198
AB54 7,2.7799,3.1518
AB54 8,2.1364,2.2503
AB54 9,0.0459,0.0483
AB55 4,1.454,1.9739
AB55 5,3.1648,4.2778
AB55 6,2.369,3.216
AB56 1,4.786,6.4973
AB56 4,3.5052,4.7307
AB56 5,2.1726,2.9494
