name,households,postcodes
AB1,29201,2655
AB10,9877,898
AB11,9844,895
AB12,11592,1054
AB13,1298,118
AB14,1837,167
AB15,14298,1300
AB16,10261,933
AB2,33765,3070
AB21,10602,964
AB22,4245,386
AB23,4575,416
AB24,10734,976
AB25,7061,642
AB3,23844,2168
AB30,4036,367
AB31,11680,1062
AB32,4806,437
AB33,3442,313
AB34,3278,298
AB35,2222,202
AB36,605,55
AB37,1056,96
AB38,2013,183
AB39,6830,621
AB4,32511,2956
AB41,13066,1188
AB42,26561,2415
AB43,15926,1448
AB44,1727,157
AB45,7589,690
AB5,33017,3002
AB51,19236,1749
AB52,2871,261
AB53,11878,1080
AB54,11592,1054
AB55,8249,750
AB56,11174,1016
AB9,11713,1065
AB99,33,3
AL1,16030,2002
AL10,12739,1190
AL2,9611,982
AL3,11866,1305
AL4,10983,1058
AL5,12349,1547
AL6,5053,657
AL7,15356,1447
AL8,5752,600
AL9,4715,616
B1,5292,724
B10,7374,457
B11,12469,1031
B12,7636,754
B13,14855,1118
B14,17952,1036
B15,7278,851
B16,10170,1162
B17,11317,798
B18,6848,930
B19,7573,682
B2,687,860
B20,11413,752
B21,9694,780
B22,73,10
B23,19874,1252
B24,11973,764
B25,6148,535
B26,13732,747
B27,9863,544
B28,11731,855
B29,15782,1109
B3,2293,707
B30,12936,892
B31,24337,1478
B32,16409,1119
B33,14887,932
B34,7329,384
B35,4027,450
B36,13786,718
B37,15536,933
B38,8559,593
B4,1185,474
B40,145,26
B42,10367,772
B43,12197,669
B44,14037,797
B45,14026,926
B46,5698,668
B47,4245,295
B48,2546,244
B49,4715,526
B5,5850,897
B50,3019,227
B6,6510,875
B60,11583,1193
B61,11611,859
B62,10344,931
B63,15889,1020
B64,8010,632
B65,10270,642
B66,9734,951
B67,10557,768
B68,12679,690
B69,12415,1103
B7,3093,441
B70,12077,1385
B71,13027,792
B72,4327,375
B73,9589,1021
B74,12971,973
B75,11017,840
B76,9597,1076
B77,22934,1440
B78,10692,745
B79,11037,871
B8,12480,778
B80,3168,255
B9,7072,795
B90,20444,1525
B91,13583,1415
B92,15562,906
B93,8217,866
B94,3455,424
B95,3227,416
B96,2429,237
B97,14994,1307
B98,20219,1128
B99,31,59
BA1,19597,2561
BA10,1510,201
BA11,14793,1455
BA12,13247,1372
BA13,9229,777
BA14,22532,1889
BA15,6163,650
BA16,5938,438
BA2,28664,2728
BA20,5577,808
BA21,15100,900
BA22,8059,900
BA3,17610,1955
BA4,8150,1008
BA5,8611,1008
BA6,5889,771
BA7,1908,242
BA8,2062,234
BA9,3743,474
BB0,10,1
BB1,24638,1920
BB10,16383,1134
BB11,11215,1439
BB12,15515,1223
BB18,3969,669
BB2,24646,2120
BB3,15154,1194
BB4,18098,1824
BB5,26125,2091
BB6,8183,707
BB7,13879,1453
BB8,14021,1521
BB9,17757,1860
BB94,162,21
BD1,3331,1575
BD10,11912,907
BD11,5135,365
BD12,7671,743
BD13,11982,1131
BD14,3583,275
BD15,6753,571
BD16,11819,1169
BD17,8739,837
BD18,11773,1033
BD19,10253,959
BD2,12726,870
BD20,16155,1605
BD21,10234,1371
BD22,13127,1251
BD23,13942,1822
BD24,2586,399
BD3,10382,899
BD4,13353,1284
BD5,9392,1017
BD6,12523,905
BD7,10882,911
BD8,9213,931
BD9,8966,720
BD97,8,4
BD98,12,6
BD99,64,19
BH1,11632,1492
BH10,9245,594
BH11,8818,736
BH12,14572,1153
BH13,4035,414
BH14,11075,947
BH15,16130,1350
BH16,6529,488
BH17,9582,721
BH18,5343,414
BH19,5395,658
BH2,5097,509
BH20,8574,934
BH21,20254,2164
BH22,12498,968
BH23,25013,2183
BH24,10758,1184
BH25,11864,1086
BH3,2205,196
BH31,3756,426
BH4,5035,510
BH5,5279,366
BH6,10442,710
BH7,4787,473
BH8,12387,909
BH9,12002,886
BL0,7287,666
BL1,27207,2880
BL11,108,31
BL2,20319,1453
BL3,24610,1809
BL4,14422,1062
BL5,12078,810
BL6,13910,1397
BL7,6760,615
BL78,106,14
BL8,15450,1548
BL9,21373,1776
BN1,35431,2850
BN10,5093,694
BN11,16496,1817
BN12,9787,911
BN13,12971,976
BN14,13179,1024
BN15,11434,897
BN16,13861,1365
BN17,14002,938
BN18,6185,716
BN2,40791,2887
BN20,9415,928
BN21,12712,1601
BN22,14192,1054
BN23,13029,856
BN24,4424,551
BN25,11196,1153
BN26,6334,652
BN27,13589,1425
BN3,36030,2550
BN4,12833,1409
BN41,5515,640
BN42,2416,294
BN43,6154,788
BN44,2679,358
BN45,261,57
BN5,3388,455
BN50,465,712
BN51,282,106
BN52,678,394
BN6,7619,812
BN7,8697,1178
BN8,6849,828
BN88,101,37
BN9,9396,1080
BN95,11,1
BN99,1306,518
BR1,24169,2087
BR2,19853,1407
BR3,21670,2145
BR4,7275,591
BR5,19199,1312
BR6,19348,1687
BR7,7680,730
BR8,9659,691
BS0,3,1
BS1,7743,1739
BS10,12316,893
BS11,7807,780
BS12,15093,1946
BS13,12592,827
BS14,12867,749
BS15,27025,2535
BS16,32771,2562
BS17,13268,1655
BS18,11410,2155
BS19,7456,1153
BS2,7329,962
BS20,14464,1472
BS21,10569,945
BS22,16555,1526
BS23,17231,1554
BS24,10576,902
BS25,2408,336
BS26,2081,289
BS27,2997,353
BS28,1464,241
BS29,846,147
BS3,17533,1263
BS30,6994,905
BS31,5880,848
BS32,6005,698
BS34,8937,1215
BS35,5794,988
BS36,3500,576
BS37,9733,1282
BS39,3945,731
BS4,21398,1399
BS40,3160,866
BS41,1574,249
BS48,5346,985
BS49,2830,419
BS5,22999,1564
BS6,13265,1061
BS7,16620,822
BS77,34,10
BS8,11983,1226
BS80,131,19
BS9,12288,1210
BS98,84,17
BS99,1142,1981
CA1,11637,1013
CA10,6338,765
CA11,10521,1358
CA12,3314,557
CA13,7074,742
CA14,16759,1585
CA15,7129,662
CA16,2915,299
CA17,2228,258
CA18,164,28
CA19,515,71
CA2,18006,1145
CA20,1523,226
CA21,352,40
CA22,3739,316
CA23,757,79
CA24,469,45
CA25,2790,253
CA26,1556,126
CA27,649,65
CA28,12674,1174
CA3,7169,792
CA4,4910,664
CA5,6158,1146
CA6,5805,813
CA7,7566,1327
CA8,4017,695
CA9,978,204
CA95,29,6
CA99,11,6
CB1,24357,2776
CB10,6742,828
CB11,7332,708
CB2,14186,1967
CB21,3514,521
CB22,5812,707
CB23,8083,1013
CB24,7389,938
CB25,4326,515
CB3,11929,1475
CB4,26211,2515
CB5,7903,868
CB6,16551,1049
CB7,12107,1031
CB8,15692,1568
CB9,13498,1017
CF1,11102,2303
CF10,3512,1182
CF11,9731,1460
CF14,16395,2230
CF15,4464,654
CF2,16566,1899
CF23,11326,1246
CF24,11263,1448
CF3,20199,1956
CF30,272,94
CF31,19757,1541
CF32,13757,907
CF33,6517,356
