x,y,value
2500,517500,1269.979
2500,522500,1005.0835
2500,527500,910.89276
7500,512500,1182.9113
7500,517500,1004.03156
7500,522500,932.7814
7500,527500,951.19025
12500,507500,1096.1233
12500,512500,966.4142
12500,517500,940.60095
12500,522500,998.3867
12500,527500,979.58124
12500,532500,958.1388
17500,497500,1176.2124
17500,502500,1145.5725
17500,507500,939.2095
17500,512500,1029.8894
17500,517500,1084.3412
17500,522500,1083.1838
17500,527500,998.1761
17500,532500,971.7119
17500,547500,1450.1378
22500,492500,1258.4745
22500,497500,1305.1907
22500,502500,1062.6024
22500,507500,974.9588
22500,512500,1103.9667
22500,517500,1043.8455
22500,522500,1041.179
22500,527500,976.3241
22500,532500,997.533
22500,542500,1454.1903
22500,547500,1658.6367
22500,552500,1808.4529
27500,492500,1275.7205
27500,497500,1237.8289
27500,502500,956.2433
27500,507500,913.34314
27500,512500,910.01794
27500,517500,876.5085
27500,522500,903.7375
27500,527500,914.9513
27500,532500,1090.5242
27500,537500,1272.5958
27500,542500,1531.8914
27500,547500,1604.0403
27500,552500,1624.2432
32500,487500,1029.3723
32500,492500,1155.4711
32500,497500,998.46814
32500,502500,820.91034
32500,507500,792.1303
32500,512500,802.03845
32500,517500,787.8263
32500,522500,817.05096
32500,527500,891.097
32500,532500,1054.1936
32500,537500,1238.106
32500,542500,1452.6215
32500,547500,1399.1753
32500,552500,1364.0768
37500,482500,900.0166
37500,487500,982.8583
37500,492500,974.09924
37500,497500,822.7943
37500,502500,719.80597
37500,507500,685.37933
37500,512500,741.07184
37500,517500,768.10876
37500,522500,833.49475
37500,527500,910.4398
37500,532500,1021.13495
37500,537500,1199.1305
37500,542500,1348.1522
37500,547500,1220.3127
37500,552500,1178.2723
42500,482500,842.4961
42500,487500,838.8412
42500,492500,800.1039
42500,497500,741.00397
42500,502500,714.85144
42500,507500,723.4081
42500,512500,801.2035
42500,517500,852.1095
42500,522500,901.2712
42500,527500,935.2438
42500,532500,1053.9047
42500,537500,1200.1677
42500,542500,1185.6116
42500,547500,1100.5441
42500,552500,1047.7837
42500,557500,988.43634
47500,482500,782.03894
47500,487500,753.95044
47500,492500,714.1708
47500,497500,725.0582
47500,502500,789.0978
47500,507500,826.1798
47500,512500,864.391
47500,517500,936.7601
47500,522500,977.12616
47500,527500,974.0335
47500,532500,1044.8761
47500,537500,1125.5223
47500,542500,1006.07996
47500,547500,971.5042
47500,552500,941.4974
47500,557500,884.35626
47500,562500,884.6003
52500,482500,767.16895
52500,487500,733.4208
52500,492500,698.69104
52500,497500,773.5473
52500,502500,874.50195
52500,507500,871.9448
52500,512500,868.7612
52500,517500,965.11804
52500,522500,1011.7064
52500,527500,955.5094
52500,532500,949.7482
52500,537500,961.02673
52500,542500,870.0377
52500,547500,923.3494
52500,552500,812.18256
52500,557500,794.2357
52500,562500,887.9925
52500,567500,899.4515
52500,572500,904.59485
52500,577500,860.9579
52500,582500,816.6135
57500,482500,784.90466
57500,487500,771.73914
57500,492500,755.8344
57500,497500,843.8458
57500,502500,921.027
57500,507500,918.1711
57500,512500,927.78406
57500,517500,997.4429
57500,522500,1006.2988
57500,527500,942.0314
57500,532500,877.6876
57500,537500,825.4955
57500,542500,841.479
57500,547500,898.2913
57500,552500,845.6022
57500,557500,916.75525
57500,562500,991.4498
57500,567500,896.0465
57500,572500,894.8047
57500,577500,895.59314
57500,582500,884.93475
57500,587500,807.8228
57500,782500,1939.07
62500,492500,813.9977
62500,497500,855.8004
62500,502500,905.5374
62500,507500,1053.4954
62500,512500,1011.19806
62500,517500,948.99335
62500,522500,945.5555
62500,527500,897.2093
62500,532500,820.536
62500,537500,745.0089
62500,542500,881.9591
62500,547500,987.35626
62500,552500,928.1061
62500,557500,1005.7035
62500,562500,1051.0188
62500,567500,957.5848
62500,572500,980.0757
62500,577500,1018.18787
62500,582500,969.882
62500,587500,926.2868
62500,797500,1939.0394
67500,507500,1107.2073
67500,512500,994.4365
67500,517500,832.3457
67500,522500,861.1127
67500,527500,910.37366
67500,532500,871.75995
67500,537500,861.5607
67500,542500,1055.6608
67500,547500,1015.4717
67500,552500,943.28503
67500,557500,1073.735
67500,562500,1146.1569
67500,567500,1086.5793
67500,572500,1006.3002
67500,577500,991.23157
67500,582500,1006.91064
67500,587500,1011.71375
67500,797500,1941.5928
67500,802500,2030.0599
72500,512500,902.9585
72500,517500,775.53235
72500,522500,852.95544
72500,527500,936.7241
72500,532500,897.1815
72500,537500,949.2147
72500,542500,1046.4944
72500,547500,1002.84845
72500,552500,1068.5934
72500,557500,1216.2639
72500,562500,1276.8372
72500,567500,1085.6063
72500,572500,937.77405
72500,577500,967.34375
72500,582500,979.7243
72500,802500,2086.395
72500,817500,2032.0466
72500,822500,1781.4512
72500,827500,1789.2955
72500,832500,1578.9125
72500,867500,1767.5564
72500,872500,1777.3557
77500,512500,790.5793
77500,517500,787.5649
77500,522500,849.70636
77500,527500,933.6121
77500,532500,927.4293
77500,537500,968.2296
77500,542500,1026.1741
77500,547500,997.6981
77500,552500,1156.8547
77500,557500,1265.3544
77500,562500,1299.7113
77500,567500,1117.005
77500,572500,989.6716
77500,577500,1008.31464
77500,582500,952.40643
77500,812500,2054.527
77500,817500,2046.9387
77500,822500,1746.085
77500,827500,1758.2666
77500,832500,1653.9645
77500,837500,1704.9812
77500,842500,1636.2036
77500,847500,1590.7595
77500,852500,1573.6025
77500,857500,1552.708
77500,862500,1614.9309
77500,867500,1653.7786
77500,872500,1681.0416
82500,492500,836.15643
82500,497500,788.1968
82500,502500,783.8503
82500,507500,752.2983
82500,512500,739.237
82500,517500,820.21765
82500,522500,857.68994
82500,527500,928.0493
82500,532500,932.8006
82500,537500,946.20294
82500,542500,969.83105
82500,547500,1011.82635
82500,552500,1191.4452
82500,557500,1266.7443
82500,562500,1284.4121
82500,567500,1173.118
82500,572500,1032.8411
82500,577500,981.9127
82500,582500,870.6787
82500,587500,781.2855
82500,592500,805.19543
82500,812500,2120.5464
82500,817500,2134.567
82500,822500,1897.4879
82500,827500,1890.5951
82500,832500,1700.5745
82500,837500,1764.6068
82500,842500,1532.0847
82500,847500,1409.6796
82500,852500,1484.1775
82500,857500,1472.2374
82500,862500,1518.5273
82500,867500,1671.9836
82500,872500,1712.3793
87500,487500,767.1764
87500,492500,799.5731
87500,497500,784.7518
87500,502500,762.1437
87500,507500,723.919
87500,512500,737.6117
87500,517500,805.10144
87500,522500,845.60565
87500,527500,892.709
87500,532500,884.8428
87500,537500,880.3202
87500,542500,854.31525
87500,547500,1097.6727
87500,552500,1226.0822
87500,557500,1208.932
87500,562500,1187.1678
87500,567500,1053.9612
87500,572500,957.4196
87500,577500,831.8864
87500,582500,720.1846
87500,587500,679.5504
87500,592500,801.36
87500,597500,1062.9899
87500,847500,1598.6531
87500,852500,1652.9353
87500,857500,1660.2891
87500,862500,1711.4929
87500,867500,1831.0276
87500,872500,1844.4055
87500,877500,1864.9154
87500,887500,1977.575
92500,12500,1116.1927
92500,487500,782.2019
92500,492500,859.32306
92500,497500,814.2494
92500,502500,762.80286
92500,507500,711.56335
92500,512500,715.0592
92500,517500,763.8653
92500,522500,774.13245
92500,527500,807.6535
92500,532500,822.1201
92500,537500,823.8161
92500,542500,791.5167
92500,547500,978.78174
92500,552500,1186.6434
92500,557500,1017.20245
92500,562500,1048.162
92500,567500,1042.5728
92500,572500,914.654
92500,577500,774.0807
92500,582500,754.46594
92500,587500,863.53076
92500,592500,912.855
92500,597500,1086.597
92500,742500,1740.5752
92500,857500,1852.559
92500,862500,1907.1572
92500,867500,2002.5117
92500,872500,1843.4773
92500,877500,1896.2229
97500,477500,646.2168
97500,482500,661.819
97500,487500,821.6885
97500,492500,896.2241
97500,497500,813.04456
97500,502500,753.01965
97500,507500,679.8529
97500,512500,665.6159
97500,517500,714.8136
97500,522500,733.94476
97500,527500,729.66254
97500,532500,775.396
97500,537500,788.0599
97500,542500,744.5391
97500,547500,904.8524
97500,552500,971.1416
97500,557500,857.26825
97500,562500,935.6458
97500,567500,1024.1483
97500,572500,956.2933
97500,577500,885.0065
97500,582500,875.242
97500,587500,926.58167
97500,592500,865.82385
97500,597500,999.21747
97500,742500,1759.1614
97500,747500,1737.0889
97500,872500,1936.0859
97500,892500,1753.9309
97500,912500,1628.7003
97500,917500,1601.916
97500,922500,1628.2234
97500,927500,1619.8796
102500,472500,587.4192
102500,477500,644.5547
102500,482500,774.14
102500,487500,887.43976
102500,492500,925.1326
102500,497500,820.6383
102500,502500,735.5626
102500,507500,659.68445
102500,512500,626.4971
102500,517500,697.40845
102500,522500,715.70685
102500,527500,731.40063
102500,532500,780.7448
102500,537500,789.7006
102500,542500,716.1815
102500,547500,808.5003
102500,552500,722.57385
102500,557500,684.2979
102500,562500,812.0886
102500,567500,852.3586
102500,572500,871.8348
102500,577500,847.94855
102500,582500,813.4068
102500,587500,811.2688
102500,592500,711.9602
102500,597500,842.6341
102500,747500,1745.1381
102500,882500,1856.7571
102500,887500,1633.3572
102500,892500,1704.5374
102500,897500,1650.1273
102500,907500,1372.9054
102500,912500,1573.4215
102500,917500,1606.339
102500,922500,1528.9441
102500,927500,1885.6599
102500,932500,2057.0605
102500,937500,1918.2312
107500,472500,558.76056
107500,477500,651.5327
107500,482500,853.3416
107500,487500,920.1654
107500,492500,881.8478
107500,497500,782.2253
107500,502500,705.71594
107500,507500,631.1866
107500,512500,590.4706
107500,517500,680.32623
107500,522500,684.4353
107500,527500,747.94885
107500,532500,782.31213
107500,537500,812.4748
107500,542500,709.1111
107500,547500,734.20605
107500,552500,623.6052
107500,557500,608.6218
107500,562500,693.4657
107500,567500,713.5735
107500,572500,729.45935
107500,577500,712.8514
107500,582500,709.5133
107500,587500,674.9576
107500,592500,636.9386
107500,597500,813.1151
107500,747500,1748.0312
107500,887500,1627.4846
107500,892500,1737.3054
107500,897500,1537.5662
107500,902500,1532.7097
107500,907500,1392.5603
107500,912500,2057.6797
107500,917500,1896.6624
107500,922500,1857.8962
107500,927500,1947.2803
107500,932500,2009.4811
107500,937500,1728.0266
112500,472500,560.9392
112500,477500,712.6086
112500,482500,883.6374
112500,487500,837.08496
112500,492500,771.21716
112500,497500,710.2457
112500,502500,665.74
112500,507500,595.60974
112500,512500,565.226
112500,517500,668.51184
112500,522500,659.7523
112500,527500,766.49036
112500,532500,722.08746
112500,537500,617.90173
112500,542500,634.194
112500,547500,645.8244
112500,552500,564.0499
112500,557500,560.7235
112500,562500,611.90686
112500,567500,611.7412
112500,572500,626.7139
112500,577500,651.65717
112500,582500,701.09344
112500,587500,694.4586
112500,592500,679.7761
112500,597500,809.6505
112500,602500,790.7219
112500,752500,1895.1438
112500,847500,1793.4424
112500,892500,1783.9274
112500,897500,1589.8674
112500,902500,1571.4846
112500,907500,1680.783
112500,912500,2092.4382
112500,917500,1872.0199
112500,922500,1717.5573
112500,927500,1651.2513
112500,932500,1789.3672
112500,937500,1458.4539
117500,477500,789.58704
117500,482500,815.8322
117500,487500,745.5524
117500,492500,683.48505
117500,497500,654.70013
117500,502500,623.0287
117500,507500,569.0382
117500,512500,555.1628
117500,517500,647.28754
117500,522500,630.0462
117500,527500,734.38525
117500,532500,750.6524
117500,537500,645.4414
117500,542500,649.1723
117500,547500,666.53784
117500,552500,572.64124
117500,557500,580.57385
117500,562500,629.0781
117500,567500,649.19385
117500,572500,702.6977
117500,577500,731.71155
117500,582500,738.8885
117500,587500,724.2516
117500,592500,696.3531
117500,597500,819.30505
117500,602500,820.1813
117500,652500,1455.0681
117500,657500,1515.5156
117500,752500,1880.0465
117500,757500,1888.6582
117500,842500,1624.8544
117500,847500,1814.7435
117500,852500,1863.9408
117500,892500,1778.3821
117500,897500,1529.3948
117500,902500,1711.8416
117500,907500,1997.8395
117500,912500,2044.3171
117500,917500,1815.26
117500,922500,1565.0216
117500,927500,1418.2537
117500,932500,1454.5298
