x,y,value
2500,517500,5.350505
2500,522500,4.9050093
2500,527500,4.643361
7500,512500,5.025388
7500,517500,4.3923326
7500,522500,4.5552187
7500,527500,4.513223
12500,507500,4.665489
12500,512500,4.5013323
12500,517500,4.710667
12500,522500,4.936185
12500,527500,4.512937
12500,532500,4.7299004
17500,497500,5.0794587
17500,502500,4.6277056
17500,507500,4.4763174
17500,512500,5.253274
17500,517500,5.2245717
17500,522500,5.2625203
17500,527500,5.160342
17500,532500,4.784068
17500,547500,5.6295404
22500,492500,6.139226
22500,497500,6.38968
22500,502500,5.0991488
22500,507500,5.009761
22500,512500,5.2411637
22500,517500,4.7663374
22500,522500,4.881103
22500,527500,5.383524
22500,532500,4.761051
22500,542500,5.302492
22500,547500,5.9296074
22500,552500,6.030625
27500,492500,5.519409
27500,497500,5.5737915
27500,502500,4.525631
27500,507500,4.6614428
27500,512500,4.3606358
27500,517500,4.3940954
27500,522500,4.7391787
27500,527500,5.1785345
27500,532500,4.552006
27500,537500,4.914035
27500,542500,5.066119
27500,547500,5.124744
27500,552500,5.3335943
32500,487500,5.014888
32500,492500,4.71255
32500,497500,4.2354903
32500,502500,4.0311275
32500,507500,4.0463247
32500,512500,4.261655
32500,517500,4.4515963
32500,522500,4.4521484
32500,527500,4.2832427
32500,532500,4.26681
32500,537500,4.9157825
32500,542500,5.137525
32500,547500,4.709223
32500,552500,4.8859835
37500,482500,4.33784
37500,487500,4.974004
37500,492500,4.6373863
37500,497500,4.1767497
37500,502500,4.032821
37500,507500,3.9968045
37500,512500,4.180402
37500,517500,4.2030063
37500,522500,4.344842
37500,527500,4.3947105
37500,532500,4.367894
37500,537500,5.166404
37500,542500,5.2901707
37500,547500,4.502235
37500,552500,4.8447
42500,482500,4.136075
42500,487500,4.088767
42500,492500,4.169612
42500,497500,4.171593
42500,502500,3.997007
42500,507500,4.261328
42500,512500,4.5947905
42500,517500,4.4490213
42500,522500,4.3776402
42500,527500,4.596554
42500,532500,5.210333
42500,537500,5.5453706
42500,542500,5.353648
42500,547500,4.435906
42500,552500,4.680977
42500,557500,4.6294737
47500,482500,4.1852837
47500,487500,4.1478534
47500,492500,4.0140705
47500,497500,4.020535
47500,502500,4.0484457
47500,507500,4.1217394
47500,512500,4.4297895
47500,517500,4.721917
47500,522500,4.577552
47500,527500,4.5660067
47500,532500,5.196532
47500,537500,5.0225153
47500,542500,4.7067704
47500,547500,4.688033
47500,552500,4.4722795
47500,557500,4.450869
47500,562500,4.4271603
52500,482500,4.148846
52500,487500,4.0546703
52500,492500,4.060926
52500,497500,4.4930716
52500,502500,4.6097684
52500,507500,4.189449
52500,512500,4.229628
52500,517500,4.8413806
52500,522500,4.6981597
52500,527500,4.312977
52500,532500,4.8832636
52500,537500,4.7909217
52500,542500,4.578562
52500,547500,4.6091866
52500,552500,3.9947267
52500,557500,4.451798
52500,562500,4.606013
52500,567500,4.2793813
52500,572500,4.6378374
52500,577500,4.791796
52500,582500,4.9371295
57500,482500,4.237523
57500,487500,4.0636992
57500,492500,4.1430306
57500,497500,4.726598
57500,502500,4.8271236
57500,507500,4.4046097
57500,512500,4.3585134
57500,517500,4.9725976
57500,522500,4.7385216
57500,527500,4.2401624
57500,532500,4.2576914
57500,537500,4.190724
57500,542500,4.2681937
57500,547500,4.4502945
57500,552500,4.187063
57500,557500,5.0632105
57500,562500,5.146876
57500,567500,4.4040313
57500,572500,4.586889
57500,577500,4.7513742
57500,582500,4.9371986
57500,587500,4.6212378
57500,782500,8.963574
62500,492500,4.048518
62500,497500,4.3954577
62500,502500,4.921833
62500,507500,5.1497636
62500,512500,4.508968
62500,517500,4.6679363
62500,522500,4.559532
62500,527500,4.2192354
62500,532500,3.9945035
62500,537500,4.187989
62500,542500,4.9472933
62500,547500,4.9005256
62500,552500,4.327469
62500,557500,5.108784
62500,562500,5.0294304
62500,567500,4.614793
62500,572500,5.217435
62500,577500,4.7554955
62500,582500,4.3672147
62500,587500,4.8366556
62500,797500,8.263839
67500,507500,5.6184893
67500,512500,4.606964
67500,517500,4.319009
67500,522500,4.5122004
67500,527500,4.381822
67500,532500,4.0504537
67500,537500,4.3781033
67500,542500,5.452617
67500,547500,4.8563647
67500,552500,4.600773
67500,557500,5.340127
67500,562500,5.2123423
67500,567500,4.9020867
67500,572500,4.9497766
67500,577500,5.011121
67500,582500,4.8175554
67500,587500,4.860661
67500,797500,7.480809
67500,802500,7.6084824
72500,512500,4.492151
72500,517500,4.1164927
72500,522500,4.775449
72500,527500,4.6377463
72500,532500,4.218566
72500,537500,4.4485283
72500,542500,4.6205187
72500,547500,4.6212883
72500,552500,4.8943567
72500,557500,5.9117417
72500,562500,5.671111
72500,567500,4.7075086
72500,572500,4.9444437
72500,577500,5.588281
72500,582500,5.3014603
72500,802500,7.3844476
72500,817500,7.5184035
72500,822500,7.5494766
72500,827500,7.4641356
72500,832500,7.447708
72500,867500,7.3870864
72500,872500,7.474677
77500,512500,4.1223145
77500,517500,4.277824
77500,522500,4.826017
77500,527500,4.980895
77500,532500,4.660997
77500,537500,4.936358
77500,542500,4.730934
77500,547500,4.7283497
77500,552500,5.132777
77500,557500,5.739793
77500,562500,5.821261
77500,567500,4.8545866
77500,572500,5.1589084
77500,577500,6.075869
77500,582500,5.846692
77500,812500,6.8782187
77500,817500,6.7721305
77500,822500,6.4048004
77500,827500,6.2889104
77500,832500,6.4086175
77500,837500,6.7589774
77500,842500,6.974753
77500,847500,7.0000067
77500,852500,7.208667
77500,857500,7.401207
77500,862500,7.2470345
77500,867500,6.6239634
77500,872500,6.577366
82500,492500,4.4907336
82500,497500,4.4204016
82500,502500,4.3666115
82500,507500,4.1516013
82500,512500,4.1998296
82500,517500,4.4568634
82500,522500,4.5806327
82500,527500,4.996043
82500,532500,4.9598713
82500,537500,5.1834364
82500,542500,4.8530164
82500,547500,5.1157947
82500,552500,5.899106
82500,557500,6.108676
82500,562500,6.3620157
82500,567500,5.2011323
82500,572500,4.9858894
82500,577500,5.53316
82500,582500,5.18524
82500,587500,5.25724
82500,592500,5.94713
82500,812500,6.883213
82500,817500,6.7941427
82500,822500,6.4057045
82500,827500,6.4872313
82500,832500,6.9103875
82500,837500,6.3457346
82500,842500,6.1425233
82500,847500,6.576834
82500,852500,6.3011065
82500,857500,7.039814
82500,862500,6.589158
82500,867500,6.2611537
82500,872500,6.509343
87500,487500,4.4773417
87500,492500,4.4782085
87500,497500,4.573267
87500,502500,4.5946264
87500,507500,4.48492
87500,512500,4.4646907
87500,517500,4.3489714
87500,522500,4.302003
87500,527500,4.438859
87500,532500,4.7600465
87500,537500,4.8900504
87500,542500,5.122089
87500,547500,5.2244864
87500,552500,5.683411
87500,557500,6.007779
87500,562500,6.0814943
87500,567500,5.310415
87500,572500,4.773499
87500,577500,4.701446
87500,582500,4.5862384
87500,587500,4.938615
87500,592500,5.8395224
87500,597500,5.778978
87500,847500,6.544628
87500,852500,6.1922784
87500,857500,6.420044
87500,862500,6.0977783
87500,867500,6.0764375
87500,872500,6.3157854
87500,877500,7.3756385
87500,887500,8.314759
92500,12500,8.37908
92500,487500,4.6026707
92500,492500,4.830792
92500,497500,4.7202907
92500,502500,4.8184705
92500,507500,4.683585
92500,512500,4.384438
92500,517500,4.247584
92500,522500,4.2822523
92500,527500,4.2237954
92500,532500,4.2855654
92500,537500,4.214894
92500,542500,4.7285776
92500,547500,5.4124928
92500,552500,5.032796
92500,557500,5.0818863
92500,562500,5.959288
92500,567500,5.93592
92500,572500,5.6356993
92500,577500,5.227968
92500,582500,5.4949727
92500,587500,5.8255973
92500,592500,6.451097
92500,597500,6.3409414
92500,742500,8.125574
92500,857500,6.5766463
92500,862500,6.364797
92500,867500,5.924845
92500,872500,6.263877
92500,877500,6.534987
97500,477500,4.2523155
97500,482500,4.4456716
97500,487500,4.892339
97500,492500,4.888494
97500,497500,4.6030135
97500,502500,4.611577
97500,507500,4.3470764
97500,512500,4.1740384
97500,517500,4.1019754
97500,522500,4.142092
97500,527500,4.2541127
97500,532500,4.1607904
97500,537500,3.9776483
97500,542500,4.2419915
97500,547500,5.5917163
97500,552500,5.136836
97500,557500,4.3833885
97500,562500,5.4092517
97500,567500,6.1191096
97500,572500,5.4319987
97500,577500,5.3106956
97500,582500,5.5804834
97500,587500,5.6042256
97500,592500,5.40482
97500,597500,5.3535156
97500,742500,7.0761847
97500,747500,7.224055
97500,872500,6.8324213
97500,892500,8.018093
97500,912500,8.112135
97500,917500,8.480036
97500,922500,8.37482
97500,927500,8.343263
102500,472500,4.257371
102500,477500,4.294778
102500,482500,4.5524197
102500,487500,5.1907835
102500,492500,5.39943
102500,497500,5.0736437
102500,502500,4.7945924
102500,507500,4.3906474
102500,512500,4.1446486
102500,517500,4.0714273
102500,522500,4.0537553
102500,527500,4.3835464
102500,532500,4.2733965
102500,537500,3.9721055
102500,542500,4.2365127
102500,547500,4.613157
102500,552500,4.227071
