name,premises
AL1,1342.3
AL10,758.1
AL2,622.8
AL3,891.0
AL4,560.9
AL5,728.8
AL6,312.7
AL7,1004.7
AL8,387.1
AL9,428.2
B1,2665.0
B10,1229.5
B11,2267.4
B12,1538.6
B13,593.5
B14,822.9
B15,2905.8
B16,1713.4
B17,545.4
B18,1984.7
B19,1301.3
B2,2449.1
B20,460.3
B21,1136.4
B23,962.0
B24,1019.4
B25,880.0
B26,985.1
B27,655.7
B28,627.1
B29,623.8
B3,2150.6
B30,916.4
B31,1117.0
B32,373.5
B33,751.9
B34,157.7
B35,257.8
B36,346.5
B37,1075.5
B38,407.7
B4,1620.4
B40,98.5
B42,1034.5
B43,311.7
B44,649.3
B45,726.8
B46,843.3
B47,192.3
B48,255.9
B49,750.9
B5,2140.8
B50,275.8
B6,1357.0
B60,1434.9
B61,806.7
B62,793.0
B63,1260.8
B64,970.5
B65,671.6
B66,1783.5
B67,453.9
B68,541.1
B69,1396.5
B7,1418.6
B70,2229.4
B71,428.7
B72,380.8
B73,914.5
B74,391.3
B75,441.1
B76,590.2
B77,1049.4
B78,835.4
B79,1122.4
B8,1332.5
B80,309.1
B9,1421.6
B90,1252.0
B91,945.0
B92,635.3
B93,467.2
B94,378.7
B95,454.4
B96,268.5
B97,1019.1
B98,1577.5
B99,28.4
BA1,2709.0
BA10,205.2
BA11,1385.7
BA12,992.4
BA13,806.4
BA14,1470.3
BA15,443.5
BA16,474.3
BA2,1763.2
BA20,926.6
BA21,591.1
BA22,830.5
BA3,1232.5
BA4,810.3
BA5,890.5
BA6,713.2
BA7,178.0
BA8,178.9
BA9,445.7
BB1,3672.7
BB10,1011.1
BB11,1838.2
BB12,2851.4
BB18,667.6
BB2,3464.3
BB3,1608.6
BB4,1873.5
BB5,2692.5
BB6,601.0
BB7,1768.6
BB8,1016.5
BB9,2095.9
BB94,0.3
BD1,2403.7
BD10,636.7
BD11,216.7
BD12,575.9
BD13,689.9
BD14,170.7
BD15,280.3
BD16,726.9
BD17,729.2
BD18,987.6
BD19,1093.9
BD2,542.3
BD20,958.8
BD21,1942.4
BD22,603.5
BD23,2071.2
BD24,488.5
BD3,1241.8
BD4,1851.3
BD5,1069.1
BD6,535.8
BD7,1345.7
BD8,1543.2
BD9,488.3
BD97,10.4
BD98,23.5
BD99,26.0
BH1,1711.8
BH10,221.0
BH11,335.9
BH12,1098.9
BH13,1056.1
BH14,1063.3
BH15,1814.1
BH16,545.2
BH17,685.5
BH18,219.1
BH19,1090.8
BH2,763.7
BH20,1274.7
BH21,1966.4
BH22,633.6
BH23,2109.1
BH24,1124.3
BH25,839.2
BH3,93.8
BH31,371.7
BH4,376.9
BH5,409.9
BH6,2103.4
BH7,414.8
BH8,716.6
BH9,691.4
BL0,508.8
BL1,3815.6
BL11,82.9
BL2,1263.4
BL3,2301.4
BL4,1255.7
BL5,750.1
