district,cwd_yr_clim_mm,smd_jja_clim_mm
AB10 1,138.74,77.66
AB10 6,142.0,78.39
AB10 7,146.8,81.4
AB11 5,140.45,79.69
AB11 6,140.83,78.68
AB11 7,131.73,73.29
AB11 8,130.64,73.13
AB11 9,137.84,78.61
AB12 3,114.56,61.34
AB12 4,122.71,66.04
AB12 5,143.3,76.71
AB12 9,111.39,58.67
AB13 0,163.78,88.74
AB14 0,175.75,95.62
AB15 4,135.52,72.42
AB15 5,132.17,70.94
AB15 6,132.21,68.78
AB15 7,142.2,77.61
AB15 8,135.13,70.05
AB15 9,147.41,78.64
AB16 5,125.69,65.62
AB16 6,127.33,65.52
AB16 7,132.91,69.83
AB16 9,130.72,68.45
AB21 0,151.02,81.45
AB21 1,159.85,87.68
AB21 7,153.5,84.27
AB21 9,143.25,75.55
AB22 8,137.22,74.68
AB22 9,129.87,68.54
AB23 8,145.08,82.72
AB23 9,144.33,83.4
AB24 1,146.45,85.23
AB24 2,142.94,78.15
AB24 3,143.04,81.07
AB24 4,128.99,69.16
AB24 5,137.28,78.09
AB25 1,138.73,77.65
AB25 2,135.51,74.03
AB25 3,134.13,73.24
AB25 9,134.13,73.23
AB30 1,130.43,68.51
AB31 4,153.69,83.05
AB31 5,174.91,94.64
AB31 6,126.18,64.77
AB31 9,184.48,99.74
AB32 6,163.57,88.49
AB32 7,161.26,85.9
AB33 8,138.76,74.68
AB34 4,155.12,84.85
AB34 5,138.48,73.36
AB35 5,91.67,45.11
AB36 8,100.85,50.98
AB37 9,106.14,54.14
AB38 7,125.94,66.74
AB38 9,125.56,66.68
AB39 2,132.07,71.56
AB39 3,136.15,71.48
AB39 8,127.87,68.47
AB39 9,162.48,91.31
AB41 1,196.19,105.27
AB41 6,163.53,92.64
AB41 7,155.51,86.75
AB41 8,150.68,84.01
AB41 9,184.44,99.38
AB42 0,132.34,73.6
AB42 1,113.97,65.33
AB42 2,109.93,62.35
AB42 3,130.51,74.98
AB42 4,151.63,86.27
AB42 5,141.87,78.4
AB42 9,111.02,63.41
AB43 6,139.9,78.75
AB43 7,154.26,88.07
AB43 8,152.73,88.29
AB43 9,153.18,92.23
AB44 1,155.53,90.58
AB45 1,165.86,96.01
AB45 2,153.45,86.62
AB45 3,151.26,86.26
AB51 0,160.93,89.24
AB51 1,189.4,103.95
AB51 3,187.91,103.06
AB51 4,175.56,96.4
AB51 5,162.03,88.15
AB51 6,177.67,97.98
AB51 7,144.77,77.21
AB51 8,146.81,81.27
AB52 6,143.64,77.17
AB53 4,162.03,89.93
AB53 5,147.35,81.95
AB53 6,140.45,77.08
AB53 8,149.45,82.83
AB54 4,120.4,64.47
AB54 6,139.79,76.08
AB54 7,162.08,89.98
AB54 8,174.57,93.99
AB54 9,171.12,92.69
AB55 4,104.85,51.6
AB55 5,128.34,69.27
AB55 6,139.82,77.64
AB56 1,166.92,98.01
AB56 4,144.45,85.27
AB56 5,141.11,79.96
AB56 9,142.33,81.97
AL1 1,321.07,131.61
AL1 2,324.07,132.32
AL1 3,320.49,131.64
AL1 4,316.15,130.79
AL1 5,314.38,130.32
AL1 9,314.38,130.32
AL10 0,346.2,134.75
AL10 1,344.52,134.29
AL10 8,342.16,134.53
AL10 9,338.69,134.41
AL2 1,338.83,134.32
AL2 2,340.66,134.69
AL2 3,327.34,132.87
AL3 4,309.42,130.24
AL3 5,317.4,131.54
AL3 6,304.43,129.37
AL3 7,305.54,128.91
AL3 8,304.24,128.89
AL4 0,330.18,132.97
AL4 8,328.86,133.58
AL4 9,321.44,131.8
AL5 1,306.75,129.5
AL5 2,301.38,127.76
AL5 3,296.8,126.71
AL5 4,304.89,128.59
AL5 5,305.97,129.38
AL6 0,337.47,134.16
AL6 9,321.71,132.62
AL7 1,348.94,135.68
AL7 2,360.37,137.31
AL7 3,349.01,135.35
AL7 4,354.48,136.0
