name,d02_high,d02_low,d03_high,d03_low,d06_high,d06_low,d09_high,d09_low,d12_high,d12_low
AB10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL1,0.026218,0.077377,0.012844,0.046817,0.002834,0.017037,0.001127,0.008187,0.000464,0.005171
AL2,0.018732,0.056734,0.009478,0.032057,0.002257,0.01017,0.000697,0.00494,0.000254,0.002429
AL3,0.012344,0.031908,0.007613,0.022686,0.003127,0.01022,0.001619,0.005206,0.000846,0.003467
AL4,0.023859,0.062303,0.013565,0.04137,0.004428,0.018612,0.002226,0.009014,0.001203,0.005184
AL5,0.01383,0.037735,0.007621,0.026185,0.0026,0.012744,0.001289,0.006738,0.000788,0.003805
AL6,0.009858,0.026985,0.006683,0.016731,0.002862,0.007597,0.001712,0.004364,0.001062,0.002798
AL7,0.019373,0.071003,0.00905,0.039494,0.001425,0.010185,0.000706,0.003515,0.000263,0.00155
AL8,0.014367,0.04339,0.008476,0.024041,0.003913,0.008678,0.000924,0.00566,0.000347,0.004101
AL9,0.032616,0.065361,0.019692,0.041836,0.007246,0.015587,0.003854,0.00725,0.002091,0.004093
