name,sw_high,sw_low
AB10 1,0.081109,0.200858
AB10 6,0.122878,0.248665
AB10 7,0.118462,0.172900
AB11 5,0.122861,0.251929
AB11 6,0.112188,0.169068
AB11 7,0.045757,0.115715
AB11 8,0.027860,0.067230
AB11 9,0.051092,0.137851
AB12 3,0.056721,0.112798
AB12 4,0.060098,0.084053
AB12 5,0.036216,0.071733
AB12 9,0.013327,0.023980
AB13 0,0.012030,0.052453
AB14 0,0.063240,0.084735
AB15 4,0.107293,0.177160
AB15 5,0.066743,0.122671
AB15 6,0.082125,0.147407
AB15 7,0.055612,0.103178
AB15 8,0.056789,0.081529
AB15 9,0.052531,0.107614
AB16 5,0.033698,0.071016
AB16 6,0.059311,0.109262
AB16 7,0.058093,0.116028
AB16 9,0.010688,0.020910
AB21 0,0.068341,0.120253
AB21 1,0.077625,0.134173
AB21 7,0.064704,0.116925
AB21 9,0.093274,0.156686
AB22 8,0.070548,0.107449
AB22 9,0.047275,0.061229
AB23 8,0.041922,0.071853
AB23 9,0.044117,0.075398
AB24 1,0.097375,0.188752
AB24 2,0.096281,0.146371
AB24 3,0.101600,0.188924
AB24 4,0.074215,0.144830
AB24 5,0.150975,0.216106
AB25 1,0.168103,0.352272
AB25 2,0.099619,0.191549
AB25 3,0.154062,0.233600
AB25 9,0.136416,0.250562
AB30 1,0.059830,0.113295
AB31 4,0.086621,0.145109
AB31 5,0.091835,0.138278
AB31 6,0.075459,0.122170
AB31 9,0.086709,0.137994
AB32 6,0.108960,0.156811
AB32 7,0.083092,0.094582
AB33 8,0.066499,0.110832
AB34 4,0.094263,0.126458
AB34 5,0.065242,0.114330
AB35 5,0.099791,0.149856
AB36 8,0.026783,0.031705
AB37 9,0.047273,0.060296
AB38 7,0.158705,0.177549
AB38 9,0.077733,0.107937
AB39 2,0.096261,0.168675
AB39 3,0.070488,0.134918
AB39 8,0.057007,0.092998
AB39 9,0.082421,0.147592
AB41 1,0.057285,0.082652
AB41 6,0.084811,0.094536
AB41 7,0.040113,0.046724
AB41 8,0.045020,0.063880
AB41 9,0.069796,0.132042
AB42 0,0.062583,0.116349
AB42 1,0.104145,0.230818
AB42 2,0.170797,0.241398
AB42 3,0.126596,0.189527
AB42 4,0.070964,0.110272
AB42 5,0.041553,0.080860
AB42 9,0.094476,0.162234
AB43 6,0.045902,0.087495
AB43 7,0.099745,0.145536
AB43 8,0.100799,0.154875
AB43 9,0.110969,0.183316
AB44 1,0.116739,0.205889
AB45 1,0.069040,0.132278
AB45 2,0.139710,0.193409
AB45 3,0.051031,0.076585
AB51 0,0.055468,0.119855
AB51 1,0.090026,0.147279
AB51 3,0.152666,0.206779
AB51 4,0.132964,0.200813
AB51 5,0.059157,0.087837
AB51 6,0.127544,0.202110
AB51 7,0.116180,0.190776
AB51 8,0.067831,0.129962
AB52 6,0.103885,0.147947
AB53 4,0.108687,0.165078
AB53 5,0.038779,0.061380
AB53 6,0.048035,0.063601
AB53 8,0.071318,0.111753
AB54 4,0.058872,0.098620
AB54 6,0.076056,0.106743
AB54 7,0.093764,0.118374
AB54 8,0.113199,0.202284
AB54 9,0.082953,0.127819
AB55 4,0.072906,0.148217
AB55 5,0.083279,0.120579
AB55 6,0.088284,0.123872
AB56 1,0.154536,0.247817
AB56 4,0.143623,0.249258
AB56 5,0.101622,0.171456
AB56 9,0.137574,0.228780
AL1 1,0.058832,0.127772
AL1 2,0.015716,0.047463
AL1 3,0.059531,0.127244
AL1 4,0.072882,0.105528
AL1 5,0.038030,0.099108
AL1 9,0.050089,0.103272
AL10 0,0.068590,0.196089
AL10 1,0.060810,0.160911
AL10 8,0.070132,0.132183
AL10 9,0.046049,0.161039
AL2 1,0.072155,0.149903
AL2 2,0.056667,0.163426
AL2 3,0.021045,0.061354
AL3 4,0.029427,0.110369
AL3 5,0.040589,0.103243
AL3 6,0.022668,0.087900
AL3 7,0.069374,0.130819
AL3 8,0.071163,0.139498
AL4 0,0.045782,0.113115
AL4 8,0.012100,0.048383
AL4 9,0.045479,0.115677
AL5 1,0.067648,0.169532
AL5 2,0.081987,0.148882
AL5 3,0.032298,0.097214
AL5 4,0.054118,0.093318
AL5 5,0.024982,0.058694
AL6 0,0.019295,0.035488
AL6 9,0.021015,0.058031
AL7 1,0.053306,0.169050
AL7 2,0.014742,0.125356
AL7 3,0.038754,0.080442
AL7 4,0.034225,0.075258
AL7 9,0.036364,0.109546
AL8 6,0.035467,0.109800
AL8 7,0.029473,0.060694
AL9 5,0.087417,0.122910
AL9 6,0.059043,0.098630
AL9 7,0.100367,0.183602
B1 1,0.052410,0.113043
B1 2,0.086776,0.156196
B1 3,0.059293,0.148236
B10 0,0.037347,0.069671
B10 9,0.058071,0.138345
B11 1,0.103294,0.196504
B11 2,0.058010,0.116658
B11 3,0.119242,0.208705
B11 4,0.049546,0.163669
B12 0,0.029568,0.082968
B12 8,0.083510,0.278196
B12 9,0.053306,0.142418
B13 0,0.072412,0.147513
B13 3,0.065321,0.112781
B13 8,0.031586,0.072950
B13 9,0.079817,0.107040
B14 4,0.027236,0.074423
B14 5,0.071552,0.082304
B14 6,0.054684,0.067343
B14 7,0.068755,0.111765
B15 1,0.007788,0.054749
B15 2,0.054140,0.105125
B15 3,0.049479,0.123030
B16 0,0.026878,0.090269
B16 6,0.044590,0.121447
B16 8,0.070834,0.189170
B16 9,0.033053,0.077223
B17 0,0.056130,0.099375
B17 8,0.015722,0.064717
B17 9,0.068077,0.156912
B18 4,0.025179,0.047491
B18 5,0.040480,0.115364
B18 6,0.131394,0.211670
B18 7,0.099342,0.125729
B18 9,0.071215,0.122940
B19 1,0.027750,0.068334
B19 2,0.103016,0.206332
B19 3,0.084000,0.162084
B2 4,0.047758,0.156581
B2 5,0.032257,0.097245
B20 1,0.069688,0.141384
B20 2,0.047850,0.106296
B20 3,0.090998,0.210117
B21 0,0.025162,0.093542
B21 8,0.020387,0.094665
B21 9,0.044103,0.139953
B23 3,0.027084,0.077792
B23 5,0.026201,0.066122
B23 6,0.032648,0.097644
B23 7,0.022026,0.072579
B24 0,0.036687,0.072213
B24 8,0.021858,0.109133
B24 9,0.024821,0.106213
B25 8,0.095760,0.179650
B26 1,0.057991,0.120712
B26 2,0.069700,0.106694
B26 3,0.062019,0.127678
B27 6,0.059101,0.135707
B27 7,0.042462,0.121809
B28 0,0.059537,0.118205
B28 1,0.063284,0.113975
B28 8,0.061023,0.085968
B28 9,0.073890,0.140238
B29 4,0.040091,0.093287
B29 5,0.030244,0.079146
