name,sw_high,sw_low
AB10,0.14672,0.22909
AB11,0.02415,0.04012
AB12,0.05666,0.08405
AB13,0.08862,0.12269
AB14,0.05675,0.07981
AB15,0.0841,0.12263
AB16,0.08471,0.14756
AB21,0.06699,0.09578
AB22,0.071,0.1109
AB23,0.05349,0.07458
AB24,0.07267,0.13162
AB25,0.1972,0.31754
AB30,0.08113,0.11206
AB31,0.07933,0.10933
AB32,0.10383,0.13895
AB33,0.04608,0.06276
AB34,0.06559,0.08981
AB35,0.06562,0.09538
AB36,0.05284,0.07624
AB37,0.06286,0.0974
AB38,0.08801,0.1376
AB39,0.06149,0.08486
AB41,0.06265,0.08721
AB42,0.08265,0.11611
AB43,0.07961,0.11221
AB44,0.03526,0.05335
AB45,0.05833,0.08275
AB51,0.07003,0.09492
AB52,0.06523,0.08948
AB53,0.06158,0.08512
AB54,0.06468,0.09144
AB55,0.07305,0.11103
AB56,0.07263,0.10952
AL1,0.07045,0.16043
AL2,0.05171,0.1233
AL3,0.0291,0.06381
AL4,0.0572,0.12197
AL5,0.03111,0.07452
AL6,0.02846,0.06199
AL7,0.06142,0.16464
AL8,0.04125,0.1042
AL9,0.08015,0.15139
AL10,0.1043,0.23242
B1,0.10719,0.2541
B2,0.11914,0.22258
B3,0.1133,0.33339
B4,0.09387,0.24311
B5,0.1033,0.2655
B6,0.12051,0.30792
B7,0.10788,0.26155
B8,0.08924,0.22218
B9,0.09593,0.23194
B10,0.10687,0.25344
B11,0.13327,0.29288
B12,0.09718,0.27509
B13,0.07925,0.18016
B14,0.09643,0.18008
B15,0.0703,0.17652
B16,0.09057,0.25984
B17,0.06715,0.15771
B18,0.12545,0.266
B19,0.0955,0.23264
B20,0.09876,0.23239
B21,0.06972,0.1673
B23,0.04623,0.1396
B24,0.09808,0.25698
B25,0.11358,0.28275
B26,0.09984,0.2208
B27,0.10242,0.23894
B28,0.10268,0.2304
B29,0.06065,0.15308
B30,0.07454,0.16998
B31,0.06918,0.14957
B32,0.05934,0.13412
B33,0.11496,0.24976
B34,0.09065,0.22813
B35,0.12738,0.36935
B36,0.09563,0.22182
B37,0.07665,0.19406
B38,0.07399,0.14167
B40,0.11235,0.21407
B42,0.11367,0.2513
B43,0.08071,0.16841
B44,0.06651,0.16929
B45,0.05558,0.11014
B46,0.05853,0.12628
B47,0.08978,0.16878
B48,0.06884,0.1245
B49,0.07871,0.1526
B50,0.10386,0.189
B60,0.05853,0.12154
B61,0.0556,0.11574
B62,0.05307,0.1008
B63,0.06582,0.14679
B64,0.11847,0.2548
B65,0.09532,0.21592
B66,0.14228,0.30315
B67,0.04609,0.12492
B68,0.0361,0.1069
B69,0.12095,0.29461
B70,0.12634,0.27355
B71,0.11434,0.22712
B72,0.05616,0.15317
B73,0.02903,0.11007
B74,0.02019,0.07544
B75,0.03972,0.09183
B76,0.06015,0.15103
B77,0.07156,0.17726
B78,0.07327,0.1503
B79,0.0802,0.15764
B80,0.08559,0.16392
B90,0.10931,0.21853
B91,0.08459,0.16913
B92,0.08153,0.16347
B93,0.06213,0.12277
B94,0.07951,0.14594
B95,0.08428,0.14919
B96,0.08391,0.15763
B97,0.06785,0.13466
B98,0.1098,0.22171
BA1,0.02485,0.05229
BA2,0.02749,0.05497
BA3,0.0298,0.0573
BA4,0.05484,0.1105
BA5,0.08165,0.14167
BA6,0.19804,0.32634
BA7,0.07385,0.14264
BA8,0.065,0.13473
BA9,0.05178,0.11044
BA10,0.04258,0.08393
BA11,0.05963,0.10462
BA12,0.02019,0.04304
BA13,0.05573,0.09853
BA14,0.08586,0.14661
BA15,0.02976,0.05539
BA16,0.18275,0.31298
BA20,0.0604,0.1192
BA21,0.0563,0.1183
BA22,0.0788,0.151
BB1,0.09439,0.14869
BB2,0.09609,0.14878
BB3,0.0766,0.14279
BB4,0.05988,0.10259
BB5,0.08384,0.13826
BB6,0.06836,0.10212
BB7,0.07653,0.12645
BB8,0.07427,0.14476
BB9,0.06624,0.1209
BB10,0.06951,0.13433
BB11,0.08024,0.1344
BB12,0.07112,0.12089
BB18,0.07227,0.13148
BD1,0.23327,0.43843
BD2,0.04546,0.13335
BD3,0.0866,0.22517
BD4,0.05777,0.13504
BD5,0.10266,0.25151
BD6,0.03592,0.12142
BD7,0.06095,0.1704
BD8,0.07649,0.23941
BD9,0.04352,0.1235
BD10,0.0353,0.11146
BD11,0.02489,0.06193
BD12,0.06887,0.16451
BD13,0.03887,0.08419
BD14,0.01909,0.06344
BD15,0.04603,0.11377
BD16,0.05792,0.14525
BD17,0.0769,0.17797
BD18,0.03819,0.10198
BD19,0.05914,0.12202
BD20,0.07205,0.15279
BD21,0.06523,0.15291
BD22,0.07458,0.16406
BD23,0.0749,0.14287
BD24,0.08288,0.14304
BH1,0.01337,0.04744
BH2,0.02897,0.06111
BH3,0.0299,0.0839
BH4,0.02053,0.04773
BH5,0.0157,0.04326
BH6,0.02164,0.07182
BH7,0.07591,0.20074
BH8,0.07247,0.24138
BH9,0.04529,0.18124
BH10,0.08326,0.20183
BH11,0.03724,0.0954
BH12,0.05894,0.13941
BH13,0.01928,0.03308
BH14,0.06537,0.10792
BH15,0.06253,0.119
BH16,0.04225,0.10248
BH17,0.13815,0.2209
BH18,0.05239,0.10504
BH19,0.01381,0.03274
BH20,0.03653,0.07946
BH21,0.03419,0.07557
BH22,0.05956,0.1756
BH23,0.09311,0.23166
BH24,0.05624,0.11602
BH25,0.03358,0.06926
BH31,0.04608,0.09981
BL0,0.08728,0.14392
BL1,0.10117,0.19019
BL2,0.08301,0.15113
BL3,0.11281,0.2132
BL4,0.11865,0.22829
BL5,0.12039,0.19633
BL6,0.10045,0.17646
BL7,0.0836,0.14107
BL8,0.0889,0.14906
BL9,0.07755,0.14629
BN1,0.02689,0.05645
BN2,0.01641,0.0397
BN3,0.04446,0.09876
BN5,0.08719,0.12681
BN6,0.07947,0.11856
BN7,0.03989,0.07618
BN8,0.08669,0.12716
BN9,0.02843,0.07032
BN10,0.01732,0.03709
BN11,0.05067,0.10627
BN12,0.05779,0.11391
BN13,0.03495,0.06788
BN14,0.03289,0.0724
BN15,0.03649,0.07765
BN16,0.04549,0.08638
BN17,0.04632,0.09806
BN18,0.03236,0.06651
BN20,0.00575,0.01643
BN21,0.03674,0.09815
BN22,0.06319,0.14369
BN23,0.05972,0.1334
BN24,0.04427,0.10508
BN25,0.01327,0.04113
BN26,0.05542,0.08657
BN27,0.10413,0.16057
BN41,0.03091,0.05896
BN42,0.05962,0.14162
BN43,0.02771,0.06262
BN44,0.06751,0.10547
BN45,0.01841,0.03084
BR1,0.09895,0.19165
BR2,0.07631,0.15503
BR3,0.13113,0.24591
BR4,0.07077,0.15854
BR5,0.06055,0.12596
BR6,0.03351,0.07504
BR7,0.04022,0.08697
BR8,0.04637,0.09081
BS1,0.2162,0.36396
BS2,0.20825,0.36507
BS3,0.20784,0.359
BS4,0.12322,0.25332
BS5,0.13221,0.24152
BS6,0.11502,0.24004
BS7,0.08786,0.19278
BS8,0.03908,0.06624
BS9,0.11728,0.20839
BS10,0.1173,0.22338
BS11,0.15741,0.18678
BS13,0.08102,0.17548
BS14,0.07991,0.16298
BS15,0.10143,0.19952
BS16,0.08765,0.16772
BS20,0.0284,0.07047
BS21,0.02464,0.07147
BS22,0.01896,0.06855
BS23,0.01677,0.06142
BS24,0.0689,0.19532
BS25,0.03836,0.07757
BS26,0.09511,0.2141
BS27,0.06037,0.14461
BS28,0.18369,0.31798
BS29,0.09767,0.22951
BS30,0.04612,0.09279
BS31,0.04404,0.09301
BS32,0.13255,0.23873
BS34,0.15446,0.31092
BS35,0.06193,0.15751
BS36,0.09114,0.16473
BS37,0.07947,0.15748
BS39,0.0418,0.07374
BS40,0.03165,0.0616
BS41,0.02325,0.04548
BS48,0.0605,0.12546
BS49,0.10974,0.22672
CA1,0.16068,0.24164
CA2,0.10427,0.16516
CA3,0.14037,0.21024
CA4,0.03011,0.05506
CA5,0.03933,0.07163
CA6,0.06431,0.12684
CA7,0.04568,0.08748
CA8,0.06335,0.11843
CA9,0.08445,0.14375
CA10,0.04824,0.08529
CA11,0.0509,0.0852
CA12,0.0773,0.12619
CA13,0.04987,0.08626
CA14,0.05084,0.09166
CA15,0.03951,0.07298
CA16,0.05134,0.09067
CA17,0.06717,0.12008
CA18,0.03118,0.05767
CA19,0.05627,0.09779
CA20,0.06254,0.11898
CA21,0.01666,0.03373
CA22,0.02568,0.05101
CA23,0.06394,0.11456
CA24,0.06191,0.10329
CA25,0.06088,0.10371
CA26,0.04166,0.07174
CA27,0.00696,0.01378
CA28,0.03835,0.06553
CB1,0.14082,0.35263
CB2,0.07671,0.23551
CB3,0.1488,0.28182
CB4,0.1458,0.37706
CB5,0.06558,0.17385
CB6,0.21585,0.37079
CB7,0.15806,0.29649
CB8,0.05326,0.09786
CB9,0.10273,0.1667
CB10,0.0467,0.09319
CB11,0.03801,0.08216
CB21,0.03531,0.07779
CB22,0.02737,0.09635
CB23,0.09173,0.17337
CB24,0.19884,0.34484
CB25,0.11381,0.22433
CF3,0.01367,0.04468
CF5,0.02075,0.04486
CF10,0.00267,0.02154
CF11,0.01373,0.06707
CF14,0.02245,0.06309
CF15,0.03372,0.0559
CF23,0.01257,0.05307
CF24,0.00393,0.05079
CF31,0.03404,0.07241
CF32,0.02845,0.03812
CF33,0.04695,0.06565
CF34,0.04987,0.06194
CF35,0.02826,0.04149
CF36,0.00249,0.01125
CF37,0.04432,0.06455
CF38,0.04627,0.08676
CF39,0.06037,0.07652
CF40,0.09406,0.12333
CF41,0.12227,0.14167
CF42,0.0958,0.12509
CF43,0.04163,0.05444
CF44,0.0821,0.10859
CF45,0.02269,0.0387
CF46,0.04314,0.06017
CF47,0.06352,0.10839
CF48,0.09082,0.11517
CF61,0.00182,0.00554
CF62,0.013,0.02429
CF63,0.0655,0.15356
CF64,0.01979,0.03739
CF71,0.01163,0.02512
CF72,0.04274,0.06387
CF81,0.03298,0.04472
CF82,0.05419,0.07181
CF83,0.02171,0.04461
CH1,0.07644,0.1578
CH2,0.09364,0.19734
CH3,0.09701,0.16045
CH4,0.07836,0.14119
CH5,0.03209,0.06502
CH6,0.03434,0.0554
CH7,0.03065,0.05101
CH8,0.0225,0.03555
CH41,0.10987,0.25967
CH42,0.06958,0.17023
CH43,0.07079,0.1774
CH44,0.07497,0.19161
CH45,0.02256,0.06784
CH46,0.05129,0.13859
CH47,0.01426,0.03888
CH48,0.01293,0.0313
CH49,0.08184,0.18827
CH60,0.04871,0.12963
CH61,0.05143,0.11467
CH62,0.0605,0.14141
CH63,0.06727,0.13659
CH64,0.0587,0.14633
CH65,0.06637,0.17316
CH66,0.11263,0.23067
CM0,0.0422,0.10537
CM1,0.07309,0.13476
CM2,0.08881,0.18201
CM3,0.08908,0.1607
CM4,0.10708,0.17579
CM5,0.07898,0.13506
CM6,0.06761,0.12043
CM7,0.05246,0.10226
CM8,0.07341,0.14116
CM9,0.08861,0.17466
CM11,0.17392,0.31878
CM12,0.1479,0.32948
CM13,0.15346,0.26298
CM14,0.08699,0.14521
CM15,0.10359,0.17053
CM16,0.09542,0.17266
CM17,0.10628,0.19178
CM18,0.1336,0.30597
CM19,0.14639,0.27864
CM20,0.20151,0.32425
CM21,0.05373,0.10638
CM22,0.06337,0.11633
CM23,0.06855,0.12868
CM24,0.07425,0.14959
CM77,0.069,0.12318
CO1,0.06197,0.21955
CO2,0.04762,0.11773
CO3,0.03709,0.12279
CO4,0.02411,0.08738
CO5,0.06992,0.13816
CO6,0.03986,0.08438
CO7,0.02525,0.07889
CO8,0.02673,0.06159
CO9,0.04422,0.08447
CO10,0.05009,0.09448
CO11,0.02511,0.06996
CO12,0.05212,0.11843
CO13,0.05643,0.11584
CO14,0.01721,0.05074
CO15,0.02603,0.0768
CO16,0.04392,0.09977
CR0,0.09215,0.20912
CR2,0.04903,0.10433
CR3,0.02349,0.05761
CR4,0.19779,0.40022
CR5,0.03793,0.08229
CR6,0.01669,0.04153
CR7,0.16037,0.35137
CR8,0.0639,0.11685
CT1,0.07565,0.17448
CT2,0.09105,0.16331
CT3,0.05385,0.11567
CT4,0.03218,0.05786
CT5,0.07607,0.14152
CT6,0.05662,0.10465
CT7,0.03291,0.09856
CT8,0.02362,0.04996
CT9,0.0236,0.05828
CT10,0.02007,0.04908
CT11,0.01664,0.0399
CT12,0.0551,0.13644
CT13,0.04349,0.12036
CT14,0.03626,0.07967
CT15,0.01857,0.0377
CT16,0.02625,0.06593
CT17,0.01801,0.03833
