name,sw_high,sw_low
AB10,0.0,0.0
AB11,0.0,0.0
AB12,0.0,0.0
AB13,0.0,0.0
AB14,0.0,0.0
AB15,0.0,0.0
AB16,0.0,0.0
AB21,0.0,0.0
AB22,0.0,0.0
AB23,0.0,0.0
AB24,0.0,0.0
AB25,0.0,0.0
AB30,0.0,0.0
AB31,0.0,0.0
AB32,0.0,0.0
AB33,0.0,0.0
AB34,0.0,0.0
AB35,0.0,0.0
AB36,0.0,0.0
AB37,0.0,0.0
AB38,0.0,0.0
AB39,0.0,0.0
AB41,0.0,0.0
AB42,0.0,0.0
AB43,0.0,0.0
AB44,0.0,0.0
AB45,0.0,0.0
AB51,0.0,0.0
AB52,0.0,0.0
AB53,0.0,0.0
AB54,0.0,0.0
AB55,0.0,0.0
AB56,0.0,0.0
AL1,0.08931,0.19354
AL2,0.06602,0.15058
AL3,0.03518,0.07758
AL4,0.06992,0.14584
AL5,0.04056,0.09202
AL6,0.03499,0.07711
AL7,0.08166,0.20152
AL8,0.05496,0.12671
AL9,0.09486,0.18468
AL10,0.128,0.28159
B1,0.14329,0.29645
B2,0.145,0.36296
B3,0.15241,0.40106
B4,0.13272,0.29391
B5,0.14441,0.31991
B6,0.16429,0.36975
B7,0.14351,0.30835
B8,0.11814,0.26949
B9,0.12992,0.27496
B10,0.14182,0.29904
B11,0.17207,0.348
B12,0.1361,0.33642
B13,0.10044,0.22167
B14,0.11514,0.23398
B15,0.09293,0.21409
B16,0.13307,0.30655
B17,0.08178,0.19686
B18,0.15772,0.31724
B19,0.12646,0.27632
B20,0.13208,0.27719
B21,0.09078,0.20553
B23,0.06744,0.1711
B24,0.12984,0.30676
B25,0.15313,0.33052
B26,0.12594,0.26749
B27,0.13178,0.29013
B28,0.13107,0.2824
B29,0.08119,0.18834
B30,0.09663,0.21003
B31,0.08733,0.18359
B32,0.0822,0.16438
B33,0.14475,0.30081
B34,0.11606,0.27576
B35,0.17836,0.4406
B36,0.11918,0.26666
B37,0.10306,0.23851
B38,0.08773,0.17303
B40,0.12336,0.37158
B42,0.14237,0.29879
B43,0.09971,0.20606
B44,0.08773,0.21025
B45,0.07057,0.13336
B46,0.07116,0.1563
B47,0.10754,0.19874
B48,0.08027,0.14961
B49,0.09369,0.18549
B50,0.12285,0.22584
B60,0.06977,0.14843
B61,0.06799,0.14153
B62,0.06656,0.12351
B63,0.08496,0.18465
B64,0.15089,0.30233
B65,0.12328,0.26552
B66,0.18626,0.35411
B67,0.06315,0.15096
B68,0.05122,0.13875
B69,0.16216,0.3503
B70,0.16519,0.32694
B71,0.13724,0.27204
B72,0.07764,0.19145
B73,0.04288,0.13959
B74,0.03031,0.09748
B75,0.04986,0.11738
B76,0.07887,0.18621
B77,0.09643,0.22185
B78,0.08813,0.18442
B79,0.09318,0.1903
B80,0.10043,0.19778
B90,0.13462,0.26208
B91,0.10513,0.21302
B92,0.09906,0.19524
B93,0.07233,0.15076
B94,0.09183,0.18128
B95,0.09754,0.17937
B96,0.09839,0.18741
B97,0.08366,0.16332
B98,0.13456,0.26421
BA1,0.03389,0.07489
BA2,0.03561,0.07227
BA3,0.03692,0.07442
BA4,0.06627,0.13915
BA5,0.10002,0.17083
BA6,0.23543,0.38704
BA7,0.08924,0.17652
BA8,0.07773,0.16779
BA9,0.06412,0.14245
BA10,0.05152,0.10939
BA11,0.0717,0.13138
BA12,0.02651,0.05694
BA13,0.06863,0.12314
BA14,0.10325,0.18166
BA15,0.03823,0.07092
BA16,0.21982,0.36674
BA20,0.0782,0.15399
BA21,0.07559,0.15071
BA22,0.09584,0.18611
BB1,0.12629,0.19744
BB2,0.12478,0.19577
BB3,0.1139,0.21376
BB4,0.07826,0.1368
BB5,0.10819,0.17649
BB6,0.08487,0.13219
BB7,0.09629,0.16826
BB8,0.09343,0.19476
BB9,0.08586,0.15832
BB10,0.0923,0.17973
BB11,0.10297,0.17676
BB12,0.09187,0.15564
BB18,0.08802,0.17185
BD1,0.31656,0.50069
BD2,0.06487,0.17919
BD3,0.1215,0.2918
BD4,0.07701,0.17835
BD5,0.14203,0.32743
BD6,0.05156,0.17087
BD7,0.09315,0.22555
BD8,0.11662,0.30952
BD9,0.06193,0.16946
BD10,0.05556,0.15362
BD11,0.03262,0.0846
BD12,0.09288,0.21695
BD13,0.05048,0.11657
BD14,0.02924,0.09212
BD15,0.06193,0.1543
BD16,0.0743,0.19945
BD17,0.10025,0.24044
BD18,0.0582,0.13845
BD19,0.07427,0.16483
BD20,0.09168,0.20653
BD21,0.09276,0.20029
BD22,0.09428,0.22906
BD23,0.09168,0.19458
BD24,0.10065,0.18337
BH1,0.02219,0.16812
BH2,0.04222,0.11188
BH3,0.0472,0.18002
BH4,0.03063,0.10861
BH5,0.02473,0.09235
BH6,0.04056,0.10342
BH7,0.13196,0.31509
BH8,0.1505,0.34307
BH9,0.0891,0.28654
BH10,0.1287,0.27371
BH11,0.05605,0.15389
BH12,0.09891,0.23614
BH13,0.02534,0.05537
BH14,0.08179,0.16693
BH15,0.08114,0.17832
BH16,0.05747,0.13274
BH17,0.17512,0.28909
BH18,0.07012,0.13539
