name,sw_high,sw_low
AL1 1,0.101577,0.246183
AL1 2,0.040428,0.132049
AL1 3,0.106038,0.238974
AL1 4,0.096039,0.207374
AL1 5,0.078790,0.217572
AL1 9,0.086084,0.211070
AL10 0,0.121123,0.343839
AL10 1,0.120094,0.315185
AL10 8,0.143803,0.285780
AL10 9,0.098961,0.325100
AL2 1,0.128773,0.291776
AL2 2,0.108590,0.304528
AL2 3,0.048828,0.132877
AL3 4,0.068112,0.211823
AL3 5,0.101056,0.186891
AL3 6,0.050337,0.148209
AL3 7,0.098302,0.188001
AL3 8,0.113137,0.203754
AL4 0,0.088470,0.230400
AL4 8,0.028942,0.146548
AL4 9,0.101129,0.225562
AL5 1,0.109584,0.298843
AL5 2,0.123710,0.202954
AL5 3,0.062379,0.217575
AL5 4,0.068437,0.181382
AL5 5,0.077340,0.157034
AL6 0,0.027889,0.086290
AL6 9,0.053631,0.132742
AL7 1,0.087877,0.268515
AL7 2,0.050448,0.254451
AL7 3,0.057103,0.151687
AL7 4,0.067972,0.161072
AL7 9,0.066643,0.203669
AL8 6,0.095360,0.240724
AL8 7,0.064592,0.159276
AL9 5,0.104265,0.272741
AL9 6,0.062450,0.173442
AL9 7,0.136498,0.352172
B1 1,0.102040,0.214862
B1 2,0.123211,0.260428
B1 3,0.105505,0.262885
B10 0,0.087562,0.198730
B10 9,0.111164,0.274057
B11 1,0.162958,0.316625
B11 2,0.130388,0.297201
B11 3,0.176508,0.344097
B11 4,0.148237,0.336380
B12 0,0.077901,0.246447
B12 8,0.184955,0.445499
B12 9,0.108052,0.307809
B13 0,0.096890,0.294050
B13 3,0.107835,0.263895
B13 8,0.090219,0.215940
B13 9,0.127249,0.268075
B14 4,0.081598,0.224174
B14 5,0.126686,0.293787
B14 6,0.099891,0.227660
B14 7,0.154988,0.302358
B15 1,0.056590,0.148682
B15 2,0.124315,0.239064
B15 3,0.129748,0.231034
B16 0,0.078055,0.237406
B16 6,0.110304,0.260396
B16 8,0.149484,0.308835
B16 9,0.102744,0.231135
B17 0,0.112255,0.192937
B17 8,0.052715,0.138807
B17 9,0.116636,0.273637
B18 4,0.070446,0.188858
B18 5,0.123736,0.296155
B18 6,0.188645,0.389478
B18 7,0.144179,0.275520
B18 9,0.129030,0.284238
B19 1,0.086469,0.237012
B19 2,0.194609,0.379452
B19 3,0.142719,0.268262
B2 4,0.095465,0.339592
B2 5,0.064439,0.156704
B20 1,0.096904,0.238415
B20 2,0.117229,0.232829
B20 3,0.144816,0.346089
B21 0,0.103618,0.252780
B21 8,0.093532,0.259779
B21 9,0.110206,0.315096
B23 3,0.063960,0.186618
B23 5,0.056071,0.177093
B23 6,0.096447,0.197976
B23 7,0.044711,0.184284
B24 0,0.105484,0.250547
B24 8,0.089531,0.217244
B24 9,0.056370,0.220569
B25 8,0.159688,0.331525
B26 1,0.115012,0.272807
B26 2,0.134051,0.275283
B26 3,0.105901,0.249074
B27 6,0.118865,0.249762
B27 7,0.097025,0.222786
B28 0,0.125520,0.287286
B28 1,0.120038,0.265651
B28 8,0.096521,0.200562
B28 9,0.140968,0.309115
B29 4,0.079743,0.207808
B29 5,0.077701,0.205013
B29 6,0.096314,0.257465
B29 7,0.084424,0.271429
B29 9,0.085793,0.237152
B3 1,0.160936,0.519297
B3 2,0.150763,0.344849
B3 3,0.139809,0.305540
B30 1,0.068284,0.169577
B30 2,0.060306,0.189616
B30 3,0.109994,0.185367
B30 9,0.078439,0.183178
B31 1,0.069437,0.178019
B31 2,0.094098,0.209947
B31 3,0.102770,0.165519
B31 4,0.094045,0.214625
B31 5,0.048698,0.149427
B31 9,0.083244,0.186228
B32 1,0.100073,0.224754
B32 2,0.120145,0.179179
B32 3,0.123418,0.245607
B32 4,0.058374,0.093007
B32 9,0.105700,0.196400
B33 0,0.116413,0.295139
B33 3,0.093523,0.259718
B33 8,0.081338,0.199114
B33 9,0.081104,0.282426
B34 6,0.121643,0.319463
B34 7,0.156260,0.317516
B35 6,0.136966,0.314823
B35 7,0.094598,0.549964
B35 9,0.113545,0.429690
B36 0,0.181906,0.379222
B36 8,0.085902,0.309287
B36 9,0.085329,0.235351
B37 5,0.159390,0.355353
