name,area,households,group,premium,capital,el_total,el_sub,el_wx,el_fl,el_gw,el_th,el_eow,el_fire,el_ad,sub_score,wx_score,fl_score,gw_score,f_high,f_low,sw_high,sw_low,gw_frac,sw_depth_m,sw_sev,rs_depth_m,rs_sev,th_rate,eow_rate,frost_days,fire_rate,ad_rate,wind_ms,gust_rp50,rain10_days,precip_mm,tvar99_vine,tvar99_euler,uplift_pct,el_er,er_score,er_head,er_basis,er_smp55,er_smp105,er_nfi55,er_nfi105,er_smp105_lo,er_smp105_hi,er_nfi105_lo,er_nfi105_hi,er_gi,er_dc50_hi,er_dc100_hi,er_dc50_lo,er_dc100_lo,cc_covered,premium_cc,el_total_cc,cc_uplift_pct,country,geol,sup_geol,sup_frac
AB10,AB,10509.0,8,186.6,5.3614,181.23,4.82,13.88,36.17,1.75,8.27,42.02,60.26,14.05,0.1318,0.2697,0.9318,0.8802,0.0686,0.1319,0.1097,0.2075,0.02,0.0,1.0,0.0,1.0,0.0029,0.0106,38.7,0.0042,0.0086,4.6,139.0,19.4,865.0,13698.3,270.6,1.737,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,186.5972,181.23,0.0,Scotland,none (low-plasticity bedrock),Glacial Sand And Gravel,0.9968
AB11,AB,9946.0,5,164.4,4.7405,159.62,3.78,15.38,33.4,1.75,7.23,33.08,52.7,12.31,0.086,0.3064,0.8607,0.8802,0.0767,0.1007,0.0785,0.1513,0.02,0.0,1.0,0.0,1.0,0.0029,0.0095,26.2,0.0042,0.0086,4.9,140.0,17.8,859.0,12099.1,238.6,0.1651,0.28,0.048669,8.86e-05,dynamiccoast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21e-05,8.86e-05,8.7e-06,2.16e-05,0,164.405,159.62,0.0,Scotland,none (low-plasticity bedrock),Glacial Sand And Gravel,0.6856
AB12,AB,12620.0,5,165.8,4.8587,160.95,6.76,14.51,12.97,1.75,7.15,48.9,53.22,15.69,0.2176,0.2851,0.4539,0.8802,0.0045,0.0048,0.048,0.0863,0.02,0.0,1.0,0.0,1.0,0.0023,0.0115,49.0,0.0035,0.0089,4.6,141.0,23.0,871.0,11528.7,241.9,2.141,0.02,0.0128114,6.1e-06,dynamiccoast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-07,6.1e-06,0.0,0.0,0,165.718,160.95,0.0,Scotland,none (low-plasticity bedrock),Till,0.9898
AB13,AB,1454.0,10,266.9,6.6927,260.17,5.42,10.4,11.11,1.75,14.27,87.2,104.13,25.89,0.1456,0.1798,0.3607,0.8802,0.0046,0.0064,0.0222,0.0647,0.02,0.0,1.0,0.0,1.0,0.0029,0.0126,62.8,0.0042,0.0091,4.0,140.0,21.5,874.0,18485.8,371.7,0.317,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,266.5714,260.17,0.0,Scotland,none (low-plasticity bedrock),Glacial Sand And Gravel,0.9832
AB14,AB,2236.0,8,197.3,5.4578,191.81,6.81,9.29,21.46,1.75,9.49,57.22,69.24,16.55,0.1904,0.1494,0.6509,0.8802,0.034,0.0476,0.0654,0.0906,0.02,0.0,1.0,0.0,1.0,0.0029,0.0125,61.2,0.0042,0.0087,3.8,140.0,19.6,883.0,14106.6,282.8,2.2637,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,197.1495,191.81,0.0,Scotland,none (low-plasticity bedrock),Till,0.9876
AB15,AB,17264.0,10,244.4,6.6139,237.77,7.35,13.71,23.18,1.75,11.98,71.26,87.4,21.15,0.2353,0.2653,0.6913,0.8802,0.0383,0.0573,0.0671,0.1167,0.02,0.0,1.0,0.0,1.0,0.0029,0.0123,59.3,0.0042,0.0089,4.6,138.0,24.5,864.0,17177.0,348.0,2.2654,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,244.2342,237.77,0.0,Scotland,none (low-plasticity bedrock),Till,0.9586
AB16,AB,12104.0,3,143.0,4.079,138.94,7.26,14.15,12.09,1.75,6.73,36.12,49.05,11.81,0.2377,0.2763,0.4314,0.8802,0.0007,0.001,0.0465,0.091,0.02,0.0,1.0,0.0,1.0,0.0029,0.0112,45.7,0.0042,0.0089,4.7,138.0,23.1,857.0,10075.8,206.9,2.3761,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,142.9811,138.94,0.0,Scotland,none (low-plasticity bedrock),Till,0.8592
AB21,AB,12557.0,6,172.6,5.1786,167.38,7.2,11.18,19.17,1.75,7.13,51.92,53.14,15.9,0.2202,0.2005,0.6321,0.8802,0.0187,0.0273,0.0776,0.1342,0.02,0.0,1.0,0.0,1.0,0.0023,0.012,55.0,0.0034,0.0089,4.2,138.0,20.1,849.0,12256.2,253.7,2.8687,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,172.4617,167.38,0.0,Scotland,none (low-plasticity bedrock),Till,0.994
AB22,AB,5020.0,7,183.7,4.8209,178.87,5.73,13.07,15.81,1.75,9.5,47.31,69.26,16.44,0.1753,0.2493,0.5456,0.8802,0.0102,0.0108,0.0682,0.1031,0.02,0.0,1.0,0.0,1.0,0.0029,0.0104,36.1,0.0042,0.0087,4.6,138.0,20.4,856.0,13161.9,259.2,1.8518,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183.5988,178.87,0.0,Scotland,none (low-plasticity bedrock),Till,0.9942
AB23,AB,5035.0,6,168.9,4.7684,164.1,3.95,14.57,13.18,1.75,7.48,49.21,56.16,17.8,0.0881,0.2867,0.4502,0.8802,0.0072,0.0078,0.0441,0.0754,0.02,0.0,1.0,0.0,1.0,0.0022,0.0102,33.8,0.0033,0.0089,4.9,138.0,16.1,851.0,11818.8,243.6,0.2598,59.09,0.7109516,0.0189085,dynamiccoast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005424,0.0189085,0.0049648,0.0137428,0,168.7574,164.1,0.0,Scotland,none (low-plasticity bedrock),Glacial Sand And Gravel,0.9746
