name,area,households,group,premium,capital,el_total,el_sub,el_wx,el_fl,el_gw,el_th,el_eow,el_fire,el_ad,sub_score,wx_score,fl_score,gw_score,f_high,f_low,sw_high,sw_low,gw_frac,sw_depth_m,sw_sev,rs_depth_m,rs_sev,th_rate,eow_rate,frost_days,fire_rate,ad_rate,wind_ms,gust_rp50,rain10_days,precip_mm,tvar99_vine,tvar99_euler,uplift_pct,el_er,er_score,er_head,er_basis,er_smp55,er_smp105,er_nfi55,er_nfi105,er_smp105_lo,er_smp105_hi,er_nfi105_lo,er_nfi105_hi,er_gi,er_dc50_hi,er_dc100_hi,er_dc50_lo,er_dc100_lo,cc_covered,premium_cc,el_total_cc,cc_uplift_pct,country,geol,sup_geol,sup_frac
AB10 1,AB,3206.0,7,174.6,5.1406,169.48,4.02,14.2,38.84,1.75,7.44,36.73,54.19,12.3,0.0978,0.3225,0.883,1.0,0.0878,0.1522,0.0811,0.2009,0.02,0.0,1.0,0.0,1.0,0.0029,0.0104,35.7,0.0043,0.0084,4.7,139.0,19.2,858.0,12969.4,255.2,1.4688,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,174.6578,169.48,0.0,Scotland,none (low-plasticity bedrock),Glacial Sand And Gravel,0.9996
AB10 6,AB,3816.0,9,205.1,5.8971,199.16,4.96,14.07,43.29,1.75,8.99,45.56,65.47,15.07,0.1419,0.319,0.9635,1.0,0.0854,0.1856,0.1229,0.2487,0.02,0.0,1.0,0.0,1.0,0.0029,0.0107,39.0,0.0043,0.0085,4.6,139.0,19.6,864.0,15214.7,297.4,3.1102,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,205.0747,199.16,0.0,Scotland,none (low-plasticity bedrock),Glacial Sand And Gravel,0.9998
AB10 7,AB,3487.0,7,173.7,4.924,168.78,4.97,14.11,27.94,1.75,7.98,40.26,58.15,13.62,0.1392,0.32,0.7566,1.0,0.0394,0.0657,0.1185,0.1729,0.02,0.0,1.0,0.0,1.0,0.0029,0.0106,38.4,0.0043,0.0087,4.6,139.0,19.3,866.0,12559.8,250.8,1.1777,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,173.6992,168.78,0.0,Scotland,none (low-plasticity bedrock),Glacial Sand And Gravel,0.9997
AB11 5,AB,2064.0,6,169.3,5.1071,164.15,3.97,14.82,44.86,1.75,6.76,31.53,49.25,11.2,0.0943,0.3392,0.9705,1.0,0.1086,0.126,0.1229,0.2519,0.02,0.0,1.0,0.0,1.0,0.0029,0.0098,29.1,0.0043,0.0084,4.8,139.0,17.8,859.0,12884.8,249.3,3.1936,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,169.3394,164.15,0.0,Scotland,none (low-plasticity bedrock),Blown Sand,0.6693
AB11 6,AB,3268.0,8,192.1,5.7412,186.37,3.6,14.34,52.57,1.75,7.69,37.6,56.04,12.78,0.0722,0.3264,1.0,1.0,0.144,0.1964,0.1122,0.1691,0.02,0.0,1.0,0.0,1.0,0.0029,0.0103,34.5,0.0043,0.0085,4.7,139.0,18.9,859.0,14595.9,282.1,3.369,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,192.1946,186.37,0.0,Scotland,none (low-plasticity bedrock),Glacial Sand And Gravel,0.953
AB11 7,AB,907.0,9,206.8,5.5617,201.21,4.12,14.27,29.95,1.75,10.18,49.47,74.17,17.31,0.1077,0.3243,0.7309,1.0,0.0709,0.1028,0.0458,0.1157,0.02,0.0,1.0,0.0,1.0,0.0029,0.0102,33.8,0.0043,0.0087,4.7,139.0,18.7,865.0,14970.3,293.9,0.4895,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,206.7287,201.21,0.0,Scotland,none (low-plasticity bedrock),Glacial Sand And Gravel,0.7655
AB11 8,AB,2252.0,2,131.3,3.5894,127.7,3.52,15.81,12.68,1.75,6.44,29.46,46.92,11.11,0.0742,0.3657,0.3867,1.0,0.0094,0.0123,0.0279,0.0672,0.02,0.0,1.0,0.0,1.0,0.0029,0.0096,26.8,0.0043,0.0088,4.9,140.0,17.8,858.0,9298.0,187.5,-0.7654,0.35,0.0569308,0.0001119,dynamiccoast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53e-05,0.0001119,1.1e-05,2.73e-05,0,131.2736,127.7,0.0,Scotland,none (low-plasticity bedrock),Glacial Sand And Gravel,0.5531
AB11 9,AB,1454.0,2,130.4,3.6843,126.68,3.69,15.09,16.39,1.75,6.14,28.62,44.7,10.29,0.0797,0.3465,0.5187,1.0,0.0141,0.0185,0.0511,0.1379,0.02,0.0,1.0,0.0,1.0,0.0029,0.0098,29.1,0.0043,0.0085,4.8,139.0,18.1,860.0,9393.4,188.1,0.3444,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,130.36,126.68,0.0,Scotland,none (low-plasticity bedrock),Blown Sand,0.2726
AB12 3,AB,4613.0,7,174.3,4.6417,169.61,6.4,17.31,13.0,1.75,8.81,42.45,64.25,15.64,0.2205,0.4048,0.4421,1.0,0.0003,0.0003,0.0567,0.1128,0.02,0.0,1.0,0.0,1.0,0.0028,0.0099,30.6,0.0042,0.0089,4.9,141.0,19.5,869.0,12295.8,247.0,2.0111,0.06,0.0235637,1.92e-05,dynamiccoast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9e-07,1.92e-05,0.0,0.0,0,174.1967,169.61,0.0,Scotland,none (low-plasticity bedrock),Till,0.9893
AB12 4,AB,2862.0,3,145.4,5.132,140.3,7.41,16.85,15.1,1.75,3.55,48.32,29.72,17.6,0.2514,0.393,0.4789,1.0,0.0105,0.0105,0.0601,0.0841,0.02,0.0,1.0,0.0,1.0,0.001,0.0103,34.3,0.0018,0.009,4.9,143.0,19.7,874.0,10005.0,225.8,2.9906,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,145.3565,140.3,0.0,Scotland,none (low-plasticity bedrock),Till,0.9839
AB12 5,AB,3925.0,5,158.0,4.5969,153.41,6.86,12.86,11.91,1.75,7.06,46.78,52.07,14.11,0.2163,0.2858,0.3766,1.0,0.004,0.004,0.0362,0.0717,0.02,0.0,1.0,0.0,1.0,0.0025,0.0121,55.4,0.0037,0.0088,4.3,141.0,22.5,872.0,10949.8,230.0,1.588,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,157.9238,153.41,0.0,Scotland,none (low-plasticity bedrock),Till,0.9993
AB12 9,AB,1220.0,5,156.6,4.0568,152.55,4.13,15.47,9.11,1.75,8.2,39.87,59.71,14.3,0.1222,0.3566,0.2229,1.0,0.0013,0.0013,0.0133,0.024,0.02,0.0,1.0,0.0,1.0,0.0029,0.0102,33.9,0.0043,0.0089,4.7,140.0,20.5,868.0,10895.5,220.2,-1.1083,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,156.5318,152.55,0.0,Scotland,none (low-plasticity bedrock),Glacial Sand And Gravel,0.9972
AB13 0,AB,1454.0,10,266.1,6.601,259.52,5.12,10.31,9.38,1.75,14.41,87.67,105.0,25.88,0.1351,0.2131,0.2541,1.0,0.0008,0.0011,0.012,0.0525,0.02,0.0,1.0,0.0,1.0,0.0029,0.0127,62.8,0.0042,0.0091,4.0,140.0,21.5,874.0,18430.8,369.5,0.148,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,265.8331,259.52,0.0,Scotland,none (low-plasticity bedrock),Glacial Sand And Gravel,0.9972
AB14 0,AB,2236.0,8,198.0,5.4644,192.49,6.69,9.07,21.5,1.75,9.58,57.53,69.81,16.54,0.1887,0.1759,0.6029,1.0,0.0349,0.0488,0.0632,0.0847,0.02,0.0,1.0,0.0,1.0,0.0029,0.0126,61.2,0.0042,0.0087,3.8,140.0,19.6,883.0,14145.8,283.6,2.0827,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,197.8401,192.49,0.0,Scotland,none (low-plasticity bedrock),Till,0.9985
AB15 4,AB,1955.0,10,289.1,7.9342,281.12,7.98,13.94,50.72,1.75,13.53,71.33,98.49,23.38,0.2607,0.3155,1.0,1.0,0.1312,0.2108,0.1073,0.1772,0.02,0.0,1.0,0.0,1.0,0.0029,0.0111,44.0,0.0043,0.0088,4.6,139.0,21.2,863.0,21150.3,413.4,3.8015,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,288.9959,281.12,0.0,Scotland,none (low-plasticity bedrock),Till,0.9942
AB15 5,AB,1673.0,10,257.8,7.0564,250.74,7.88,14.22,39.37,1.75,12.32,64.11,89.74,21.33,0.2601,0.3231,0.8641,1.0,0.1021,0.1532,0.0667,0.1227,0.02,0.0,1.0,0.0,1.0,0.0029,0.011,42.3,0.0043,0.0088,4.7,138.0,21.3,858.0,18663.9,368.3,2.2861,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,257.7307,250.74,0.0,Scotland,none (low-plasticity bedrock),Till,0.9934
AB15 6,AB,2924.0,8,192.9,5.2905,187.63,7.94,14.13,17.18,1.75,9.48,51.81,69.07,16.27,0.2619,0.3206,0.5593,1.0,0.0089,0.0108,0.0821,0.1474,0.02,0.0,1.0,0.0,1.0,0.0029,0.0115,48.6,0.0043,0.0087,4.6,138.0,22.9,861.0,13652.5,275.8,2.9086,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,192.8337,187.63,0.0,Scotland,none (low-plasticity bedrock),Till,0.9958
AB15 7,AB,2330.0,10,238.1,6.3584,231.78,7.73,13.64,23.92,1.75,12.0,64.8,87.36,20.58,0.2471,0.3072,0.6424,1.0,0.0462,0.0604,0.0556,0.1032,0.02,0.0,1.0,0.0,1.0,0.0029,0.0114,47.1,0.0043,0.0087,4.6,139.0,21.2,865.0,16983.7,337.8,2.2249,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,238.0189,231.78,0.0,Scotland,none (low-plasticity bedrock),Till,0.9951
AB15 8,AB,4676.0,10,236.9,6.2161,230.71,7.15,14.32,13.75,1.75,12.13,71.56,88.45,21.59,0.2323,0.3259,0.4462,1.0,0.0055,0.0066,0.0568,0.0815,0.02,0.0,1.0,0.0,1.0,0.0029,0.0123,57.4,0.0042,0.0089,4.6,138.0,24.1,863.0,16438.1,334.3,1.9439,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,236.7481,230.71,0.0,Scotland,none (low-plasticity bedrock),Till,0.8612
AB15 9,AB,3706.0,10,257.6,6.5401,251.07,6.13,11.05,16.4,1.75,13.66,78.26,99.51,24.29,0.1865,0.2346,0.5102,1.0,0.0148,0.0242,0.0525,0.1076,0.02,0.0,1.0,0.0,1.0,0.0029,0.0121,55.1,0.0043,0.0091,4.1,139.0,22.0,869.0,18145.7,360.1,1.593,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,257.3993,251.07,0.0,Scotland,none (low-plasticity bedrock),Till,0.9967
AB16 5,AB,3894.0,3,141.9,4.0145,137.87,7.69,14.36,10.85,1.75,6.82,35.0,49.68,11.72,0.2587,0.3269,0.3439,1.0,0.0001,0.0001,0.0337,0.071,0.02,0.0,1.0,0.0,1.0,0.0029,0.0108,40.5,0.0043,0.0087,4.7,138.0,21.6,857.0,9981.0,204.8,1.8468,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,141.8525,137.87,0.0,Scotland,none (low-plasticity bedrock),Till,0.9667
AB16 6,AB,3159.0,3,143.1,4.158,138.95,7.84,14.35,13.06,1.75,6.6,35.92,48.04,11.38,0.2625,0.3267,0.4442,1.0,0.0001,0.0001,0.0593,0.1093,0.02,0.0,1.0,0.0,1.0,0.0029,0.0115,48.2,0.0043,0.0088,4.7,138.0,23.4,859.0,10098.0,208.2,3.0833,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,143.0785,138.95,0.0,Scotland,none (low-plasticity bedrock),Till,0.9871
AB16 7,AB,3737.0,3,142.6,4.0464,138.52,5.99,14.48,13.08,1.75,6.7,35.87,48.78,11.87,0.1909,0.3301,0.4465,1.0,0.0001,0.0001,0.0581,0.116,0.02,0.0,1.0,0.0,1.0,0.0029,0.0113,46.0,0.0043,0.009,4.7,138.0,23.2,856.0,10026.7,206.0,2.1342,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,142.5307,138.52,0.0,Scotland,none (low-plasticity bedrock),Till,0.5999
AB16 9,AB,1314.0,7,179.9,4.7444,175.12,7.8,14.41,8.65,1.75,9.33,49.02,67.9,16.26,0.2587,0.3281,0.1928,1.0,0.0002,0.0002,0.0107,0.0209,0.02,0.0,1.0,0.0,1.0,0.0029,0.0111,43.6,0.0043,0.0089,4.7,138.0,22.0,857.0,12541.4,254.2,1.0802,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,179.7575,175.12,0.0,Scotland,none (low-plasticity bedrock),Till,0.9676
AB21 0,AB,4895.0,7,173.5,5.7262,167.75,7.37,10.91,16.83,1.75,5.45,63.27,42.95,19.21,0.2284,0.2306,0.5331,1.0,0.0133,0.0138,0.0683,0.1203,0.02,0.0,1.0,0.0,1.0,0.0015,0.0123,58.4,0.0023,0.0091,4.2,138.0,20.7,851.0,12038.0,263.2,2.879,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,173.3311,167.75,0.0,Scotland,none (low-plasticity bedrock),Till,0.9996
AB21 1,AB,16.0,7,177.7,4.9477,172.76,7.31,12.48,19.24,1.75,8.71,46.03,62.04,15.19,0.2202,0.2753,0.589,1.0,0.0187,0.0273,0.0776,0.1342,0.02,0.0,1.0,0.0,1.0,0.0029,0.0111,44.2,0.0042,0.0089,4.4,138.0,20.1,856.0,12753.4,255.2,2.7845,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,177.6475,172.76,0.0,Scotland,none (low-plasticity bedrock),none mapped,0.994
AB21 7,AB,2784.0,6,171.4,4.8256,166.59,6.54,12.76,16.33,1.75,8.05,46.99,59.07,15.09,0.1974,0.2829,0.5198,1.0,0.0122,0.0131,0.0647,0.1169,0.02,0.0,1.0,0.0,1.0,0.0027,0.0113,46.3,0.0039,0.0088,4.5,138.0,19.9,851.0,12171.8,247.0,2.3521,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,171.3387,166.59,0.0,Scotland,none (low-plasticity bedrock),Glacial Sand And Gravel,0.9891
AB21 9,AB,4863.0,7,177.4,5.0578,172.38,7.14,13.27,22.98,1.75,8.22,44.94,59.84,14.23,0.2262,0.2973,0.6675,1.0,0.0269,0.0474,0.0933,0.1567,0.02,0.0,1.0,0.0,1.0,0.0029,0.0115,48.8,0.0043,0.0088,4.5,138.0,23.4,856.0,12694.1,256.7,2.6026,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,177.3968,172.38,0.0,Scotland,none (low-plasticity bedrock),Alluvium,0.9968
AB22 8,AB,4660.0,7,182.8,4.7736,177.98,5.43,13.2,16.03,1.75,9.52,46.41,69.35,16.28,0.1649,0.2952,0.5149,1.0,0.0101,0.0101,0.0705,0.1074,0.02,0.0,1.0,0.0,1.0,0.0029,0.0103,34.2,0.0043,0.0087,4.6,138.0,19.8,856.0,13100.5,257.5,1.5653,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,182.6704,177.98,0.0,Scotland,none (low-plasticity bedrock),Glacial Sand And Gravel,0.9996
AB22 9,AB,360.0,9,203.6,5.1629,198.44,6.94,13.18,12.48,1.75,10.87,54.1,79.06,20.06,0.229,0.2946,0.3978,1.0,0.0041,0.0043,0.0473,0.0612,0.02,0.0,1.0,0.0,1.0,0.0029,0.0105,36.8,0.0042,0.0094,4.6,138.0,20.5,856.0,14408.8,284.5,1.6769,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,203.4774,198.44,0.0,Scotland,none (low-plasticity bedrock),Till,0.9977
AB23 8,AB,4957.0,6,168.8,4.7539,164.05,3.79,14.71,12.75,1.75,7.52,49.38,56.35,17.8,0.0809,0.3362,0.4039,1.0,0.006,0.0061,0.0419,0.0719,0.02,0.0,1.0,0.0,1.0,0.0021,0.0102,33.8,0.0032,0.0089,4.9,138.0,16.1,851.0,11786.9,243.3,0.0919,59.1,0.7401456,0.0189134,dynamiccoast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054256,0.0189134,0.0049663,0.013747,0,168.6935,164.05,0.0,Scotland,none (low-plasticity bedrock),Glacial Sand And Gravel,0.9789
AB23 9,AB,78.0,8,185.3,4.6373,180.65,3.9,13.45,13.23,1.75,10.03,47.6,73.2,17.48,0.0881,0.3021,0.4195,1.0,0.0072,0.0078,0.0441,0.0754,0.02,0.0,1.0,0.0,1.0,0.0029,0.01,31.1,0.0043,0.0089,4.6,138.0,18.1,856.0,13189.2,257.9,0.2612,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,185.186,180.65,0.0,Scotland,none (low-plasticity bedrock),none mapped,0.9746
AB24 1,AB,1470.0,3,137.9,3.833,134.04,4.06,14.03,16.8,1.75,6.65,31.28,48.4,11.07,0.0955,0.3179,0.5765,1.0,0.0006,0.0006,0.0974,0.1888,0.02,0.0,1.0,0.0,1.0,0.0029,0.0099,30.1,0.0043,0.0085,4.7,139.0,18.0,857.0,9987.5,197.9,1.3743,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,137.8639,134.04,0.0,Scotland,none (low-plasticity bedrock),Blown Sand,0.9814
AB24 2,AB,2627.0,3,142.9,4.1254,138.78,6.51,14.08,18.45,1.75,6.56,32.26,47.79,11.39,0.2036,0.3193,0.5905,1.0,0.011,0.011,0.0963,0.1464,0.02,0.0,1.0,0.0,1.0,0.0029,0.0103,35.3,0.0043,0.0088,4.7,138.0,20.3,856.0,10356.2,207.5,2.8733,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,142.9078,138.78,0.0,Scotland,none (low-plasticity bedrock),Till,0.9941
AB24 3,AB,2846.0,3,142.4,3.9453,138.44,3.97,14.0,17.02,1.75,6.87,33.26,50.03,11.54,0.0926,0.317,0.5832,1.0,0.0003,0.0004,0.1016,0.1889,0.02,0.0,1.0,0.0,1.0,0.0029,0.0102,33.4,0.0043,0.0086,4.7,139.0,19.3,857.0,10270.4,204.2,1.4231,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,142.3662,138.44,0.0,Scotland,none (low-plasticity bedrock),Glacial Sand And Gravel,0.9941
AB24 4,AB,2658.0,5,157.5,4.3794,153.09,7.59,14.15,14.61,1.75,7.69,38.2,56.03,13.07,0.2525,0.3212,0.5035,1.0,0.0003,0.0004,0.0742,0.1448,0.02,0.0,1.0,0.0,1.0,0.0029,0.0105,36.5,0.0043,0.0087,4.7,138.0,20.6,857.0,11281.2,226.1,3.1462,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,157.4364,153.09,0.0,Scotland,none (low-plasticity bedrock),Till,0.9941
AB24 5,AB,3112.0,3,143.5,4.0267,139.45,4.02,14.42,20.53,1.75,6.77,31.51,49.29,11.16,0.099,0.3285,0.6784,1.0,0.0003,0.0003,0.151,0.2161,0.02,0.0,1.0,0.0,1.0,0.0029,0.0098,28.9,0.0043,0.0084,4.8,139.0,17.8,857.0,10434.6,206.6,1.4632,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,143.4786,139.45,0.0,Scotland,none (low-plasticity bedrock),Blown Sand,0.7907
AB25 1,AB,2299.0,6,171.2,5.2055,165.98,4.23,14.02,46.93,1.75,6.7,32.48,48.79,11.07,0.1093,0.3177,1.0,1.0,0.0912,0.1445,0.1681,0.3523,0.02,0.0,1.0,0.0,1.0,0.0029,0.0102,33.6,0.0043,0.0084,4.7,139.0,18.9,858.0,13042.5,252.7,3.854,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,171.2647,165.98,0.0,Scotland,none (low-plasticity bedrock),Glacial Sand And Gravel,0.9995
AB25 2,AB,2830.0,8,189.5,5.5602,183.98,6.32,14.09,39.69,1.75,8.18,40.67,59.55,13.73,0.2017,0.3194,0.8917,1.0,0.0984,0.1062,0.0996,0.1915,0.02,0.0,1.0,0.0,1.0,0.0029,0.0105,36.7,0.0043,0.0085,4.7,139.0,19.6,858.0,14089.2,276.6,3.0645,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,189.5737,183.98,0.0,Scotland,none (low-plasticity bedrock),Till,0.9995
AB25 3,AB,2330.0,5,160.5,4.7244,155.76,5.66,14.15,30.49,1.75,6.97,34.33,50.78,11.63,0.1766,0.3211,0.8198,1.0,0.0389,0.0537,0.1541,0.2336,0.02,0.0,1.0,0.0,1.0,0.0029,0.0104,35.4,0.0043,0.0085,4.7,138.0,20.0,857.0,11782.4,234.5,2.0594,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,160.517,155.76,0.0,Scotland,none (low-plasticity bedrock),Till,0.9995
AB25 9,AB,141.0,8,196.1,5.5825,190.48,5.41,14.14,38.3,1.75,8.77,43.1,63.72,15.28,0.1666,0.321,0.9068,1.0,0.075,0.0987,0.1364,0.2506,0.02,0.0,1.0,0.0,1.0,0.0029,0.0103,35.3,0.0042,0.0089,4.7,138.0,20.0,857.0,14469.9,283.5,2.8387,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,196.0739,190.48,0.0,Scotland,none (low-plasticity bedrock),none mapped,0.9957
AB30 1,AB,5020.0,4,154.3,5.621,148.69,7.88,16.43,20.46,1.75,3.47,53.36,28.53,16.8,0.2616,0.3819,0.59,1.0,0.0314,0.0346,0.0598,0.1133,0.02,0.0,1.0,0.0,1.0,0.0011,0.0118,51.6,0.0017,0.009,4.4,152.0,26.1,1009.0,10573.6,242.4,2.9758,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,154.2414,148.69,0.0,Scotland,none (low-plasticity bedrock),Till,0.9965
